,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,119342,102376,139108,154640,172703,201855,179082,195296,146997,170635,207754,Upgrade
1,Market Cap Growth,-33.80%,-33.80%,-19.45%,-23.39%,-3.56%,3.36%,21.83%,14.45%,-29.24%,-24.45%,-1.83%,Upgrade
2,Enterprise Value,153813,126737,156480,154427,171601,249387,242174,228998,178356,203554,216227,Upgrade
3,Last Close Price,34.10,28.88,36.87,40.41,42.90,49.15,42.10,45.53,32.82,37.78,44.49,Upgrade
4,PE Ratio,7.73,6.50,7.96,14.77,-,15.60,-,23.37,-,8.38,7.13,Upgrade
5,Forward PE,8.38,6.51,7.55,8.01,8.17,8.68,7.88,9.22,6.96,8.12,8.04,Upgrade
6,PS Ratio,2.70,2.29,2.94,6.28,-,5.65,-,8.40,-,2.01,2.52,Upgrade
7,PB Ratio,0.31,0.26,0.35,0.39,0.44,0.52,0.46,0.53,0.40,0.47,0.58,Upgrade
8,P/TBV Ratio,0.26,0.26,0.36,0.40,0.45,0.53,0.48,0.55,0.42,0.49,0.59,Upgrade
9,P/FCF Ratio,38.75,33.24,-68.70,-,-,24.85,-,-,-,4.15,5.51,Upgrade
10,P/OCF Ratio,18.67,18.67,368.01,-,-,24.85,-,-,-,3.96,4.96,Upgrade
11,PEG Ratio,0.81,0.81,-,-,8.36,1.05,1.24,1.26,-,9.20,-,Upgrade
12,EV/Sales Ratio,3.45,2.84,3.31,6.28,-,6.98,-,9.84,-,2.40,2.62,Upgrade
13,EV/EBITDA Ratio,10.30,10.22,11.30,19.26,-,19.78,-,20.78,-,6.46,6.61,Upgrade
14,EV/EBIT Ratio,11.81,12.08,13.12,21.87,-,21.58,-,23.15,-,7.12,7.08,Upgrade
15,EV/FCF Ratio,49.94,41.15,-77.27,-,-,30.70,-,-,-,4.95,5.74,Upgrade
16,Debt / Equity Ratio,0.15,0.15,0.15,0.14,0.14,0.13,0.27,0.27,0.23,0.23,0.24,Upgrade
17,Debt / FCF Ratio,19.96,19.96,-29.99,-,-,6.29,-,-,-,2.02,2.31,Upgrade
18,Return on Capital Employed (ROCE),2.27%,2.27%,2.61%,1.54%,-,2.55%,-,2.12%,-,6.37%,6.66%,Upgrade
19,Earnings Yield,13.08%,15.53%,12.67%,6.77%,-,6.48%,-,4.34%,-,12.25%,14.28%,Upgrade
20,FCF Yield,2.58%,3.01%,-1.46%,-2.35%,-,4.02%,-,-1.41%,-,24.11%,18.14%,Upgrade
21,Dividend Yield,5.89%,6.96%,5.56%,1.06%,-,0.87%,-,0.90%,-,5.08%,4.72%,Upgrade
22,Buyback Yield / Dilution,1.71%,1.69%,-,1.46%,-,1.87%,-,-0.51%,-,-,0.04%,Upgrade
23,Total Shareholder Return,7.61%,8.64%,5.56%,2.52%,-,2.75%,-,0.39%,-,5.08%,4.76%,Upgrade
