,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,547297789,509725123,514196396,476190576,530404761,448804028,489045485,473251657,432552015,378601326,346420213,353992239,388539610,372923177,360502888,431713335,351601582,363099102,311916593,297822859,229950402,Upgrade
1,Market Cap Growth,13.57%,13.57%,5.14%,0.62%,22.62%,18.54%,41.17%,33.69%,11.33%,1.52%,-3.91%,-18.00%,10.51%,2.71%,15.58%,44.96%,52.90%,8.54%,2.44%,13.90%,-7.88%,Upgrade
2,Last Close Price,65500.00,91200.00,92000.00,85200.00,94900.00,80300.00,87500.00,84674.01,77392.04,67739.20,61981.37,63336.16,69517.36,66723.12,63718.27,76304.59,62144.98,64177.14,54684.77,52213.88,40314.58,Upgrade
3,PE Ratio,16.18,15.07,16.05,15.49,17.65,14.74,16.16,16.28,15.68,14.26,14.31,15.57,18.72,18.93,19.27,23.85,18.75,22.65,20.84,18.58,14.58,Upgrade
4,PS Ratio,8.38,7.81,7.92,7.59,8.50,7.11,7.81,7.60,7.14,6.46,6.54,7.11,8.41,8.26,8.13,10.00,8.30,9.29,8.34,7.77,5.90,Upgrade
5,PB Ratio,2.75,2.56,2.70,2.62,3.06,2.72,3.07,3.11,2.99,2.79,2.70,2.88,3.32,3.42,3.29,4.11,3.48,3.86,3.33,3.32,2.70,Upgrade
6,P/FCF Ratio,-,-6.02,-,-,-4.01,-,-8.26,-,-,-7.86,-2.92,-,-,-,-,-,-,-3.27,-,-,-,Upgrade
7,P/OCF Ratio,-,-6.13,-,-,-4.04,-,-8.41,-,-,-7.97,-2.95,-,-,-,-,-,-,-3.36,-,-,-,Upgrade
8,Debt / Equity Ratio,0.50,0.11,0.10,0.13,0.12,0.20,0.12,0.12,0.23,0.20,0.18,0.23,0.21,0.23,0.25,0.25,0.26,0.29,0.27,0.29,0.30,Upgrade
9,Debt / FCF Ratio,-,-0.26,-,-,-0.16,-,-0.31,-,-,-0.56,-0.19,-,-,-,-,-,-,-0.25,-,-,-,Upgrade
10,Return on Equity (ROE),17.61%,18.44%,18.29%,20.28%,23.09%,18.70%,20.03%,25.66%,30.12%,19.32%,19.80%,28.17%,23.94%,17.16%,15.40%,28.32%,24.21%,17.45%,21.14%,20.15%,Upgrade,
11,Return on Assets (ROA),1.71%,1.79%,1.77%,1.90%,2.10%,1.69%,1.67%,1.97%,2.30%,1.49%,1.55%,2.21%,1.87%,1.37%,1.23%,2.12%,1.81%,1.35%,1.58%,1.41%,Upgrade,
12,Earnings Yield,6.18%,6.64%,6.73%,7.00%,6.15%,7.36%,6.87%,6.85%,7.15%,7.90%,7.65%,7.07%,5.93%,5.90%,5.86%,4.75%,6.02%,5.08%,5.53%,6.15%,7.85%,Upgrade
13,FCF Yield,-15.47%,-16.61%,-36.53%,-21.56%,-24.95%,-38.57%,-12.10%,-15.78%,-6.53%,-12.73%,-34.21%,-46.19%,-45.26%,-45.62%,-27.29%,-17.40%,-22.02%,-30.58%,-50.98%,-44.10%,-46.31%,Upgrade
14,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.24%,-,-,-,Upgrade
15,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.19%,-,-,41.81%,17.41%,-,-,10.83%,39.46%,-,16.22%,-,Upgrade
16,Buyback Yield / Dilution,0.02%,-0.02%,0.03%,-,0.01%,0.05%,-0.05%,0.00%,0.03%,-0.04%,0.04%,-,-0.02%,0.03%,0.17%,-0.22%,-0.04%,0.01%,-0.10%,-0.68%,Upgrade,
17,Total Shareholder Return,0.02%,-0.02%,0.03%,-,0.01%,0.05%,-0.05%,0.00%,0.03%,-0.04%,0.04%,-,-0.02%,0.03%,0.17%,-0.22%,1.20%,0.01%,-0.10%,-0.68%,Upgrade,
