,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,23581262,23191212,22862708,24019660,25097791,26512406,28822211,27689870,25534088,22569428,20671039,19338145,17939277,17639936,17841634,17201110,17242696,17023678,16834725,18104035,Upgrade
1,Interest Paid on Deposits,9738930,9613576,8954997,9941604,12296567,13916288,14801630,13486924,10724619,8905477,7873833,7362293,7272542,7212090,6745376,7119377,6792035,8300504,8757406,9069714,Upgrade
2,Net Interest Income,13842332,13577636,13907711,14078056,12801224,12596118,14020581,14202946,14809469,13663951,12797206,11975852,10666735,10427846,11096258,10081733,10450661,8723174,8077319,9034321,Upgrade
3,Net Interest Income Growth (YoY),8.13%,7.79%,-0.81%,-0.88%,-13.56%,-7.81%,9.56%,18.60%,38.84%,31.03%,15.33%,18.79%,2.07%,19.54%,37.38%,11.59%,21.52%,-1.54%,-5.85%,6.30%,Upgrade
4,Income From Trading Activities,7207,35003,530,22827,-6214,41588,58940,29903,2076,-155543,103507,16361,-65710,27991,9376,80773,16220,6576,33363,-54447,Upgrade
5,Gain (Loss) on Sale of Investments,-,-,-,-,-24426,-,-,-,-42999,-,-,-,3927,-,-,-,-607,-,-,-,Upgrade
6,Gain (Loss) on Sale of Equity Investments,-,-,-,31595,43450,-,-,27751,19469,-,-,22299,-39303,-,21537,22392,-23976,-,-,20897,Upgrade
7,Other Non-Interest Income,3860998,3223314,2843368,3147920,3120375,3139571,3390655,4256574,3831681,3206016,3071628,4718849,4222635,2796948,1776130,5500698,4014752,2856700,2622874,3284714,Upgrade
8,Total Non-Interest Income,3868205,3258317,2843898,3202342,3133185,3181159,3449595,4314228,3810227,3050473,3175135,4757509,4121549,2824939,1807043,5603863,4006389,2863276,2656237,3251164,Upgrade
9,Non-Interest Income Growth (YoY),23.46%,2.43%,-17.56%,-25.77%,-17.77%,4.28%,8.64%,-9.32%,-7.55%,7.98%,75.71%,-15.10%,2.87%,-1.34%,-31.97%,72.36%,98.36%,-8.67%,-2.48%,-0.54%,Upgrade
10,Revenues Before Loan Losses,17710537,16835953,16751609,17280398,15934409,15777277,17470176,18517174,18619696,16714424,15972341,16733361,14788284,13252785,12903301,15685596,14457050,11586450,10733556,12285485,Upgrade
11,Provision for Loan Losses,-32330,325576,1513541,1508210,-1486696,1493607,2536389,2021576,1678630,2778197,2733452,2273939,3465595,2512537,3225157,2274909,3941512,2024552,1856218,2152448,Upgrade
12,Revenue,17742867,16510377,15238068,15772188,17421105,14283670,14933787,16495598,16941066,13936227,13238889,14459422,11322689,10740248,9678144,13410687,10515538,9561898,8877338,10133037,Upgrade
13,Revenue Growth (YoY),1.85%,15.59%,2.04%,-4.39%,2.83%,2.49%,12.80%,14.08%,49.62%,29.76%,36.79%,7.82%,7.68%,12.32%,9.02%,32.35%,19.06%,-8.86%,-6.48%,-1.25%,Upgrade
14,Salaries and Employee Benefits,-,-,-,2905322,3189056,-,-,2828198,3148070,-,-,2345184,2968282,-,2199730,2168248,2401869,-,-,2149001,Upgrade
15,Occupancy Expenses,-,-,-,653129,1226988,-,-,669541,1764790,-,-,628846,1493518,-,675024,581995,1101695,-,-,544066,Upgrade
16,Federal Deposit Insurance,-,-,-,228860,234718,-,-,203930,202577,-,-,187283,185730,-,179236,164617,168246,-,-,149717,Upgrade
17,"Selling, General & Administrative",-,-,-,1188278,854603,-,-,1495854,-813170,-,-,1292377,-1730512,-,1607336,1812766,-365070,-,-,2028444,Upgrade
18,Other Non-Interest Expense,7040187,5811433,5121793,78360,222243,5232506,5656105,76731,210273,6370005,5815802,55476,231110,5002394,74856,51595,124373,4578828,3118019,39062,Upgrade
19,Total Non-Interest Expense,7040187,5811433,5121793,5053949,5727608,5232506,5656105,5274254,4512540,6370005,5815802,4509166,3148128,5002394,4736182,4779221,3431113,4578828,3118019,4910290,Upgrade
20,EBT Excluding Unusual Items,10702680,10698944,10116275,10718239,11693497,9051164,9277682,11221344,12428526,7566222,7423087,9950256,8174561,5737854,4941962,8631466,7084425,4983070,5759319,5222747,Upgrade
21,Pretax Income,10702680,10698944,10116275,10718239,11693497,9051164,9277682,11221344,12428526,7566222,7423087,9950256,8174561,5737854,4941962,8631466,7084425,4983070,5759319,5222747,Upgrade
22,Income Tax Expense,2132749,2126450,1991566,2132246,2333464,1776608,1849724,2229443,2488273,1496778,1481156,1982830,1629212,1138566,977288,1723944,1405987,987259,1143705,1040092,Upgrade
23,Earnings From Continuing Operations,8569931,8572494,8124709,8585993,9360033,7274556,7427958,8991901,9940253,6069444,5941931,7967426,6545349,4599288,3964674,6907522,5678438,3995811,4615614,4182655,Upgrade
24,Minority Interest in Earnings,-4543,-5896,-5295,-5997,-5007,-5637,-5135,-5466,-5247,-4574,-4977,-5242,-5561,-5158,-4569,-4944,-6284,-4908,-5275,-4740,Upgrade
25,Net Income,8565388,8566598,8119414,8579996,9355026,7268919,7422823,8986435,9935006,6064870,5936954,7962184,6539788,4594130,3960105,6902578,5672154,3990903,4610339,4177915,Upgrade
26,Preferred Dividends & Other Adjustments,-,-,-,-,2575897,-,-,-,3344476,-,-,-,2299162,-,-,-,2423361,-,-,-,Upgrade
27,Net Income to Common,8565388,8566598,8119414,8579996,6779129,7268919,7422823,8986435,6590530,6064870,5936954,7962184,4240626,4594130,3960105,6902578,3248793,3990903,4610339,4177915,Upgrade
28,Net Income Growth,-8.44%,17.85%,9.38%,-4.52%,-5.84%,19.85%,25.03%,12.86%,51.92%,32.01%,49.92%,15.35%,15.30%,15.12%,-14.10%,65.22%,27.02%,-20.95%,5.72%,-11.25%,Upgrade
29,Basic Shares Outstanding,5587,5588,5588,5589,5588,5587,5589,5589,5589,5590,5587,5589,5590,5588,5589,5589,5589,5589,5598,5577,Upgrade
30,Diluted Shares Outstanding,5587,5588,5588,5589,5588,5587,5589,5589,5589,5590,5587,5589,5590,5588,5589,5589,5589,5589,5598,5577,Upgrade
31,Shares Change (YoY),-0.02%,0.02%,-0.03%,-,-0.01%,-0.05%,0.05%,-0.00%,-0.03%,0.04%,-0.04%,-,0.02%,-0.03%,-0.17%,0.22%,0.04%,-0.01%,0.10%,0.68%,Upgrade
32,EPS (Basic),1533.00,1533.00,1453.00,1535.13,1213.07,1301.00,1328.00,1607.85,1179.24,1085.00,1062.66,1424.59,758.55,822.18,708.54,1235.01,581.24,714.02,823.51,749.17,Upgrade
33,EPS (Diluted),1533.00,1533.00,1453.00,1535.13,1213.07,1301.00,1328.00,1607.85,1179.24,1085.00,1062.66,1424.59,758.55,822.18,708.54,1235.01,581.24,714.02,823.51,749.17,Upgrade
34,EPS Growth,26.37%,17.83%,9.41%,-4.52%,2.87%,19.91%,24.97%,12.86%,55.46%,31.97%,49.98%,15.35%,30.51%,15.15%,-13.96%,64.85%,48.33%,-20.94%,5.62%,-11.85%,Upgrade
35,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,796.307,-,-,-,Upgrade
36,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.00%,-,-,-,Upgrade
37,Effective Tax Rate,19.93%,19.88%,19.69%,19.89%,19.96%,19.63%,19.94%,19.87%,20.02%,19.78%,19.95%,19.93%,19.93%,19.84%,19.78%,19.97%,19.85%,19.81%,19.86%,19.91%,Upgrade
