,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,2284,2403,2200,2405,2162,2193,1954,1824,1556,1369
1,Revenue Growth (YoY),3.85%,-0.10%,1.74%,9.67%,10.66%,20.22%,25.57%,33.27%,-10.01%,-28.38%
2,Cost of Revenue,1650,1768,1645,1781,1544,1549,1430,1326,1155,1003
3,Gross Profit,634.63,634.52,554.17,624.16,617.62,643.34,524.12,498.32,401.38,365.92
4,"Selling, General & Admin",278.98,260.67,260.14,240.08,258.54,256.84,282.71,233.07,184.76,178.05
5,Other Operating Expenses,-25.35,-15.62,-27.5,-13.33,-5.42,-13.35,-19.53,-15.4,-8.24,-28.09
6,Operating Expenses,253.64,245.05,232.64,226.75,253.12,243.49,263.19,217.67,176.52,149.96
7,Operating Income,380.99,389.47,321.53,397.42,364.49,399.85,260.93,280.65,224.86,215.97
8,Interest Expense,-51.08,-59.61,-59.02,-57.23,-39.9,-20.4,-15.86,-12.47,-13.93,-21.79
9,Interest & Investment Income,3.87,4.56,1.05,6.83,2.64,1.78,1.43,2.47,2.46,12.49
10,Currency Exchange Gain (Loss),2.83,42.95,-7.98,15.37,17.89,25.54,-9.83,-6.99,-30.1,4.01
11,EBT Excluding Unusual Items,336.61,377.37,255.57,362.39,345.13,406.77,236.67,263.66,183.28,210.68
12,Merger & Restructuring Charges,-,-,-7.2,-,-,-,-0.71,-30.22,-,-
13,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-439.97
14,Gain (Loss) on Sale of Assets,-0.19,-0.19,-7.42,-0.61,-0.36,17.83,-0.37,-0.4,-0.23,-1.33
15,Asset Writedown,-,-,-,-,-,-,-,-,-,-5.23
16,Other Unusual Items,-,-,-,-,-,-93.7,-,-,-,-
17,Pretax Income,408.72,377.19,245.72,374.16,358.11,330.9,235.6,233.04,183.05,-235.85
18,Income Tax Expense,68.37,71.73,-37.56,70.67,43.36,62.87,26.34,56.46,59.12,32.4
19,Earnings From Continuing Operations,340.35,305.46,283.27,303.49,314.75,268.03,209.26,176.58,123.94,-268.25
20,Minority Interest in Earnings,-0.51,-0.99,-1.41,-0.26,-0.53,-0.31,-1.49,-1.57,-2.28,-1.59
21,Net Income,339.84,304.47,281.86,303.23,314.22,267.72,207.77,175.01,121.65,-269.85
22,Net Income to Common,339.84,304.47,281.86,303.23,314.22,267.72,207.77,175.01,121.65,-269.85
23,Net Income Growth,20.57%,0.41%,-10.30%,13.26%,51.24%,52.97%,70.78%,-,-49.03%,-
24,Shares Outstanding (Basic),1887,1887,1887,1885,1883,1883,1883,1883,1883,1883
25,Shares Outstanding (Diluted),1887,1887,1887,1887,1883,1883,1883,1885,1883,1883
26,Shares Change (YoY),0.02%,0.02%,0.18%,0.19%,0.01%,-0.09%,-,0.09%,-0.36%,25.08%
27,EPS (Basic),0.18,0.16,0.15,0.16,0.17,0.14,0.11,0.09,0.06,-0.14
28,EPS (Diluted),0.18,0.16,0.15,0.16,0.17,0.14,0.11,0.09,0.06,-0.14
29,EPS Growth,20.36%,0.37%,-10.49%,13.04%,51.47%,53.18%,71.30%,-,-49.08%,-
30,Free Cash Flow,352.05,182.16,266.35,303.69,179.96,22.67,-309.95,-227.69,104.02,299.66
31,Free Cash Flow Per Share,0.19,0.10,0.14,0.16,0.10,0.01,-0.16,-0.12,0.06,0.16
32,Dividend Per Share,0.080,0.080,0.080,0.080,0.080,0.080,0.072,0.029,0.018,0.024
33,Dividend Growth,0%,0%,0%,0%,11.11%,175.86%,300.00%,20.83%,-43.75%,-40.00%
34,Operating Margin,16.68%,16.21%,14.62%,16.53%,16.86%,18.24%,13.36%,15.39%,14.45%,15.78%
35,Profit Margin,14.88%,12.67%,12.81%,12.61%,14.53%,12.21%,10.63%,9.60%,7.82%,-19.72%
36,Free Cash Flow Margin,15.41%,7.58%,12.11%,12.63%,8.32%,1.03%,-15.86%,-12.48%,6.69%,21.90%
37,EBITDA,574.61,602.08,549.66,590.04,547.15,561.65,445.11,438.76,379.72,363.29
38,D&A For EBITDA,193.62,212.61,228.13,192.63,182.65,161.8,184.18,158.11,154.87,147.32
39,EBIT,380.99,389.47,321.53,397.42,364.49,399.85,260.93,280.65,224.86,215.97
