,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,293.47,325.32,750.7,712.37,582.26,595.25,290.96,205.92,773.25,116.27,87.5,111.52,143.77,90.88,368.45,27.4,-,19.22,-
1,Trading Asset Securities,-,388.16,390.14,12.02,-,145.2,170.24,586.35,701.71,176.32,110.73,190.06,204.43,201.79,276.37,-,-,-,-,-
2,Cash & Short-Term Investments,681.63,681.63,715.45,762.73,712.37,727.45,765.49,877.31,907.63,949.57,227,277.56,315.96,345.56,367.25,368.45,27.4,-,19.22,2.99
3,Cash Growth,-4.31%,-6.30%,-6.54%,-13.06%,-21.51%,-23.39%,237.22%,216.08%,187.27%,174.79%,-38.19%,-24.67%,1053.25%,-,1811.21%,12231.64%,-,-,-,-
4,Accounts Receivable,-,172.94,151.52,111.39,121.77,119.17,85.73,72.28,83.91,97.35,127.65,134.83,114.13,123.16,102.56,101.46,98.48,-,57.54,-
5,Other Receivables,-,1.33,1.35,0.66,0.61,0.58,0.35,0.48,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.19,0.02,-,0.02,-
6,Receivables,-,174.27,152.87,112.04,122.38,119.75,86.08,72.76,83.92,97.93,127.66,134.84,114.14,123.17,102.57,101.64,98.5,-,57.56,-
7,Inventory,-,107.28,86.57,85.93,70.23,69.93,70.91,63.38,60.05,60.96,48.83,38.09,39.25,37.21,35.59,35.75,31.79,-,26.67,-
8,Prepaid Expenses,-,-,0.03,-,0.27,-,1.94,-,3.17,-,1.29,-,2.19,-,0.04,-,0.13,-,-,-
9,Other Current Assets,-,9.52,12.38,18.69,99.02,78.2,77.71,13.49,5.34,5.62,7.07,5.35,4.6,2.36,1.55,2.81,4.82,-,3.58,-
10,Total Current Assets,-,972.72,967.31,979.38,1004,995.34,1002,1027,1060,1114,411.85,455.84,476.14,508.3,506.99,508.66,162.64,-,107.02,-
11,"Property, Plant & Equipment",-,336.5,320.22,303.79,285.31,265.55,241.6,233.66,222.96,217.62,191.49,167.76,87.09,66.83,59.74,54.71,51.14,-,47.53,-
12,Long-Term Investments,-,10.37,26.64,27.02,16.3,1.26,6.41,0.17,0.34,0.5,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,6.33,6.33,6.33,6.33,6.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,30.6,30.22,30.35,29.29,20.17,19.87,19.78,19.32,19.15,19.35,8.23,8.25,6.79,6.82,6.81,6.89,-,7.03,-
15,Long-Term Accounts Receivable,-,1.23,-,0.52,0.54,0.52,-,0.57,0.57,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,-,17.66,14.48,11.61,9.01,6.99,4.78,0.38,0.26,2.86,1.01,0.9,0.87,0.99,0.77,0.72,0.75,-,0.44,-
17,Long-Term Deferred Charges,-,18.51,17.88,18.48,14.91,11.33,12.25,13.47,14.96,9.37,6.66,7.89,8.93,7.62,7.77,7.6,3.92,-,2.35,-
18,Other Long-Term Assets,-,20.5,18.78,16.91,12.42,21.65,21.97,20.86,21.55,26.1,50.55,56.47,114.15,35.58,13.22,6.02,4.57,-,1.81,-
19,Total Assets,-,1414,1402,1394,1378,1329,1309,1316,1340,1390,680.9,697.08,695.43,626.11,595.31,584.52,229.91,-,166.18,-
20,Accounts Payable,-,122.83,104.97,95.93,74.19,70.32,51.38,38.95,40.69,59.34,58.61,60.06,54.18,57.76,55.78,64.25,50.87,-,34.6,-
21,Accrued Expenses,-,18.29,26.18,14.49,28,12.65,12.28,6.75,21.96,12.63,18.24,8.15,19.5,10.91,12.16,4.49,11.56,-,5.18,-
22,Short-Term Debt,-,41.79,41.79,41.8,29.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
24,Current Portion of Leases,-,3.11,1.89,2.24,2.34,-,0.7,0.7,0.71,-,-,-,-,-,-,-,-,-,-,-
25,Current Income Taxes Payable,-,1.72,0.18,1.04,0.03,0.99,1.46,2.22,-,3.43,-,0.97,-,3.54,2.41,4.55,1.62,-,1.4,-
26,Current Unearned Revenue,-,0.31,0.44,0.31,0.15,0.03,0.96,0.67,0.45,0.52,0.27,0.49,0.14,0.16,0.1,0.25,0.56,-,0.62,-
27,Other Current Liabilities,-,2.7,1.22,4.07,2.39,7.87,1.42,1.4,0.76,0.38,0.89,0.11,0.18,-,0.18,-,0.1,-,0.12,-
28,Total Current Liabilities,-,190.74,176.67,159.89,136.89,91.86,68.19,50.69,64.58,76.31,78.01,69.78,79,72.37,70.62,73.53,64.72,-,41.93,-
29,Long-Term Debt,-,-,-,-,-,-,-,-,-,30,30,30,38,-,-,-,-,-,-,-
30,Long-Term Leases,-,2.8,2.72,3.05,3.57,0.56,0.06,0.25,0.43,-,-,-,-,-,-,-,-,-,-,-
31,Long-Term Unearned Revenue,-,12.34,12.3,12.82,13.33,11.56,11.9,12.24,12.58,12.92,-,-,-,-,-,-,-,-,-,-
32,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.01,-,0.82,4.75,6.42,6.61,7.09,7.27,2.53,2.65,2.78,2.9,-,1.54,-
33,Other Long-Term Liabilities,-,0.28,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Total Liabilities,-,206.16,191.98,175.76,153.79,104,80.15,64,82.34,125.65,114.62,106.86,124.27,74.9,73.27,76.31,67.62,-,43.47,-
35,Common Stock,-,116.84,116.84,89.87,89.87,89.87,89.87,89.87,89.87,89.87,80,80,80,80,80,80,60,-,60,-
36,Additional Paid-In Capital,-,1017,1016,1043,1042,1043,1042,1041,1039,1039,359.79,359.79,359.79,359.79,359.79,359.79,67.83,-,67.83,-
37,Retained Earnings,-,75.63,79.09,88,93.42,92.23,97.42,121.51,128.74,135.23,127.02,150.74,131.41,111.42,82.25,68.42,34.46,-,-5.13,-
38,Comprehensive Income & Other,-,-1.24,-2.43,-1.8,-0.72,-0.42,-0.41,-0.36,-0.32,-0.51,-0.52,-0.31,-0.04,-,-,-,-,-,-,-
39,Total Common Equity,1208,1208,1210,1219,1225,1225,1229,1252,1258,1264,566.28,590.22,571.16,551.21,522.04,508.21,162.3,-,122.7,100.9
40,Minority Interest,-,0.08,0.07,0.05,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Shareholders' Equity,1208,1208,1210,1219,1225,1225,1229,1252,1258,1264,566.28,590.22,571.16,551.21,522.04,508.21,162.3,-,122.7,100.9
42,Total Liabilities & Equity,-,1414,1402,1394,1378,1329,1309,1316,1340,1390,680.9,697.08,695.43,626.11,595.31,584.52,229.91,-,166.18,-
43,Total Debt,47.7,47.7,46.41,47.09,35.69,0.56,0.76,0.96,1.14,30,30,30,43,-,-,-,-,-,-,-
44,Net Cash (Debt),633.94,633.94,669.05,715.64,676.68,726.89,764.73,876.36,906.49,919.57,197,247.56,272.96,345.56,367.25,368.45,27.4,-,19.22,2.99
45,Net Cash Growth,-6.32%,-12.79%,-12.51%,-18.34%,-25.35%,-20.95%,288.19%,254.00%,232.10%,166.11%,-46.36%,-32.81%,896.30%,-,1811.21%,12231.64%,-,-,-,-
46,Net Cash Per Share,5.41,5.42,5.75,6.10,5.78,6.23,6.53,7.53,7.73,8.85,1.89,2.38,2.62,3.33,3.53,4.72,0.35,-,0.25,0.04
47,Filing Date Shares Outstanding,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,104,104,104,104,104,104,78,77.84,78,78.01
48,Total Common Shares Outstanding,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,116.84,104,104,104,104,104,104,78,77.84,78,78.01
49,Working Capital,-,781.98,790.63,819.49,867.37,903.48,933.94,976.25,995.53,1038,333.84,386.06,397.14,435.93,436.37,435.12,97.93,-,65.09,-
50,Book Value Per Share,10.34,10.34,10.35,10.43,10.48,10.49,10.52,10.71,10.76,10.82,5.45,5.68,5.49,5.30,5.02,4.89,2.08,-,1.57,1.29
51,Tangible Book Value,1171,1171,1173,1182,1189,1199,1209,1232,1238,1245,546.94,581.99,562.91,544.42,515.22,501.4,155.4,-,115.68,95.49
52,Tangible Book Value Per Share,10.02,10.02,10.04,10.12,10.18,10.26,10.35,10.54,10.60,10.65,5.26,5.60,5.41,5.23,4.95,4.82,1.99,-,1.48,1.22
53,Buildings,-,-,79.47,-,79.47,-,79.47,-,79.47,-,79.47,-,27.15,-,27.15,-,27.15,-,27.15,-
54,Machinery,-,-,292.26,-,246.5,-,202.79,-,173.15,-,86.6,-,69.97,-,49.92,-,37.05,-,34.08,-
55,Construction In Progress,-,-,26.47,-,19.07,-,8.79,-,6.98,-,53.84,-,13.17,-,2.99,-,3.85,-,0.18,-
