,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,195.44,146.86,130.1,96.68,99.78,84.87,54.44,42.98,54.14,64.32,76.71,90.44,84.52,102.69,89.42,90.24,78.28,64.08,45.8,38.56
1,Other Revenue,-,-2.73,2.73,-,3.68,-1.22,1.22,-,2.83,-1.48,1.48,-,3.23,-1.53,1.53,-,2.66,-1.28,1.28,-
2,Revenue,195.44,144.13,132.83,96.68,103.46,83.65,55.66,42.98,56.98,62.84,78.19,90.44,87.75,101.15,90.95,90.24,80.94,62.81,47.07,38.56
3,Revenue Growth (YoY),88.90%,72.30%,138.66%,124.93%,81.58%,33.12%,-28.81%,-52.48%,-35.07%,-37.88%,-14.03%,0.22%,8.41%,61.06%,93.20%,134.05%,-,-,-,-
4,Cost of Revenue,285.9,104.5,120.4,77.41,88.08,58.74,45.31,33.68,42.59,38.78,44.25,52.34,50.97,55.96,53.98,48.32,45.24,33.36,27.36,20.89
5,Gross Profit,-90.46,39.63,12.43,19.27,15.38,24.91,10.35,9.3,14.39,24.06,33.93,38.11,36.78,45.2,36.97,41.93,35.7,29.45,19.71,17.67
6,"Selling, General & Admin",-42.63,15.31,14.39,12.92,14.58,12.38,11.65,10.34,17.08,8.43,7.72,6.31,8.62,5.34,8.33,4.66,4.55,3.57,3.22,3.48
7,Research & Development,-44.04,15,13.27,15.77,13.7,21.84,19.84,16.71,15.76,15.47,11.67,10.7,8.82,7.57,6.76,4.3,3.62,4.23,3.29,2.59
8,Other Operating Expenses,-1.27,2.17,-0.82,-0.08,-2.85,-1.22,-0.47,-1.68,5.42,-4,-0.44,0.83,8.27,-0.21,-0.09,-5.97,0.82,0.22,0.15,0.49
9,Operating Expenses,-89.3,33.62,27.68,27.99,26.02,34.55,32.14,25.14,37.82,18.7,19.04,18.45,24.68,13.82,15.41,2.44,9.69,8.73,6.9,5.54
