,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5914,3857,3550,3581,3397,4118,4450,6318,7603,5419,5318,4797,4828,8045,6742,7532,3520,-,-,-,-
1,Market Cap Growth,-6.34%,-6.34%,-20.23%,-43.32%,-55.32%,-24.01%,-16.33%,31.72%,57.49%,-32.63%,-21.11%,-36.31%,37.16%,-,-,-,-,-,-,-,-
2,Enterprise Value,5280,3223,2881,2865,2670,3391,3685,5442,6684,4500,5121,4549,4555,7699,6374,7164,3493,-,-,-,-
3,Last Close Price,50.62,33.01,30.38,30.65,29.03,35.18,38.02,53.98,64.84,46.22,50.95,45.96,45.75,76.24,63.89,71.38,33.33,-,-,-,-
4,PE Ratio,-,-438.75,-,-,-,-196.67,-,-,-,-,82.31,56.06,54.42,77.84,63.59,80.32,41.51,-,-,-,-
5,Forward PE,29.38,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,59.96,50.25,-,-,-,-,-,-
6,PS Ratio,10.40,6.78,7.44,8.60,10.01,14.41,18.60,28.92,31.55,18.79,16.66,13.42,13.04,21.74,18.56,23.18,12.52,-,-,-,-
7,PB Ratio,4.90,3.19,2.94,2.96,2.79,3.36,3.63,5.14,6.07,4.31,4.21,8.47,8.18,14.08,12.23,14.43,6.93,-,-,-,-
8,P/TBV Ratio,3.29,3.29,3.03,3.05,2.87,3.46,3.71,5.23,6.17,4.38,4.27,8.77,8.30,14.29,12.38,14.62,7.02,-,-,-,-
