,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,365.94,336.8,287.22,228.18,339.75,277.76,251.37,208.87,262.31,216.61,239.06,167.22,308.96,217.73,190,152.95,177.73,137.61,137.61
1,Other Revenue,-,-,-,82.46,-30.63,30.63,-,66.75,-29.14,29.14,-,84.39,-46.34,46.34,-,24.94,19.05,15.39,15.39
2,Revenue,365.94,336.8,287.22,310.63,309.12,308.38,251.37,275.62,233.16,245.76,239.06,251.6,262.62,264.07,190,177.89,196.78,153,153
3,Revenue Growth (YoY),18.38%,9.21%,14.26%,12.70%,32.58%,25.48%,5.15%,9.55%,-11.22%,-6.94%,25.82%,41.44%,33.46%,72.60%,24.18%,-,-,-,-
4,Cost of Revenue,-742.51,254.84,220.66,240.61,247.07,250.74,195.3,223.65,187.3,197.51,199.01,208.05,216.14,211.76,149.64,144.19,148.29,118.74,118.74
5,Gross Profit,1108,81.96,66.56,70.03,62.06,57.65,56.08,51.97,45.87,48.24,40.06,43.55,46.48,52.31,40.36,33.7,48.49,34.26,34.26
6,"Selling, General & Admin",-64.89,24.07,19.55,18.58,21.31,19.2,18.37,16.45,18.05,17.04,13.05,15.43,15.11,12.27,14.36,14.47,13.05,10.43,10.43
7,Research & Development,-50.65,17.91,14.53,19.36,15.26,12.73,12.11,16.83,18.27,12.53,3.98,9.61,14.45,8.41,8.25,4.1,3.62,7.28,7.28
8,Other Operating Expenses,1194,-0.31,-2.84,0.49,-17.97,2.17,-3,33.18,-0.26,-5.52,-18.84,9.33,1.38,1.29,-4.73,1.66,1.32,1.44,1.44
