,Fiscal Quarter,Current,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7077,6389,6369,5869,7387,6754,6832,6128,6596,5904,5164,5380,-,-,-,-,-,-,-,-
1,Market Cap Growth,-13.50%,-5.40%,-6.77%,-4.23%,11.98%,14.39%,32.30%,13.90%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7679,6990,6775,6170,7687,6987,7051,6239,6707,6070,5185,5683,-,-,-,-,-,-,-,-
3,Last Close Price,9.77,8.78,8.68,7.97,10.03,9.17,9.28,8.28,8.91,7.98,6.98,7.23,-,-,-,-,-,-,-,-
4,PE Ratio,60.46,56.18,62.66,57.96,75.11,76.66,86.96,89.57,84.54,76.37,64.76,65.96,-,-,-,-,-,-,-,-
5,Forward PE,41.44,39.98,41.15,39.80,49.09,43.86,48.71,48.71,57.86,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.82,4.91,5.12,4.83,6.26,5.90,6.39,6.09,6.64,6.09,5.17,5.29,-,-,-,-,-,-,-,-
7,PB Ratio,9.65,5.72,5.85,5.37,6.77,6.43,6.61,5.92,6.53,6.04,5.35,5.51,-,-,-,-,-,-,-,-
8,P/TBV Ratio,6.79,6.79,6.77,6.08,7.68,7.22,7.43,6.66,7.35,6.75,5.95,6.13,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-252.64,-,399.59,-,-58.40,-148.60,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,48.20,-,43.82,40.23,32.25,-,128.18,75.29,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.77,5.37,5.45,5.08,6.52,6.10,6.60,6.20,6.75,6.26,5.19,5.59,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,39.81,35.09,33.07,34.01,44.46,57.66,80.76,73.76,-,50.40,41.78,44.79,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,55.34,49.03,44.71,47.14,61.15,90.42,156.06,135.08,-,71.42,58.48,61.08,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-262.93,-,412.37,-,-59.38,-152.78,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.59,0.59,0.53,0.49,0.34,0.34,0.34,0.29,0.27,0.24,0.32,0.27,0.87,0.79,0.79,0.70,0.70,0.66,0.66,0.66
16,Debt / EBITDA Ratio,3.40,3.43,2.44,2.88,1.97,1.66,2.45,1.95,-,2.99,2.32,1.40,6.04,4.85,3.12,3.10,3.96,2.23,3.90,3.90
17,Debt / FCF Ratio,-,-,-,-,-12.77,-,20.58,-,-2.39,-5.90,-,-,-3.39,-,-,-,-9.62,-,-,-
18,Asset Turnover,-,0.71,0.64,0.74,0.76,0.78,0.66,0.75,0.65,0.68,0.70,0.81,0.89,-,-,-,-,0.65,-,
19,Inventory Turnover,-,-,3.58,3.25,3.83,3.95,4.15,3.50,3.95,3.01,3.30,3.89,4.29,4.45,-,-,-,-,3.16,-
20,Quick Ratio,-,-,1.03,0.95,0.97,1.14,1.42,1.52,1.68,1.57,1.34,1.24,0.82,0.72,0.76,-,0.87,-,0.91,0.91
21,Current Ratio,-,-,1.71,1.66,1.69,2.05,2.37,2.68,2.66,2.72,2.35,2.00,1.40,1.47,1.42,-,1.40,-,1.52,1.52
22,Return on Equity (ROE),9.64%,11.54%,9.06%,12.22%,6.39%,11.85%,8.26%,7.84%,2.47%,8.52%,15.88%,12.96%,5.93%,16.47%,9.78%,7.23%,19.16%,7.88%,-,
23,Return on Assets (ROA),-,5.64%,4.58%,4.87%,6.63%,3.50%,4.58%,-2.68%,1.95%,3.99%,7.15%,2.33%,3.14%,-,-,-,-,3.67%,-,
24,Return on Capital (ROIC),4.84%,6.49%,5.32%,5.69%,7.75%,4.06%,5.31%,-3.17%,2.25%,4.59%,8.37%,2.72%,3.66%,7.25%,6.33%,4.62%,9.06%,4.23%,-,
25,Return on Capital Employed (ROCE),-,-,10.47%,9.48%,9.74%,5.99%,3.45%,3.63%,-,7.18%,7.90%,8.65%,9.06%,9.83%,12.31%,-,11.27%,-,4.71%,2.36%
26,Earnings Yield,1.50%,1.78%,1.60%,1.73%,1.33%,1.30%,1.15%,1.12%,1.18%,1.31%,1.54%,1.52%,-,-,-,-,-,-,-,-
27,FCF Yield,-,-1.87%,-1.25%,-0.40%,-0.73%,0.25%,-0.92%,-1.71%,-0.67%,-2.79%,-1.96%,-,-,-,-,-,-,-,-,
28,Dividend Yield,0.77%,-,-,-,0.61%,-,-,-,0.49%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,94.61%,14.32%,14.64%,17.30%,106.56%,9.86%,7.29%,91.41%,158.83%,17.76%,22.25%,55.83%,24.05%,17.13%,7.53%,29.91%,60.83%,60.83%
30,Buyback Yield / Dilution,9.76%,38.03%,43.54%,3.14%,0.01%,0.05%,0.16%,-11.21%,-11.04%,-11.24%,-1.88%,-9.99%,10.67%,-0.01%,-18.06%,1.64%,-,-,-,-
31,Total Shareholder Return,10.54%,38.03%,43.54%,3.14%,0.63%,0.05%,0.16%,-11.21%,-10.55%,-11.24%,-1.88%,-9.99%,10.67%,-0.01%,-18.06%,1.64%,-,-,-,-
