,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,130.95,164.61,126.51,73.66,132.41,89.02,131.16,125.48,139.99,246.33,171.75,39.72,80.72,-,199.6,-,94.89,94.89
1,Trading Asset Securities,-,-,-,-,1.22,5.24,7.99,24.25,4.39,-,-,-,0.02,-,-,-,-,50,50
2,Cash & Short-Term Investments,97.87,130.95,164.61,126.51,74.89,137.64,97.01,155.4,129.87,139.99,246.33,171.75,39.74,80.72,199.6,199.6,144.89,144.89,144.89
3,Cash Growth,30.70%,-4.86%,69.70%,-18.59%,-42.34%,-1.68%,-60.62%,-9.51%,226.81%,73.42%,23.41%,-13.96%,-72.57%,-44.29%,37.76%,-,-,-,-
4,Accounts Receivable,-,341.12,300.1,281.79,316.93,304.97,287.96,278.16,273.08,261.3,224.74,172.64,230.24,216.46,-,157.92,-,176.19,176.19
5,Other Receivables,-,4.55,3.58,3.05,3.08,3.35,4.33,8.29,3.41,8.14,11.05,12.89,0.94,0.88,-,1.27,-,1.17,1.17
6,Receivables,-,345.67,303.68,284.83,320.01,308.32,292.3,286.45,276.49,269.43,235.78,185.53,231.18,217.34,-,162.71,-,180.88,180.88
7,Inventory,-,275.15,294.23,248.68,253.59,246.61,236.21,209.6,242.84,254.57,224.41,185.09,203.34,185.06,-,140.88,-,150.12,150.12
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,4.4,-,4.48,-,3.25,-,1.13,1.13
