,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+12 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+12 Quarters
0,Revenue,144618,106377,187207,106203,191743,106846,132961,101024,125784,122961,125102,105070,113228,97825,113198,92773,106284,100333,96190,82835,Upgrade
1,Revenue Growth (YoY),-24.58%,-0.44%,40.80%,5.13%,52.44%,-13.11%,6.28%,-3.85%,11.09%,25.69%,10.52%,13.25%,6.53%,-2.50%,17.68%,12.00%,14.70%,13.23%,7.28%,10.69%,Upgrade
2,Cost of Revenue,62916,58499,108143,57395,121912,57466,58568,53899,58565,59514,57844,54301,57699,51057,52268,49042,49976,46001,42721,42928,Upgrade
3,Gross Profit,81703,47879,79065,48808,69832,49380,74393,47125,67218,63447,67258,50769,55529,46768,60930,43731,56308,54332,53469,39907,Upgrade
4,"Selling, General & Admin",3813,3098,2542,3719,3972,2903,3081,3359,2089,2263,2004,2891,-9068,12593,2267,2821,1331,2023,1935,2941,Upgrade
5,Other Operating Expenses,56.72,-,36.2,46.43,47.33,-,32.08,85.52,25.68,-,-40.5,156.33,90.21,-,-,-,119.25,-,-,-,Upgrade
6,Operating Expenses,4039,3098,2770,4127,4120,2903,3299,3829,2309,2263,2144,3320,-8447,12593,2267,2821,1925,2023,1935,2941,Upgrade
7,Operating Income,77663,44781,76295,44682,65712,46478,71093,43295,64909,61184,65114,47448,63976,34175,58663,40910,54383,52310,51535,36966,Upgrade
8,Interest Expense,-2152,-1193,-2049,-3932,-5452,-4649,-6254,-3379,-6194,-3622,-7218,-4367,-8733,-5170,-7442,-8324,-10053,-8847,-7254,-7103,Upgrade
