,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,"Selling, General & Admin",46.05,84.66,52.01,15.08,28.36
1,Research & Development,201.97,191.48,120.09,106.33,76.32
2,Operating Expenses,248.03,276.14,172.1,121.41,104.68
3,Operating Income,-248.03,-276.14,-172.1,-121.41,-104.68
4,Interest Expense,-0.48,-0.2,-0.2,-0.21,-0.22
5,Interest & Investment Income,10.85,10.53,13.75,9.57,2.81
6,Currency Exchange Gain (Loss),3.05,-2.15,-0.5,-3.14,-4.38
7,Other Non Operating Income (Expenses),24.24,0.96,8.98,7.09,1.11
8,EBT Excluding Unusual Items,-210.37,-266.99,-150.08,-108.1,-105.35
9,Gain (Loss) on Sale of Investments,0.14,-,-,-,-
10,Gain (Loss) on Sale of Assets,-0.17,-,-,-,-
11,Other Unusual Items,-,-122.53,-399.64,-8.01,31.25
12,Pretax Income,-210.41,-389.51,-549.72,-116.1,-74.11
13,Income Tax Expense,0.54,0.05,0.03,-0.04,0.07
14,Net Income,-210.95,-389.56,-549.74,-116.06,-74.18
15,Net Income to Common,-210.95,-389.56,-549.74,-116.06,-74.18
16,Shares Outstanding (Basic),452,477,255,467,42
17,Shares Outstanding (Diluted),452,477,255,467,42
18,Shares Change (YoY),77.41%,2.08%,500.00%,-,-
19,EPS (Basic),-0.47,-0.82,-2.16,-0.25,-1.75
20,EPS (Diluted),-0.47,-0.82,-2.16,-0.25,-1.75
21,Free Cash Flow,-183.56,-214.74,-143.98,-98.08,-74.48
22,Free Cash Flow Per Share,-0.41,-0.45,-0.57,-0.21,-1.75
23,EBITDA,-247.59,-275.79,-171.91,-121.21,-104.47
24,D&A For EBITDA,0.44,0.35,0.19,0.2,0.21
25,EBIT,-248.03,-276.14,-172.1,-121.41,-104.68
