,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4042,4084,4774,5239,5839,5479,5946,5660,3648,-,-
1,Market Cap Growth,-22.05%,-22.05%,-18.25%,-4.38%,-1.80%,-3.20%,63.01%,-,-,-,-
2,Enterprise Value,1577,992,1949,2222,3575,2730,4916,4637,3401,-,-
3,Last Close Price,2.87,2.90,3.14,3.61,3.94,3.70,3.95,4.27,2.75,-,-
4,PE Ratio,7.67,7.82,9.27,16.79,20.89,23.01,30.40,35.75,28.95,-,-
5,Forward PE,8.97,7.20,10.75,12.79,-,-,-,-,-,-,-
6,PS Ratio,0.94,1.00,1.21,1.82,2.26,2.48,3.11,3.79,2.99,-,-
7,PB Ratio,2.35,2.22,2.37,3.33,4.06,4.15,4.70,9.39,7.41,-,-
8,P/TBV Ratio,2.48,2.48,2.62,3.59,4.42,4.55,4.99,9.61,7.62,-,-
9,P/FCF Ratio,81.83,-,27.53,-,10.71,-,5.53,-,11.02,-,-
10,P/OCF Ratio,51.32,-,23.36,-,10.42,-,5.46,-,10.71,-,-
11,PEG Ratio,0.45,0.45,0.45,0.45,-,-,-,-,-,-,-
12,EV/Sales Ratio,0.39,0.24,0.50,0.77,1.38,1.23,2.57,3.11,2.78,-,-
13,EV/EBITDA Ratio,2.13,1.36,2.73,6.80,12.68,10.69,22.13,22.58,24.33,-,-
14,EV/EBIT Ratio,2.22,1.40,2.79,7.12,13.31,11.17,23.25,23.54,25.34,-,-
15,EV/FCF Ratio,31.93,-,11.24,-,6.56,-,4.57,-,10.27,-,-
16,Debt / Equity Ratio,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.03,0.05,3.36,0.04
17,Debt / FCF Ratio,1.36,-,0.41,-,0.05,-,0.02,-,0.07,7.85,0.05
18,Return on Capital Employed (ROCE),37.26%,37.26%,33.43%,19.42%,18.27%,18.22%,16.46%,31.86%,26.35%,6.94%,6.18%
19,Earnings Yield,12.93%,12.79%,10.78%,5.95%,4.79%,4.35%,3.29%,2.80%,3.45%,-,-
20,FCF Yield,1.22%,1.21%,3.63%,15.21%,9.33%,12.32%,18.09%,5.63%,9.08%,-,-
21,Buyback Yield / Dilution,-4.54%,-4.83%,-4.25%,-0.51%,-30.61%,-,12.25%,-13.56%,-,-,-
22,Total Shareholder Return,1.03%,-4.83%,-4.25%,-0.51%,-30.61%,-,12.25%,-13.56%,-,-,-
