,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2435,2952,2652,2703,1957,2261,872.59,886.16,1389,57.12
1,Short-Term Investments,28.6,23.78,26.38,17.79,13.31,13.37,7.86,5.57,7.81,5.8
2,Cash & Short-Term Investments,2464,2976,2678,2721,1970,2275,880.45,891.73,1396,62.92
3,Cash Growth,-8.01%,9.38%,35.93%,19.61%,123.78%,155.10%,-36.95%,1317.33%,-,-
4,Accounts Receivable,775.16,390.73,493.87,240.82,792.77,133.15,253.74,90.21,131.48,46.05
5,Other Receivables,133.95,109.7,62.3,57.43,35.11,9.13,12.31,8.14,393.81,536.35
6,Receivables,909.11,500.43,556.16,298.25,827.88,142.28,266.06,98.35,525.29,1395
7,Inventory,44.38,44.99,212.44,39.6,13.83,12.26,5.36,2.14,1.52,3.42
8,Other Current Assets,98.14,83.94,106.36,98.16,117.34,81.88,48.29,51.42,42.45,21.37
9,Total Current Assets,3515,3606,3553,3157,2929,2511,1200,1044,1966,1483
10,"Property, Plant & Equipment",90.64,96.55,65.37,57.1,51.18,51.69,47.02,48.74,43.67,16.85
11,Long-Term Investments,1.86,1.28,0.66,1.34,1.87,1.87,1.56,-,48.85,47.61
12,Goodwill,59.63,59.63,59.63,59.63,57.65,30.71,0.58,0.58,0.58,-
13,Other Intangible Assets,12.18,14.39,14.58,16.56,17.27,10.07,-,-,-,-
14,Long-Term Deferred Tax Assets,31.95,25.79,17.31,15.02,8.37,7.11,7.27,3.87,5.42,5.89
15,Total Assets,3711,3803,3711,3307,3066,2613,1257,1097,2064,1553
16,Accounts Payable,382.44,353.88,193.96,153.84,113.07,91.31,22.47,27.78,35.46,17.65
17,Accrued Expenses,449.56,540.33,440.21,497.94,305.7,403.69,203.49,230.62,135.57,168.79
18,Short-Term Debt,3.64,1.57,-,0.13,-,1.78,-,5.33,254.81,0.32
19,Current Portion of Long-Term Debt,1.33,1.35,1.5,1.5,-,-,-,-,-,-
20,Current Portion of Leases,7.44,8.07,7.19,3.61,4.38,6.28,4.58,4.91,2.75,2.79
21,Current Income Taxes Payable,94.6,165.59,73.04,68.96,52.2,38.09,38.29,32.64,22.12,30.72
22,Current Unearned Revenue,582.59,446.42,1092,990.09,1072,787.3,265.78,178.19,173.8,119.35
23,Other Current Liabilities,417.59,388.13,414.75,289.41,373.47,237.76,207.76,188.52,169.07,127.05
24,Total Current Liabilities,1939,1905,2223,2005,1921,1566,742.36,668,793.56,466.67
25,Long-Term Debt,17.58,18.25,8.5,8.5,-,-,-,-,902.77,-
26,Long-Term Leases,32.37,34.71,17.3,11.97,7.35,7.89,8.16,9.24,9.32,4.85
27,Long-Term Deferred Tax Liabilities,12.75,13.22,7.45,7.94,9.8,7.34,4.88,4.94,9.94,1.34
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,902.77
29,Total Liabilities,2002,1972,2256,2034,1938,1581,755.39,682.18,1716,1376
30,Common Stock,11.94,11.94,11.35,11.29,11.29,11.29,9.98,9.98,0.01,0.01
31,Additional Paid-In Capital,143.1,476.2,413.11,433.19,431.52,500.08,-,-,-,-
32,Retained Earnings,1373,1182,886.33,714.43,618.57,467.21,394.37,307.84,262.73,203.21
33,Comprehensive Income & Other,74.62,56.23,114.03,86.85,41.41,32.83,85.92,85.98,84.29,-26.9
34,Total Common Equity,1602,1726,1425,1246,1103,1011,490.28,403.8,347.03,176.32
35,Minority Interest,107.36,105.52,29.65,26.95,25.24,19.85,10.9,10.85,1.56,1.1
36,Shareholders' Equity,1710,1832,1454,1273,1128,1031,501.18,414.65,348.6,177.42
37,Total Liabilities & Equity,3711,3803,3711,3307,3066,2613,1257,1097,2064,1553
38,Total Debt,62.36,63.95,34.49,25.71,11.73,15.95,12.73,19.49,1170,7.96
39,Net Cash (Debt),2401,2912,2644,2695,1959,2259,867.72,872.24,226.78,54.96
40,Net Cash Growth,-9.17%,8.05%,34.98%,19.32%,125.72%,158.97%,282.63%,1487.19%,-,-
41,Net Cash Per Share,1.71,2.07,1.97,2.00,1.47,2.19,0.65,0.74,0.19,-
42,Filing Date Shares Outstanding,1408,1408,1343,1336,1336,1336,1177,1177,1177,-
43,Total Common Shares Outstanding,1408,1408,1343,1336,1336,1336,1177,1177,-,-
44,Working Capital,1576,1700,1330,1151,1009,945.03,457.79,375.64,1172,1016
45,Book Value Per Share,1.14,1.23,1.06,0.93,0.83,0.76,0.42,0.34,-,-
46,Tangible Book Value,1530,1652,1351,1170,1028,970.64,489.7,403.23,346.45,176.32
47,Tangible Book Value Per Share,1.09,1.17,1.01,0.88,0.77,0.73,0.42,0.34,-,-
48,Machinery,-,44.34,-,40.21,-,29.69,-,21.87,20.94,18.7
49,Leasehold Improvements,-,41.53,-,23.18,-,20.25,-,18.65,15.75,1.31
