,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,11860,13105,14514,16104,13494,14977,21001,21667,11288,8671,10634
1,Market Cap Growth,-18.62%,-18.62%,7.56%,7.53%,-35.75%,-30.88%,86.04%,149.89%,6.15%,-25.09%,-
2,Enterprise Value,42350,42444,39907,38470,34330,32724,30898,33041,21427,17334,18108
3,Last Close Price,2.73,2.97,3.27,3.56,2.97,3.14,4.30,4.33,2.39,1.78,2.18
4,PE Ratio,43.63,47.45,15.30,17.87,6.43,4.87,6.55,5.96,5.75,9.06,6.97
5,Forward PE,24.93,11.71,5.66,2.88,2.88,3.07,3.98,4.84,6.24,5.97,6.46
6,PS Ratio,0.22,0.24,0.29,0.36,0.28,0.30,0.43,0.60,0.48,0.47,0.50
7,PB Ratio,0.86,0.84,0.91,1.03,0.95,1.02,1.54,1.61,1.13,1.13,1.40
8,P/TBV Ratio,1.08,1.08,1.16,1.30,1.08,1.12,1.74,1.80,1.17,1.16,1.44
9,P/FCF Ratio,-,-,-,357.75,-,-,-,9.20,-14.86,-,-
10,P/OCF Ratio,8.95,8.95,5.98,4.58,3.77,4.53,4.07,4.34,8.12,9.06,10.84
11,EV/Sales Ratio,0.78,0.78,0.79,0.86,0.70,0.65,0.64,0.91,0.91,0.94,0.86
12,EV/EBITDA Ratio,9.23,9.95,10.11,14.56,7.82,5.81,5.10,5.74,6.58,8.68,7.38
13,EV/EBIT Ratio,23.50,25.98,26.28,37.47,11.75,7.81,6.79,7.28,8.75,13.93,10.51
14,EV/FCF Ratio,-50.79,-,-,854.61,-,-,-,14.03,-28.20,-,-
15,Debt / Equity Ratio,2.12,2.12,1.82,1.71,1.64,1.60,1.51,1.09,1.27,1.44,1.28
16,Debt / FCF Ratio,-,-,-,593.76,-,-,-,6.22,-16.60,-,-
17,Return on Capital Employed (ROCE),5.75%,5.75%,5.77%,3.76%,12.28%,17.21%,18.60%,19.61%,18.30%,12.67%,18.53%
18,Earnings Yield,2.33%,2.11%,6.53%,5.59%,15.54%,20.55%,15.28%,16.79%,17.39%,11.04%,14.34%
19,FCF Yield,-7.03%,-6.36%,2.08%,0.28%,-9.21%,-9.96%,4.53%,10.87%,-6.73%,-16.27%,-8.30%
20,Dividend Yield,0.79%,0.72%,2.06%,1.76%,5.02%,6.94%,5.31%,6.34%,6.49%,3.95%,5.13%
21,Buyback Yield / Dilution,0.24%,0.40%,0.09%,0.30%,0.36%,-7.07%,-8.59%,-1.32%,0.06%,-7.57%,-20.30%
22,Total Shareholder Return,1.04%,1.12%,2.15%,2.06%,5.39%,-0.14%,-3.28%,5.02%,6.55%,-3.63%,-15.18%
