,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,3637,1239,2596,1201,2126,2281,3950,1182,929.42,1060
1,Short-Term Investments,150,-,54.47,178.01,252.1,-,-,-,-,-
2,Trading Asset Securities,33.28,9.42,25.01,23.94,55.15,89.58,125.69,5.29,33.95,10.49
3,Cash & Short-Term Investments,3820,1249,2675,1403,2433,2370,4076,1187,963.38,1070
4,Cash Growth,42.79%,-10.97%,9.95%,-40.83%,-40.30%,99.66%,323.07%,10.92%,-35.64%,40.96%
5,Accounts Receivable,4434,3466,2652,3072,1473,3060,1459,1100,1533,735.33
6,Other Receivables,109.09,109.09,-,20,1134,1.87,128.85,218.7,100.1,354.54
7,Receivables,4743,3775,2652,3392,2607,3061,1587,1353,1998,1455
8,Inventory,7558,6624,5688,5414,4748,4398,3122,2661,1709,1641
9,Restricted Cash,3673,2375,2251,1024,1105,900.07,1439,1295,1513,1074
10,Other Current Assets,3605,3112,1690,2156,1744,1417,1262,707.16,817.49,363.73
11,Total Current Assets,23398,17134,14957,13389,12638,12147,11486,7203,7002,5603
12,"Property, Plant & Equipment",28698,29115,29575,24158,20510,18383,16567,12417,11626,10896
13,Long-Term Investments,4189,4253,5398,6239,5258,2680,2716,1953,1724,1804
14,Goodwill,232.44,232.44,232.44,232.44,232.44,232.44,152.44,31.81,31.81,31.81
15,Other Intangible Assets,1370,1346,1339,814.43,796.7,877.77,894.26,78.75,70.54,75.91
16,Long-Term Accounts Receivable,546.16,286.62,126.77,113.09,-,80.81,-,-,-,-
17,Long-Term Deferred Tax Assets,169.89,144.34,118.59,128.33,141.62,125.25,159.77,187.79,233.04,202.24
18,Other Long-Term Assets,590.08,725.09,772.85,1029,1782,1897,1296,2221,1661,1588
19,Total Assets,59845,53836,52820,46103,41659,36782,33648,24461,22347,20201
20,Accounts Payable,6649,8774,5809,3667,2551,2692,2183,1813,2279,2206
21,Accrued Expenses,152.4,-,147.61,388.85,376.04,478.07,440.08,313.33,-,89.95
22,Short-Term Debt,4790,3939,3247,2533,2588,1439,1851,1879,1905,1104
23,Current Portion of Long-Term Debt,14530,13570,11263,10092,9643,6771,5488,5945,6420,6187
24,Current Portion of Leases,54.02,60.49,59.83,49.33,42.21,71.21,72.63,27.79,20.35,19.89
25,Current Income Taxes Payable,357.71,379.83,381.96,713.95,921.07,839.8,807.71,237.1,202.17,249.31
26,Current Unearned Revenue,2270,2401,2305,2011,1987,2253,1536,994.52,733.2,938.95
27,Other Current Liabilities,4615,831.39,4321,5592,2760,2296,2010,1979,1839,1095
28,Total Current Liabilities,33419,29955,27534,25047,20868,16841,14389,13190,13398,11890
29,Long-Term Debt,10770,8197,9595,7604,7711,8278,4591,2726,1733,1369
30,Long-Term Leases,504.72,539.41,570.12,423.9,107.88,142.8,182.65,41.74,15.89,26.18
31,Long-Term Unearned Revenue,160.59,125.6,129.84,136.86,126.57,127.74,84.83,81.65,86,80.02
32,Long-Term Deferred Tax Liabilities,397.42,419.88,432.34,295.32,287.6,297.99,316.36,39.31,39.26,36.15
33,Other Long-Term Liabilities,101.97,126.89,98.46,-,-,-,2901,-,76.76,-
34,Total Liabilities,45354,39364,38360,33508,29101,25687,22465,16078,15348,13401
35,Common Stock,380.67,382.25,382.25,382.25,383.43,383.6,383.6,354.7,354.7,354.7
36,Additional Paid-In Capital,2956,3007,3007,3007,3047,3054,3054,1377,1377,1377
37,Retained Earnings,9224,9165,9236,8560,8987,7529,7267,5944,4800,4605
38,Treasury Stock,-21.84,-37.17,-,-,-21.25,-,-,-,-,-
39,Comprehensive Income & Other,405.42,381.52,393.73,160.58,32.48,1.76,360.12,562.37,356.55,354.69
40,Total Common Equity,12943,12898,13019,12110,12428,10968,11065,8239,6888,6691
41,Minority Interest,1547,1574,1441,484.6,129.93,126.77,118.35,144.04,110.94,108.7
42,Shareholders' Equity,14490,14472,14460,12595,12558,11095,11183,8383,6999,6800
43,Total Liabilities & Equity,59845,53836,52820,46103,41659,36782,33648,24461,22347,20201
44,Total Debt,30650,26306,24735,20702,20091,16702,12186,10619,10094,8706
45,Net Cash (Debt),-26830,-25057,-22060,-19299,-17658,-14331,-8110,-9432,-9130,-7635
46,Net Cash Per Share,-6.09,-5.67,-4.99,-4.36,-3.98,-3.23,-1.96,-2.31,-2.23,-1.87
47,Filing Date Shares Outstanding,4352,4412,4424,4424,4431,4440,4440,4090,4090,4090
48,Total Common Shares Outstanding,4398,4412,4424,4424,4431,4440,4440,4090,4090,4090
49,Working Capital,-10021,-12822,-12577,-11658,-8230,-4693,-2903,-5987,-6396,-6286
50,Book Value Per Share,2.94,2.92,2.94,2.74,2.80,2.47,2.49,2.01,1.68,1.64
51,Tangible Book Value,11341,11320,11448,11064,11399,9858,10018,8128,6786,6584
52,Tangible Book Value Per Share,2.58,2.57,2.59,2.50,2.57,2.22,2.26,1.99,1.66,1.61
53,Buildings,-,14643,-,7152,-,6732,-,4964,-,4471
54,Machinery,-,19902,-,13111,-,12266,-,8564,-,7685
55,Construction In Progress,-,865.7,-,8338,-,2943,-,1827,-,1128
