,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1852,1939,1864,1984,1788,1869,1903,1828,1805,1744,962.13,2007,125.65,-,-,100.33,-,55.36,55.36
1,Trading Asset Securities,1.21,1.21,90.24,2.39,206.59,121.78,155,245.63,423.75,462.18,1317,270.86,20.25,-,-,5.02,-,-,-
2,Cash & Short-Term Investments,1853,1940,1954,1987,1994,1991,2058,2074,2229,2207,2280,2278,145.9,-,105.35,105.35,55.36,55.36,55.36
3,Cash Growth,-7.09%,-2.55%,-5.04%,-4.20%,-10.52%,-9.76%,-9.73%,-8.99%,1427.72%,-,2063.84%,2062.57%,163.57%,-,90.31%,-,-,-,-
4,Accounts Receivable,68.37,86.91,76.32,74.29,80.34,74.68,80.11,61.87,65.07,63.91,54.71,49.9,67.6,-,-,31.28,-,32.06,32.06
5,Other Receivables,9.34,8.07,3.83,3.64,7.78,38.89,10.67,4.46,28.18,7.96,9.72,0.5,2.07,-,-,1.19,-,0.37,0.37
6,Receivables,77.71,94.98,80.15,77.94,88.12,113.56,90.78,66.33,93.25,71.87,64.43,50.4,69.67,-,-,32.47,-,32.43,32.43
7,Inventory,172.89,165.58,154.49,136.72,131.78,111.49,102.45,93.05,80.79,72.23,70.05,62.17,50.18,-,-,32.58,-,25.75,25.75
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-
