,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,169.63,147.86,146,120.22,149.5,126.21,136.87,114,127.91,110.41,114.26,100.57,104.94,81.75,89.45,73.73,68.77,48.64,48.64
1,Other Revenue,-5.54,5.54,-,10.85,-5.32,5.32,-,7.85,-3.94,3.94,-,8.28,-3.92,3.92,-,1.62,2.95,0.99,0.99
2,Revenue,164.08,153.4,146,131.07,144.18,131.53,136.87,121.85,123.96,114.36,114.26,108.85,101.02,85.67,89.45,75.35,71.71,49.63,49.63
3,Revenue Growth (YoY),13.81%,16.62%,6.67%,7.57%,16.31%,15.02%,19.79%,11.95%,22.71%,33.49%,27.73%,44.46%,40.86%,72.62%,80.24%,-,-,-,-
4,Cost of Revenue,-3.49,32.85,10.83,49.53,-1.68,25.04,12.25,32.83,0.65,20.36,5.17,10.05,1.89,16.8,5.52,9.74,2.47,5.37,5.37
5,Gross Profit,167.57,120.55,135.17,81.55,145.86,106.49,124.62,89.02,123.32,94,109.09,98.8,99.13,68.87,83.93,65.61,69.24,44.25,44.25
6,"Selling, General & Admin",80.71,74.25,70.52,74.68,66.52,59.52,53.92,60.54,53.08,37.41,34.2,44.38,28.5,22.46,20.47,14.64,15.22,12.99,12.99
7,Research & Development,43.58,41.39,36.84,28.19,33.43,31.82,28.79,24.72,37.39,27.81,22.54,19.23,14.13,13.64,12.55,9.07,8.47,6.55,6.55
8,Other Operating Expenses,0.58,0.56,0.67,0.62,-2.17,-0.74,-0.18,3.96,-3.48,0.2,0.13,0.52,0.07,0.07,0.08,0.68,-0.4,0.08,0.08
9,Operating Expenses,125.87,116.18,108.45,103.44,98.18,90.1,83.35,90.07,86.2,65.19,57.66,64.04,43.43,35.79,33.82,24.36,23.28,20.04,20.04
10,Operating Income,41.7,4.37,26.73,-21.89,47.68,16.4,41.27,-1.05,37.12,28.81,51.43,34.76,55.7,33.07,50.1,41.25,45.96,24.21,24.21
11,Interest Expense,-0.56,-0.59,-0.67,-1.01,-0.58,-0.56,-0.55,-1.8,-0.64,-0.08,-0.43,-0.44,-0.26,-0.16,-0.29,-,-,-,-
12,Interest & Investment Income,14.5,19.37,14.06,15.32,18.38,10.14,17.08,15.46,19.95,13.31,14.53,8.94,1.04,0.44,0.31,0.25,0.25,0.15,0.15
13,Currency Exchange Gain (Loss),4.23,-4.23,-,10.87,-14.42,14.42,-,15.5,-14.48,14.48,-,1.42,1.33,-1.33,-,-2.27,-0.98,0.49,0.49
14,Other Non Operating Income (Expenses),-6.81,-2.28,1.01,-9.87,7.83,4.16,-5.22,-31.54,30.21,3.2,-3.59,0.26,-0.84,-0.48,0,2.34,-2.92,-0.29,-0.29
15,EBT Excluding Unusual Items,53.06,16.64,41.12,-6.57,58.89,44.55,52.58,-3.42,72.16,59.72,61.93,44.94,56.96,31.54,50.12,41.58,42.31,24.57,24.57
16,Gain (Loss) on Sale of Investments,0,-1.92,-,0.66,-,-,-,0.68,-,-0.06,-,-0.16,-0.95,2.28,-1.11,0.01,-,-,-
17,Gain (Loss) on Sale of Assets,-0.4,-,-,0.05,-0.05,-,-,0.62,0.07,0.01,-0.49,-0.13,0.53,-0.11,-0.01,-0,-,-0.01,-0.01
18,Asset Writedown,-31.65,10.08,-10.08,19.62,-19.73,6.11,-6.11,10.98,-11.73,1.83,-1.83,3.9,-3.95,2.05,-2.05,1.7,-1.71,-,-
19,Other Unusual Items,1.54,1.04,0.43,10.66,-,-,-,24.52,-,-,-,11.59,-,-,-,0.61,0,-0,-0
20,Pretax Income,22.56,25.85,31.47,24.42,39.11,50.66,46.48,33.38,60.49,61.5,59.62,60.13,52.59,35.77,46.95,43.9,40.61,24.56,24.56
21,Income Tax Expense,-2.73,1.35,2.25,-2.99,5.74,6.81,3.56,-4.45,5.68,8.34,6.2,7.65,3.58,4.37,6.41,5.83,5.16,3.48,3.48
22,Earnings From Continuing Operations,25.28,24.5,29.22,27.41,33.38,43.85,42.92,37.83,54.81,53.16,53.42,52.48,49.01,31.4,40.54,38.08,35.45,21.08,21.08
23,Minority Interest in Earnings,1.51,1.52,1.45,-1.97,3.15,2.74,2.13,0.15,2.07,2.22,0.08,0.46,0.15,0.07,0.1,0.03,-0.06,0.11,0.11
24,Net Income,26.79,26.02,30.67,25.44,36.52,46.58,45.05,37.98,56.88,55.38,53.5,52.94,49.17,31.47,40.63,38.11,35.39,21.19,21.19
25,Net Income to Common,26.79,26.02,30.67,25.44,36.52,46.58,45.05,37.98,56.88,55.38,53.5,52.94,49.17,31.47,40.63,38.11,35.39,21.19,21.19
26,Net Income Growth,-26.64%,-44.13%,-31.91%,-33.02%,-35.79%,-15.88%,-15.80%,-28.26%,15.69%,75.95%,31.66%,38.92%,38.91%,48.53%,91.77%,-,-,-,-
27,Shares Outstanding (Basic),120,120,120,120,120,120,120,120,120,120,120,110,90,90,90,90,91,90,90
28,Shares Outstanding (Diluted),120,120,120,120,121,121,120,120,121,121,120,110,90,90,90,90,91,90,90
29,Shares Change (YoY),-0.91%,-1.31%,-0.22%,-0.04%,0.01%,-0.03%,0.02%,9.08%,34.88%,34.49%,33.02%,22.26%,-1.50%,0.75%,0.76%,-,-,-,-
