,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6539,5064,4190,4896,7071,8423,7538,8858,8215,10238,13351,13440,16890,-,-,-,-,-,-,-
1,Market Cap Growth,-39.87%,-39.87%,-44.41%,-44.73%,-13.93%,-17.73%,-43.54%,-34.09%,-51.36%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4777,3211,2317,2967,5142,6498,5555,6716,6073,8119,11109,13315,16766,-,-,-,-,-,-,-
3,Last Close Price,54.62,42.05,33.85,39.47,57.01,67.89,60.76,70.22,65.12,81.16,105.84,105.33,132.37,-,-,-,-,-,-,-
4,PE Ratio,60.07,46.49,35.32,35.17,46.04,50.70,40.42,45.36,40.32,46.82,63.28,71.84,96.95,-,-,-,-,-,-,-
5,Forward PE,46.61,28.24,20.33,20.47,31.34,37.49,34.42,33.35,33.13,39.30,52.23,57.00,-,-,-,-,-,-,-,-
6,PS Ratio,11.00,8.52,7.29,8.86,13.01,15.76,14.66,17.82,17.32,22.19,30.45,32.80,43.87,-,-,-,-,-,-,-
7,PB Ratio,2.54,1.97,1.65,1.87,2.73,3.26,2.96,3.39,3.20,4.05,5.41,5.33,6.85,-,-,-,-,-,-,-
8,P/TBV Ratio,2.00,2.00,1.67,1.89,2.77,3.28,2.98,3.41,3.22,4.07,5.43,5.34,6.85,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-282.87,-,-,-,-126.67,-,102.91,161.07,158.57,221.35,-,-,-,-,-,-,-
10,P/OCF Ratio,37.88,37.88,49.05,49.17,63.59,57.04,37.83,42.34,40.63,60.07,89.61,84.66,122.39,-,-,-,-,-,-,-
11,EV/Sales Ratio,8.03,5.40,4.03,5.37,9.46,12.16,10.80,13.51,12.80,17.60,25.34,32.49,43.55,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,54.24,82.46,52.55,-,-,53.40,50.79,56.51,47.60,50.23,61.90,72.96,92.92,-,-,-,-,-,-,-
13,EV/EBIT Ratio,103.57,63.09,40.73,43.06,-,62.31,59.27,63.27,-,53.38,65.08,76.10,96.56,-,-,-,-,-,-,-
14,EV/FCF Ratio,-148.59,-,-,-171.43,-,-,-,-96.03,-,81.61,134.03,157.10,219.72,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.07,-,-,-,-,-,-
16,Debt / EBITDA Ratio,1.09,0.52,1.11,-,4.92,0.33,0.59,0.40,0.82,0.50,0.48,0.18,0.17,0.09,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,-4.80,-,-,-,-1.02,-,0.79,0.93,0.46,0.39,0.34,-,-,-,-,-,-
18,Asset Turnover,0.23,0.22,-,0.19,0.21,0.19,0.20,0.18,0.19,0.18,0.18,0.30,-,-,-,-,-,1.32,-,
19,Inventory Turnover,0.59,-,0.82,-,1.48,-,0.94,0.50,1.51,0.03,1.14,0.31,0.72,-,-,-,-,-,0.83,-
20,Quick Ratio,9.02,9.02,6.52,13.32,11.15,15.32,17.00,23.82,20.29,25.12,37.38,52.98,39.89,4.09,-,-,5.90,-,4.09,4.09
21,Current Ratio,10.08,10.08,7.21,14.50,12.03,16.62,17.96,25.12,21.27,26.19,38.83,54.76,41.12,5.57,-,-,7.66,-,5.37,5.37
22,Return on Equity (ROE),3.96%,3.80%,-,4.24%,5.20%,6.79%,6.62%,5.94%,8.77%,8.52%,8.57%,15.06%,-,-,81.05%,92.60%,110.03%,65.43%,-,
23,Return on Assets (ROA),3.67%,0.38%,-,-1.95%,4.32%,1.49%,3.75%,-0.10%,3.52%,2.78%,5.01%,5.91%,-,-,-,-,-,40.27%,-,
24,Return on Capital (ROIC),3.94%,0.41%,-,-2.06%,4.53%,1.55%,3.87%,-0.10%,3.60%,2.82%,5.09%,6.12%,-,-,62.61%,62.70%,89.16%,46.97%,-,
25,Return on Capital Employed (ROCE),1.78%,1.97%,2.22%,2.59%,-,3.92%,3.60%,3.97%,-,5.87%,6.74%,6.87%,6.98%,52.58%,-,-,67.80%,-,37.58%,18.79%
26,Earnings Yield,1.67%,2.15%,2.83%,2.84%,2.17%,1.97%,2.47%,2.20%,2.48%,2.14%,1.58%,1.39%,1.03%,-,-,-,-,-,-,-
