,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,54682,51681,40855,33402,48961,54356,61402,50988,54458,44924,55256,60297,59855,60998,61361,47285,57697,53366,54363,37280,Upgrade
1,Revenue Growth (YoY),11.68%,-4.92%,-33.46%,-34.49%,-10.09%,21.00%,11.12%,-15.44%,-9.02%,-26.35%,-9.95%,27.52%,3.74%,14.30%,12.87%,26.84%,6.42%,22.00%,-7.23%,-47.58%,Upgrade
2,Cost of Revenue,48939,47229,35712,29234,44600,47204,55060,44262,46644,39824,48497,54018,52980,54027,55249,41641,50689,45413,45243,31876,Upgrade
3,Gross Profit,5743,4452,5143,4168,4361,7153,6342,6726,7813,5100,6760,6278,6875,6971,6113,5644,7008,7953,9121,5404,Upgrade
4,"Selling, General & Admin",6531,4834,4793,3988,4346,7566,5718,6384,6495,4641,5906,6071,5744,5948,5167,5395,5495,6974,6059,4503,Upgrade
5,Operating Expenses,6531,4834,4793,3988,4346,7566,5718,6384,6495,4641,5906,6071,5744,5948,5167,5395,5495,6974,6059,4503,Upgrade
6,Operating Income,-787.14,-381.92,349.97,179.72,15.77,-413.59,624.55,341.15,1318,459.18,853.57,207.04,1132,1023,945.46,249.55,1513,979.51,3061,901.01,Upgrade
7,Interest Expense,-19.16,-,-199.87,-199.78,-127.45,-76.06,-98.88,-87.69,-224.06,-302.88,-405.15,-286.12,-372.32,-438.79,-389.24,-346.49,-486.38,-422.4,-541.45,-494.31,Upgrade
8,Interest & Investment Income,103.86,34.51,3.47,-,56.97,2.71,0.23,3.28,5.71,2.3,2.02,2.79,1.75,1.98,13.19,2.06,1.59,51.71,1.41,2.1,Upgrade
9,Other Non Operating Income (Expenses),992.33,556.26,122.03,189.45,100.65,1043,94.93,234.24,5.85,164.86,210.86,131.19,234.18,-8.79,244.55,130.51,191.1,143.12,42.28,141.96,Upgrade
10,Pretax Income,289.9,208.85,275.59,169.39,45.94,556.14,620.84,490.98,1105,323.45,661.3,54.89,995.18,577.25,813.97,35.63,1219,751.93,2563,550.76,Upgrade
11,Income Tax Expense,119.54,72.67,55.12,33.88,20.67,111.23,124.17,98.2,273.62,64.69,132.26,10.98,138.99,466.7,162.79,7.13,308.77,150.39,512.66,110.15,Upgrade
12,Net Income,170.36,136.18,220.48,135.51,25.26,444.91,496.67,392.78,831.77,258.76,529.04,43.91,856.19,110.55,651.17,28.5,910.39,601.55,2051,440.61,Upgrade
13,Net Income to Common,170.36,136.18,220.48,135.51,25.26,444.91,496.67,392.78,831.77,258.76,529.04,43.91,856.19,110.55,651.17,28.5,910.39,601.55,2051,440.61,Upgrade
14,Net Income Growth,574.34%,-69.39%,-55.61%,-65.50%,-96.96%,71.94%,-6.12%,794.49%,-2.85%,134.07%,-18.76%,54.05%,-5.95%,-81.62%,-68.25%,-93.53%,85.01%,-38.75%,204.12%,-61.91%,Upgrade
15,Shares Outstanding (Basic),3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Shares Outstanding (Diluted),3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,EPS (Basic),56.56,45.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,EPS (Diluted),56.56,45.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Free Cash Flow,9183,9183,11755,11755,8380,3664,6664,9483,-,-6362,-,21694,-,35238,10737,15224,21033,14740,27511,18835,Upgrade
20,Free Cash Flow Per Share,3048.83,3048.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,300.000,-,-,-,-,-,-,-,Upgrade
22,Gross Margin,10.50%,8.61%,12.59%,12.48%,8.91%,13.16%,10.33%,13.19%,14.35%,11.35%,12.23%,10.41%,11.49%,11.43%,9.96%,11.94%,12.15%,14.90%,16.78%,14.50%,Upgrade
23,Operating Margin,-1.44%,-0.74%,0.86%,0.54%,0.03%,-0.76%,1.02%,0.67%,2.42%,1.02%,1.54%,0.34%,1.89%,1.68%,1.54%,0.53%,2.62%,1.84%,5.63%,2.42%,Upgrade
24,Profit Margin,0.31%,0.26%,0.54%,0.41%,0.05%,0.82%,0.81%,0.77%,1.53%,0.58%,0.96%,0.07%,1.43%,0.18%,1.06%,0.06%,1.58%,1.13%,3.77%,1.18%,Upgrade
25,Free Cash Flow Margin,16.79%,17.77%,28.77%,35.19%,17.12%,6.74%,10.85%,18.60%,-,-14.16%,-,35.98%,-,57.77%,17.50%,32.20%,36.45%,27.62%,50.61%,50.52%,Upgrade
26,EBITDA,-635.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,EBITDA Margin,-1.16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,D&A For EBITDA,152.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,EBIT,-787.14,-381.92,349.97,179.72,15.77,-413.59,624.55,341.15,1318,459.18,853.57,207.04,1132,1023,945.46,249.55,1513,979.51,3061,901.01,Upgrade
30,EBIT Margin,-1.44%,-0.74%,0.86%,0.54%,0.03%,-0.76%,1.02%,0.67%,2.42%,1.02%,1.54%,0.34%,1.89%,1.68%,1.54%,0.53%,2.62%,1.84%,5.63%,2.42%,Upgrade
31,Effective Tax Rate,41.23%,34.79%,20.00%,20.00%,45.01%,20.00%,20.00%,20.00%,24.75%,20.00%,20.00%,20.00%,13.97%,80.85%,20.00%,20.00%,25.33%,20.00%,20.00%,20.00%,Upgrade
32,Revenue as Reported,54682,51681,40855,33402,48961,54356,61402,50988,54458,44924,55256,60297,59855,60998,61361,47285,57697,53366,54363,37280,Upgrade
