,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,177.18,167.09,151.95,136.4,172.78,141.73,136.02,106.74,136.42,199.27,199.71,227.52,233.45,213.31,197.16,213.95,188.41,183.14,120.96
1,Other Revenue,-4.22,4.22,-,9.49,-5.16,5.16,-,10.87,-6.99,6.99,-,18.44,-8.39,8.39,-,9.95,-3.32,2.17,1.15
2,Revenue,172.96,171.31,151.95,145.89,167.62,146.9,136.02,117.6,129.43,206.26,199.71,245.96,225.06,221.7,197.16,223.9,185.08,185.31,122.11
3,Revenue Growth (YoY),3.19%,16.62%,11.71%,24.05%,29.51%,-28.78%,-31.89%,-52.19%,-42.49%,-6.96%,1.29%,9.85%,21.60%,19.64%,61.47%,-,-,-,-
4,Cost of Revenue,135.75,139.5,125.4,131.53,131.45,127.71,111.69,111.29,103.36,167.48,158.1,198.06,169.03,172.19,144.41,156.99,122.84,128.62,91.52
5,Gross Profit,37.21,31.8,26.55,14.36,36.17,19.18,24.33,6.31,26.07,38.78,41.6,47.9,56.03,49.51,52.76,66.91,62.24,56.7,30.59
6,"Selling, General & Admin",17.21,17.64,15.5,16.64,18.1,16.6,14.25,22.4,15.49,16.77,14.75,23.06,18.24,13.59,12.79,16.63,16.82,13.98,12.61
7,Research & Development,8.46,8.52,8.62,9.67,5.77,7.22,6.66,8.16,6.29,7.51,6.38,12.78,7.96,7.13,6.15,10.58,6.94,5.46,2.81
8,Other Operating Expenses,0.03,-0.29,0.66,0.59,-0.21,0.47,0.12,2.61,0.71,-0.04,-0.87,1.93,-0.22,0.15,0.41,-0.27,-2.42,0.1,0.4
