,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2511,2221,2103,2115,2806,2531,2732,2195,1675,1802,2380,2659,3014,3050,-,-,-,-,-,-
1,Market Cap Growth,-12.27%,-12.27%,-23.02%,-3.66%,67.49%,40.47%,14.78%,-17.46%,-44.42%,-40.92%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2207,1761,1589,1862,2553,2267,2453,1875,1355,1538,2145,2381,2686,3095,-,-,-,-,-,-
3,Last Close Price,22.76,20.13,19.06,19.05,27.03,24.39,26.31,21.15,16.14,17.36,22.93,25.62,29.04,29.38,-,-,-,-,-,-
4,PE Ratio,164.37,152.94,125.79,216.69,-,1684.88,-2041.37,196.65,-,32.37,30.60,31.01,32.64,27.52,-,-,-,-,-,-
5,PS Ratio,3.72,3.46,3.30,3.45,4.70,4.46,5.15,3.72,2.57,2.31,2.71,2.98,3.39,3.51,-,-,-,-,-,-
6,PB Ratio,2.53,2.06,1.96,1.96,2.86,2.90,3.16,2.55,1.96,2.08,2.75,3.13,3.64,3.75,-,-,-,-,-,-
7,P/TBV Ratio,2.31,2.31,2.21,2.21,2.93,2.98,3.20,2.59,1.99,2.11,2.79,3.18,3.69,3.79,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-90.64,-,-,-,20.59,13.06,29.61,-,128.95,-192.54,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,817.50,138.14,-,-,14.12,10.13,16.92,-,31.30,57.87,-,-,-,-,-,-
10,EV/Sales Ratio,3.44,2.74,2.49,3.04,4.28,3.99,4.63,3.18,2.07,1.97,2.45,2.67,3.02,3.57,-,-,-,-,-,-
11,EV/EBITDA Ratio,75.95,67.94,61.80,129.66,-,1327.67,-,107.89,-,21.58,22.92,22.47,23.01,21.34,-,-,-,-,-,-
12,EV/EBIT Ratio,431.38,322.81,300.12,-315.64,-,-122.83,-,-1019.73,-,28.77,28.10,26.62,26.65,23.90,-,-,-,-,-,-
13,EV/FCF Ratio,-16.13,-,-,-,-82.48,-,-,-,16.66,11.15,26.69,-,114.90,-195.36,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.03,0.05,0.05,0.06,0.07,0.04,0.05,0.04,0.09,0.08,0.07,0.07,0.15,0.20,0.20,0.18,-,0.26
15,Debt / EBITDA Ratio,3.71,1.67,0.73,1.84,-,0.80,11.55,1.05,-,0.91,0.91,0.62,0.85,0.44,0.48,0.51,0.45,0.34,-,0.90
16,Debt / FCF Ratio,-,-,-,-,-1.60,-,-,-,0.57,0.28,0.96,-,2.45,-3.65,-,-,2.45,13.42,-,-
17,Asset Turnover,0.52,0.53,0.49,0.51,0.62,0.57,0.53,0.46,0.49,0.77,0.74,0.93,1.10,-,-,1.54,-,-,-,
18,Inventory Turnover,5.16,4.68,5.57,6.24,6.65,6.57,7.04,6.12,6.07,4.71,5.72,5.07,6.50,5.70,-,-,6.01,-,-,-
19,Quick Ratio,3.13,3.13,3.90,4.00,3.92,2.45,2.76,3.09,3.08,3.59,2.60,2.57,2.19,3.00,1.31,-,1.17,0.99,-,0.93
20,Current Ratio,3.73,3.73,4.50,4.50,4.34,3.64,3.44,3.68,3.58,4.13,3.13,3.26,2.66,3.66,1.98,-,1.62,1.56,-,1.40
21,Return on Equity (ROE),1.58%,3.42%,1.81%,-2.35%,3.27%,1.37%,1.97%,-5.93%,1.97%,7.22%,9.69%,7.63%,17.05%,23.51%,28.77%,38.26%,-,-,-,
22,Return on Assets (ROA),2.09%,1.02%,0.31%,-2.72%,2.53%,-1.43%,0.60%,-6.33%,1.53%,3.55%,5.13%,2.33%,8.95%,-,-,16.58%,-,-,-,
23,Return on Capital (ROIC),2.40%,1.18%,0.35%,-3.16%,2.94%,-1.64%,0.69%,-7.14%,1.73%,4.08%,6.13%,2.80%,10.75%,15.04%,18.55%,22.66%,-,-,-,
24,Return on Capital Employed (ROCE),0.36%,0.48%,0.49%,-0.54%,-,-2.09%,-,-0.21%,-,6.15%,8.81%,10.51%,12.12%,15.87%,33.19%,-,34.28%,26.95%,-,5.73%
25,Earnings Yield,0.58%,0.65%,0.79%,0.46%,0.31%,0.06%,-0.05%,0.51%,1.63%,3.09%,3.27%,3.22%,3.06%,3.63%,-,-,-,-,-,-
26,FCF Yield,-5.45%,-6.16%,-2.98%,-1.34%,-1.10%,-1.10%,1.76%,5.00%,4.86%,7.66%,3.38%,0.92%,0.78%,-0.52%,-,-,-,-,-,-
27,Dividend Yield,0.51%,-,-,-,0.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,98.67%,5.58%,135.38%,5.69%,-,3.06%,5.22%,3.31%,-,6.81%,0.54%,0.80%,0.50%,0.68%,1.01%,1.42%,0.98%,1.64%,2.83%,3.90%
29,Buyback Yield / Dilution,-0.51%,-16.67%,-12.64%,2.55%,22.09%,2.64%,3.13%,-4.08%,-6.81%,-22.09%,-31.72%,-32.18%,-34.18%,-10.69%,1.73%,-1.21%,-,-,-,-
30,Total Shareholder Return,0.00%,-16.67%,-12.64%,2.55%,22.53%,2.64%,3.13%,-4.08%,-6.81%,-22.09%,-31.72%,-32.18%,-34.18%,-10.69%,1.73%,-1.21%,-,-,-,-
