,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,449.94,335.87,483.05,372.05,243.48,241.25,199.63,280.49,224.32,110.16,69.52,214.54,176.13,20.33,-,53.61,20.56,-,21.9
1,Short-Term Investments,-,109.74,108.88,141.39,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,50.02,140.33,60.01,60.31,60.02,80.34,110.05,90.35,135.06,231.59,231.28,121.08,210.21,0.15,-,0.22,0.51,-,2.29
3,Cash & Short-Term Investments,499.96,585.94,651.94,573.74,303.5,321.58,309.67,380.84,359.38,341.75,300.81,335.62,386.34,20.48,53.83,53.83,21.06,-,24.19
4,Cash Growth,64.73%,82.20%,110.53%,50.65%,-15.55%,-5.90%,2.95%,13.47%,-6.98%,1568.68%,458.76%,523.43%,1734.16%,-,122.51%,-,-,-,-
5,Accounts Receivable,201.96,200.07,186.28,187.86,199.7,177.34,159.06,136.57,153.68,210.57,219.46,238.52,227.79,222.17,-,213.22,189.59,-,142.23
6,Other Receivables,2.58,2.98,3.63,2.81,5.62,3.27,3.06,4.28,1.94,1.9,2.55,1.92,2.36,2.46,-,1.96,2.24,-,1.76
7,Receivables,204.54,203.05,189.9,190.67,205.32,180.61,162.12,140.85,155.62,212.47,222.01,240.44,230.15,224.63,-,215.18,191.82,-,143.99
8,Inventory,120.37,111.86,88.63,72.09,86.03,73.96,71.23,74.84,71.78,103.8,130.29,119.01,124.87,112.45,-,96.95,112.14,-,80.42
9,Prepaid Expenses,-,-,-,-,-,0.85,-,-,-,0.01,-,-,-,0.11,-,0.1,0.18,-,0.27
10,Other Current Assets,15.23,8.56,16.28,9.47,159.22,49.51,18.4,10.24,5.25,9.96,9.23,6.28,9.78,11.9,-,8.44,8.44,-,3.65
11,Total Current Assets,840.09,909.4,946.75,845.97,754.06,626.52,561.42,606.77,592.03,668,662.35,701.34,751.13,369.57,-,374.5,333.64,-,252.52
12,"Property, Plant & Equipment",354,299.27,275.26,275.3,272.16,272.71,267.25,254.16,256.43,256.54,257.24,259.81,252.66,223.5,-,220.02,205.04,-,193.13
13,Long-Term Investments,100.92,30.46,30.38,30.31,10.23,116.68,148.24,135.49,124.54,133.57,112.63,111.69,-,-,-,-,-,-,-
14,Goodwill,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,-,-,-,-,-,-,-
15,Other Intangible Assets,27.05,27.25,27.46,19.39,19.53,7.95,8.02,8.09,8.17,8.24,8.31,8.38,8.46,8.53,-,8.6,8.67,-,8.73
16,Long-Term Deferred Tax Assets,5.15,5.31,5.16,5.72,6.67,6.72,4.46,4.21,2.33,2.79,3.13,3.04,3.34,3.32,-,3.13,3.01,-,2.98
17,Long-Term Deferred Charges,4.73,1.4,1.76,2.16,2.63,1.46,1.89,2.38,3.65,3.9,4.39,3.68,3.7,3.54,-,2.81,1.96,-,1.06
18,Other Long-Term Assets,22.16,3.68,2.76,1.4,21.79,22.02,22.03,15.34,21.93,2.5,2.54,2.99,2.42,3.85,-,1.17,1.5,-,1.43
19,Total Assets,1358,1281,1294,1184,1091,1058,1017,1030,1013,1080,1055,1095,1022,612.31,-,610.23,553.81,-,459.86
20,Accounts Payable,151.68,150.28,150.22,133.53,146.7,118.71,111.97,100.6,91.81,119.96,121.9,167.73,130.74,102.56,-,122.56,131.69,-,78.58
21,Accrued Expenses,9.92,10.76,9.19,11.57,9.27,9.18,7.89,20.86,6.1,10.75,8.76,28.41,11.68,11.25,-,21.55,10.05,-,11.9
22,Short-Term Debt,50.16,30.02,40,40.03,40,45,25,39.02,35.25,73.03,60.46,51.53,54.22,60.92,-,68.2,61.53,-,66.26
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
24,Current Portion of Leases,4.79,4.75,4.71,4.62,4.4,4.45,3.92,4.36,2.81,2.77,2.84,2.68,-,2.65,-,2.41,-,-,-
25,Current Income Taxes Payable,3.39,0.48,1.32,0.08,1.79,0.03,0.17,0.04,0.23,0.09,2.08,0.74,2.59,4.68,-,1.37,4.12,-,0.14
26,Current Unearned Revenue,0.27,0.16,0.44,0.17,0.85,0.39,0.18,0.63,0.28,0.74,0.57,0.39,0.33,0.42,-,1.09,1.65,-,1.33
27,Other Current Liabilities,5.04,5.68,4.62,4.9,4.29,4.31,3.47,3.77,6.89,5.9,6.59,11.73,5.92,3.98,-,13.39,5.04,-,17.52
28,Total Current Liabilities,225.25,202.12,210.49,194.91,207.3,182.07,152.59,169.28,143.38,213.25,203.2,263.21,205.49,186.47,-,230.58,214.07,-,180.72
29,Long-Term Debt,51.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,1.36,2.57,3.76,4.97,6.44,7.47,2.65,3.27,0.97,1.69,2.29,3.1,3.64,1.63,-,5.78,-,-,-
31,Long-Term Deferred Tax Liabilities,1.39,2.59,2.65,3.33,3.9,4,2.32,2.36,0.47,0.61,0.55,0.38,-,-,-,-,-,-,-
32,Total Liabilities,279.43,207.29,216.91,203.21,217.64,193.54,157.56,174.9,144.82,215.54,206.04,266.69,209.13,188.1,-,236.36,214.07,-,180.72
33,Common Stock,110.32,110.32,110.32,110.32,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,77.36,-,77.36,77.36,-,77.36
34,Additional Paid-In Capital,486.34,485.42,484.5,483.58,377.67,375.88,374.08,374.08,374.08,374.08,374.08,374.08,374.08,37.87,-,37.87,37.87,-,37.87
35,Retained Earnings,393.85,388.95,392.27,387.12,392.57,385.47,382.51,378.28,391,386.75,371.29,350.98,335.34,308.98,-,258.64,224.51,-,163.91
36,Comprehensive Income & Other,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-,-0,-0,-,-0
37,Total Common Equity,990.51,984.69,987.09,981.02,873.39,864.5,859.75,855.52,868.24,863.98,848.52,828.21,812.57,424.21,373.87,373.87,339.74,-,279.14
38,Minority Interest,88.13,88.78,89.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1079,1073,1077,981.02,873.39,864.5,859.75,855.52,868.24,863.98,848.52,828.21,812.57,424.21,373.87,373.87,339.74,-,279.14
40,Total Liabilities & Equity,1358,1281,1294,1184,1091,1058,1017,1030,1013,1080,1055,1095,1022,612.31,-,610.23,553.81,-,459.86
41,Total Debt,107.75,37.34,48.47,49.63,50.85,56.93,31.57,46.65,39.04,77.49,65.59,57.31,57.86,65.2,76.39,76.39,61.53,-,71.26
42,Net Cash (Debt),392.21,548.6,603.47,524.12,252.65,264.65,278.11,334.19,320.34,264.26,235.21,278.31,328.48,-44.72,-22.55,-22.55,-40.46,-,-47.06
43,Net Cash Growth,55.24%,107.29%,116.99%,56.83%,-21.13%,0.15%,18.24%,20.08%,-2.48%,-,-,-,-,-,-,-,-,-,-
44,Net Cash Per Share,3.34,4.89,5.86,6.05,2.51,2.66,2.63,3.00,3.10,2.57,2.32,2.67,3.87,-0.57,-0.29,-0.29,-0.53,-,-0.62
45,Filing Date Shares Outstanding,110.32,110.32,110.32,110.32,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,77.36,77.36,77.36,79.45,77.36
46,Total Common Shares Outstanding,110.32,110.32,110.32,110.32,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,77.36,77.36,77.36,77.36,79.45,77.36
47,Working Capital,614.84,707.28,736.26,651.06,546.76,444.46,408.83,437.5,448.65,454.75,459.15,438.13,545.64,183.1,-,143.93,119.57,-,71.81
48,Book Value Per Share,8.98,8.93,8.95,8.89,8.47,8.38,8.33,8.29,8.42,8.38,8.23,8.03,7.88,5.48,4.83,4.83,4.39,-,3.61
49,Tangible Book Value,959.49,953.46,955.65,957.64,849.89,852.57,847.74,843.44,856.09,851.76,836.23,815.85,804.11,415.68,365.27,365.27,331.08,-,270.41
50,Tangible Book Value Per Share,8.70,8.64,8.66,8.68,8.24,8.27,8.22,8.18,8.30,8.26,8.11,7.91,7.80,5.37,4.72,4.72,4.28,-,3.50
51,Buildings,-,164.7,-,164.7,-,164.7,-,164.7,-,164.65,-,148.33,-,147.72,-,138.45,134.12,-,138.45
52,Machinery,-,197.12,-,159.54,-,158.54,-,154.4,-,146.25,-,129.87,-,126.61,-,118.52,117.09,-,97.98
53,Construction In Progress,-,42.09,-,43.39,-,29.68,-,10.51,-,15.1,-,41.91,-,6.47,-,9.91,5.77,-,2.62
