,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,344.04,408.75,485.72,534.3,651.9,695.09,792.88,440.48,450.92,455.02,121.22,277.07,192.25,193.53,120.56,152.34,-,-,-
1,Trading Asset Securities,90.8,20.02,-,20.51,20.13,20.42,0.28,30.47,50.32,50.39,358.48,305.58,343.37,400.69,0.5,0.36,-,-,-
2,Cash & Short-Term Investments,434.84,428.77,485.72,554.81,672.03,715.5,793.17,470.96,501.24,505.41,479.7,582.66,535.62,594.22,121.07,152.7,-,-,88.86
3,Cash Growth,-35.29%,-40.07%,-38.76%,17.80%,34.07%,41.57%,65.35%,-19.17%,-6.42%,-14.95%,296.23%,281.57%,-,-,36.24%,-,-,-,-
4,Accounts Receivable,563.04,528.83,559.51,509.05,594.95,503.27,383.53,404.3,489.62,430.32,410.14,368.33,383.58,368.33,329.72,271.13,-,-,-
5,Other Receivables,11.5,14.79,13.36,40.43,13.02,12.61,9.74,30.29,8.75,29.85,8.55,38.54,28.05,12.88,21.96,2.52,-,-,-
6,Receivables,574.55,543.62,572.87,549.48,607.96,515.88,393.27,434.6,498.38,460.17,418.69,406.87,411.62,381.2,351.68,273.64,-,-,-
7,Inventory,281.43,297.02,234.59,200.16,154.25,124.14,115.16,126.65,121.23,143.52,170.03,166.04,118.63,142.18,146.03,121.58,-,-,-
8,Other Current Assets,169.21,135.66,110.56,75.93,79.26,54.17,60.38,30.36,48.94,45.75,51.86,32.85,45.25,22.71,24.3,22.02,-,-,-
9,Total Current Assets,1460,1405,1404,1380,1513,1410,1362,1063,1170,1155,1120,1188,1111,1140,643.08,569.94,-,-,-
10,"Property, Plant & Equipment",1752,1612,1333,1211,976.02,797.9,614.57,533,402.44,335.22,309.21,290.17,261.91,239.59,202.04,201.22,-,-,-
11,Long-Term Investments,12.91,13.01,10.79,10.97,9.96,9.64,12.1,12.35,11.82,2.57,2.38,2.22,2.11,-,-,-,-,-,-
12,Other Intangible Assets,127.19,127.87,128.86,126.34,127.29,99.18,99.99,83,66.79,67.4,67.66,68.26,69.15,32.81,33.02,33.28,-,-,-
13,Long-Term Deferred Tax Assets,24.41,22.93,20.8,22.13,12.12,9.1,7.22,6.86,10.56,9.92,8.41,7.51,4.33,3.96,3.82,2.94,-,-,-
14,Long-Term Deferred Charges,5.26,5.74,4.5,3.32,2.97,2.13,2.42,2.29,2.9,2.18,1.79,1.75,1.3,1.24,1.02,0.83,-,-,-
15,Other Long-Term Assets,61.83,78.49,186.72,137.12,172.58,166.92,201,161.63,153.01,132.08,87.61,38.3,21.43,9.05,11.81,4.44,-,-,-
16,Total Assets,3443,3265,3088,2891,2814,2495,2299,1862,1817,1704,1597,1597,1471,1427,894.8,812.66,-,-,-
17,Accounts Payable,628.59,647.43,559.26,590.03,593.24,431.57,300.62,356.74,450.49,405.1,405.79,391.74,354.15,338.21,343.86,282.34,-,-,-
18,Accrued Expenses,34.59,41.88,24.17,46.19,27.77,27.79,18.42,29.77,21.03,22.37,17.88,49.59,20.87,17.93,14.02,29.31,-,-,-
19,Short-Term Debt,466.11,380.46,315.53,214.15,209.76,130.12,115.13,75.09,55.06,45.04,5.01,10.01,5.01,11.81,46.06,48.86,-,-,-
20,Current Portion of Long-Term Debt,153.95,139.65,126.51,89.16,77.7,75.41,77.38,75.1,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,3.71,-,3.88,-,2.65,-,3.14,3.33,3.32,3.07,3.19,-,-,-,-,-,-,-
22,Current Income Taxes Payable,9.47,0.71,12.15,9.34,9.32,1,4.16,0.02,6.02,4.12,3.15,2.07,6.83,8.91,2.69,8.5,-,-,-
23,Current Unearned Revenue,12.23,9.39,12.33,4.74,7.89,5.29,3.32,4.67,5.59,6.66,7.78,6.06,4.69,3.67,5.91,1.65,-,-,-
24,Other Current Liabilities,101.9,93.26,98.08,97.28,98.93,77.66,30.56,28.76,35.14,40.53,32.76,36.4,9.27,9.2,9.45,11.38,-,-,-
25,Total Current Liabilities,1407,1316,1148,1055,1025,751.48,549.58,573.29,576.66,527.13,475.43,499.06,400.82,389.74,421.99,382.04,-,-,-
26,Long-Term Debt,623.77,530.87,533.56,491.87,638.93,608.87,616.13,169.52,135.98,96.96,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,6.37,5.75,6.12,6.7,6.27,6.18,2.44,2.44,3.04,3.77,3.56,2.88,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,2.84,1.91,2.06,2.23,3.88,5.55,2.7,2.9,3.13,3.74,4.04,3.41,2.35,4.36,2.37,2.48,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,2.86,2.85,2.91,3.03,0.05,0.06,1.34,0.85,0.51,0.12,0.08,0.05,-,-,-
30,Other Long-Term Liabilities,0.55,0.73,0.78,0.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,2040,1856,1691,1556,1677,1375,1174,751.19,718.86,631.66,484.37,506.19,403.68,394.22,424.44,384.58,-,-,-
32,Common Stock,190.18,191.03,190.39,187.8,179.08,175.82,176.76,176.76,177.13,177.13,121.84,121.84,120,120,90,90,-,-,-
33,Additional Paid-In Capital,763.4,770.17,761.26,728.87,608.09,583.14,590.01,592.69,601.66,599.42,647.36,644.45,617.49,617.49,116.86,116.86,-,-,-
34,Retained Earnings,371.29,363.89,367.96,338.43,325.53,310,317.38,302.96,287.09,263.35,308.14,288.41,269.93,295.02,263.49,220.92,-,-,-
35,Treasury Stock,-64.1,-62.38,-62.83,-42.61,-41.06,-15.92,-24.69,-24.69,-28.05,-27.93,-24.7,-24.7,-,-,-,-,-,-,-
36,Comprehensive Income & Other,50.62,50.62,52.28,58.79,3.1,3.1,3.1,-,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1311,1313,1309,1271,1075,1056,1063,1048,1038,1012,1053,1030,1007,1033,470.35,427.78,-,-,367.42
38,Minority Interest,91.6,96.13,88.53,63.37,63.15,63.49,62.94,62.79,60.62,60.57,60.32,60.43,60.24,0.23,0,0.3,-,-,-
39,Shareholders' Equity,1403,1409,1398,1335,1138,1120,1126,1111,1098,1073,1113,1090,1068,1033,470.35,428.08,-,-,367.42
40,Total Liabilities & Equity,3443,3265,3088,2891,2814,2495,2299,1862,1817,1704,1597,1597,1471,1427,894.8,812.66,-,-,-
41,Total Debt,1250,1060,981.73,805.76,932.66,823.23,811.08,325.29,197.4,149.1,11.64,16.08,5.01,11.81,46.06,48.86,-,-,47.58
