,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,654.02,562.57,558.91,434.53,659.76,438.32,456.49,278.44,589.15,399.62,487.87,414.11,474.67,423.57,357.94,413.79,341.55,318.85,182.25
1,Other Revenue,-34.84,34.84,-,141.75,-67.3,67.3,-,146.36,-74.22,74.22,-,45.03,-12.42,12.42,-,12.65,-6.33,6.33,-
2,Revenue,619.18,597.41,558.91,576.28,592.46,505.62,456.49,424.8,514.93,473.84,487.87,459.14,462.25,435.99,357.94,426.44,335.22,325.18,182.25
3,Revenue Growth (YoY),4.51%,18.16%,22.44%,35.66%,15.06%,6.71%,-6.43%,-7.48%,11.40%,8.68%,36.30%,7.67%,37.90%,34.08%,96.40%,-,-,-,-
4,Cost of Revenue,539.9,500.67,468.47,506.63,511.15,433.08,397.72,376.63,440.74,416.03,427.19,399.82,391.26,356.13,274.25,334,267.87,258.79,146.63
5,Gross Profit,79.28,96.74,90.44,69.65,81.31,72.54,58.76,48.17,74.19,57.81,60.68,59.32,71,79.86,83.69,92.44,67.35,66.39,35.62
6,"Selling, General & Admin",42.8,37.95,39.02,45.88,38.59,30.26,25.03,28.94,30.83,24.48,26.62,33.55,26.63,25.67,21.47,22.07,23.46,24.27,17.72
7,Research & Development,24.51,24.39,24.08,28.27,25.74,21,17.49,16,17.6,15.92,16.22,14.77,14.84,17.32,13.05,12.82,11.19,11.86,7.35
8,Other Operating Expenses,-5.87,3.86,-6.79,9.53,-1.18,-5.88,0.31,10.33,-2.62,0.21,-2.44,6.73,-2.59,1.37,0.18,6.78,-1.74,-1.15,-0.04
9,Operating Expenses,62.6,68.64,56.09,82.46,65.7,47.11,43.93,51.19,46.26,43.16,42.21,52.4,41.72,45.38,36.71,40.66,34.23,38.24,23.88
10,Operating Income,16.69,28.1,34.35,-12.81,15.6,25.43,14.84,-3.03,27.93,14.65,18.47,6.92,29.28,34.48,46.98,51.78,33.13,28.15,11.75
11,Interest Expense,-6.4,-5.83,-5.2,-7.94,-2.9,-2.33,-2.13,-5.95,-0.48,-0.31,-0.16,-0.25,-0.06,-0.39,-0.46,-0.55,-0.52,-0.67,-0.6
12,Interest & Investment Income,0.51,1.06,2.75,2.28,1.59,2.54,4.97,-,1.32,9.09,1.28,1.93,1.9,1.67,0.89,1.97,0.75,0.26,0.25
13,Currency Exchange Gain (Loss),-1.25,1.25,-,2.18,-1.81,1.81,-,4.76,-2.57,2.57,-,-1.91,1.07,-1.07,-,-2.79,-0.54,0.54,-
14,Other Non Operating Income (Expenses),0.32,-1.11,0.82,-2.55,1.67,0.76,-1.52,-5.67,5.61,-0.14,-0.64,-4.36,3.85,-0,-0.23,-0.05,-9.11,7.84,0.93
15,EBT Excluding Unusual Items,9.87,23.45,32.72,-18.83,14.15,28.22,16.15,-9.89,31.81,25.86,18.95,2.32,36.04,34.69,47.18,50.36,23.7,36.13,12.32
16,Gain (Loss) on Sale of Investments,0.87,0.21,-0.85,1.53,0.52,-1.19,-0.73,7.91,-2.09,-8.84,2.89,2.25,2.74,0.44,-0.21,-0.71,1.78,0.04,-1.27
17,Gain (Loss) on Sale of Assets,0.15,-,-,-0.06,0.1,0.06,-,0.38,-0.38,-,-,-2.38,-,-,-0.05,-,0.03,-0.03,-
18,Asset Writedown,-3.48,2.08,-2.08,2.49,-2.49,1.76,-1.76,2.96,-3.32,1.02,-1.02,0.24,-0.24,0.15,-0.15,0.08,-0.11,-,-
19,Other Unusual Items,-7.23,7.23,-,25.9,-0.1,0.1,-,10.69,-,-,-,19.23,-0.02,0.02,-,13.25,7.42,-7.42,-
20,Pretax Income,0.18,32.98,29.79,11.03,12.18,28.94,13.66,12.05,26.02,18.03,20.83,21.66,38.53,35.3,46.77,62.98,32.83,28.71,11.05
21,Income Tax Expense,-1.89,-0.35,-0.49,-0.58,-3.02,0.99,-0.22,-3.49,2.35,1.48,1.2,2.76,3.6,3.54,4.5,3.77,6.57,4.04,1.51
22,Earnings From Continuing Operations,2.07,33.33,30.28,11.61,15.2,27.95,13.88,15.54,23.67,16.55,19.63,18.9,34.92,31.76,42.28,59.21,26.26,24.67,9.54
23,Minority Interest in Earnings,4.69,0.47,-0.75,1.12,0.34,-0.55,0.6,0.28,-0.05,-0.25,0.11,-0.42,-0.01,-0.22,0.3,0.52,0.16,-,-
24,Net Income,6.76,33.8,29.53,12.73,15.54,27.4,14.48,15.82,23.62,16.3,19.73,18.47,34.91,31.53,42.57,59.73,26.42,24.67,9.54
25,Net Income to Common,6.76,33.8,29.53,12.73,15.54,27.4,14.48,15.82,23.62,16.3,19.73,18.47,34.91,31.53,42.57,59.73,26.42,24.67,9.54
26,Net Income Growth,-56.50%,23.36%,103.99%,-19.52%,-34.23%,68.11%,-26.64%,-14.36%,-32.35%,-48.31%,-53.64%,-69.07%,32.17%,27.79%,346.02%,-,-,-,-
27,Shares Outstanding (Basic),177,188,174,180,173,168,181,176,166,181,179,174,174,143,131,127,133,135,126
28,Shares Outstanding (Diluted),184,199,185,180,193,174,207,176,166,181,179,174,174,143,131,127,133,135,126
29,Shares Change (YoY),-4.63%,14.59%,-10.75%,2.16%,16.50%,-3.89%,15.28%,1.06%,-4.34%,26.44%,36.58%,36.55%,30.95%,5.72%,4.45%,-,-,-,-
30,EPS (Basic),0.04,0.18,0.17,0.07,0.09,0.16,0.08,0.09,0.14,0.09,0.11,0.11,0.20,0.22,0.32,0.47,0.20,0.18,0.08
31,EPS (Diluted),0.04,0.17,0.16,0.07,0.08,0.16,0.07,0.09,0.14,0.09,0.11,0.11,0.20,0.22,0.32,0.47,0.20,0.18,0.08
32,EPS Growth,-54.39%,7.65%,128.57%,-21.22%,-43.55%,74.92%,-36.36%,-15.26%,-29.28%,-59.12%,-66.06%,-77.35%,0.93%,20.88%,327.01%,-,-,-,-
