,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9953,2516,2461,2504,3049,2768,2732,2396,2326,2195,2746,2975,3208,3024,3203,-,-,-,-,-
1,Market Cap Growth,-9.09%,-9.09%,-9.89%,4.54%,31.08%,26.12%,-0.52%,-19.47%,-27.48%,-27.42%,-14.26%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10860,3244,3046,2819,3373,2939,2813,2313,2083,1899,2338,2469,2737,2442,3128,-,-,-,-,-
3,Last Close Price,51.75,13.28,12.93,13.08,16.27,15.38,15.38,13.31,12.93,12.17,15.23,16.17,17.43,16.43,17.06,-,-,-,-,-
4,PE Ratio,112.26,30.38,26.87,29.39,43.46,37.80,33.59,34.12,30.82,28.09,30.71,28.43,25.16,17.92,19.99,-,-,-,-,-
5,PS Ratio,3.95,1.07,1.06,1.12,1.43,1.40,1.44,1.28,1.22,1.13,1.46,1.61,1.87,1.80,2.06,-,-,-,-,-
6,PB Ratio,7.41,1.79,1.75,1.79,2.28,2.43,2.44,2.13,2.09,2.00,2.56,2.67,2.94,2.83,3.10,-,-,-,-,-
7,P/TBV Ratio,2.12,2.12,2.08,2.12,2.66,2.92,2.85,2.49,2.41,2.26,2.91,3.02,3.34,3.22,3.20,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-86.80,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-34.04,-,-,34.52,25.15,22.00,-,116.18,34.11,48.92,-,31.19,22.78,23.76,-,-,-,-,-
10,EV/Sales Ratio,4.62,1.38,1.31,1.26,1.58,1.48,1.48,1.24,1.10,0.98,1.24,1.34,1.60,1.45,2.01,-,-,-,-,-
11,EV/EBITDA Ratio,89.83,28.60,27.98,29.15,-,36.73,30.43,28.64,24.67,20.11,24.48,21.43,19.08,12.98,16.64,-,-,-,-,-
12,EV/EBIT Ratio,163.74,48.91,46.69,45.04,-,55.62,43.15,42.52,-,27.94,33.74,27.69,23.26,15.02,18.80,-,-,-,-,-
13,EV/FCF Ratio,-15.28,-,-,-,-,-,-,-,-,-,-,-,-74.07,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.89,0.89,0.75,0.70,0.60,0.82,0.74,0.72,0.29,0.18,0.14,0.01,0.01,0.00,0.01,0.10,0.11,-,-,0.13
15,Debt / EBITDA Ratio,10.34,11.70,5.61,5.53,160.12,10.52,5.91,9.47,11.13,1.43,1.61,0.12,0.26,0.04,0.07,0.22,0.21,-,-,0.84
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-0.44,-,-,-,0.40,-,-,1.96
17,Asset Turnover,0.74,0.75,0.75,0.81,0.89,0.84,0.88,0.92,1.17,1.15,1.22,1.20,1.28,1.50,1.68,-,-,-,-,
18,Inventory Turnover,9.25,7.47,7.53,8.62,11.44,14.69,14.48,13.16,12.16,13.32,10.61,10.17,11.24,12.00,9.89,8.20,-,-,-,-
19,Quick Ratio,0.72,0.72,0.74,0.92,1.05,1.25,1.64,2.16,1.58,1.73,1.83,1.89,1.98,2.36,2.50,1.12,1.12,-,-,-
20,Current Ratio,1.04,1.04,1.07,1.22,1.31,1.48,1.88,2.48,1.85,2.03,2.19,2.36,2.38,2.77,2.93,1.52,1.49,-,-,-
21,Return on Equity (ROE),0.59%,9.50%,8.87%,3.76%,5.39%,9.96%,4.97%,5.63%,8.72%,6.06%,7.13%,7.01%,13.30%,16.90%,37.64%,-,-,-,-,
22,Return on Assets (ROA),1.24%,2.21%,2.87%,-1.12%,1.47%,2.65%,1.78%,-0.41%,3.97%,2.22%,2.89%,1.13%,5.05%,7.43%,13.76%,-,-,-,-,
23,Return on Capital (ROIC),1.63%,2.90%,3.80%,-1.52%,1.94%,3.28%,2.20%,-0.55%,5.55%,3.12%,4.14%,1.59%,6.91%,11.04%,23.65%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.26%,3.26%,3.35%,3.23%,-,2.95%,3.74%,3.11%,-,5.48%,5.89%,7.95%,10.72%,15.18%,16.04%,33.85%,28.98%,-,-,-
25,Earnings Yield,0.83%,3.29%,3.72%,3.40%,2.30%,2.65%,2.98%,2.93%,3.24%,3.56%,3.26%,3.52%,3.97%,5.58%,5.00%,-,-,-,-,-
26,FCF Yield,-7.14%,-28.24%,-29.42%,-25.21%,-19.15%,-20.37%,-15.26%,-16.04%,-14.34%,-8.16%,-5.04%,-4.03%,-1.15%,0.66%,1.33%,-,-,-,-,-
27,Dividend Yield,0.35%,2.26%,-,-,1.23%,-,-,-,1.55%,-,-,-,1.98%,-,-,-,-,-,-,-
