,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,273905,209211,84974,3236,518804,239313,43310,22217,304384,14865,154900,6047,27253,60539,115987,-,127547,141142,204377,22107,Upgrade
1,Trading Asset Securities,417077,227064,119176,311689,19167,14910,40417,13056,9089,16575,15308,55390,65865,76953,51387,-,20489,6492,6582,5761,Upgrade
2,Accounts Receivable,1673815,1578760,1569842,1754292,1391633,1120485,1351263,1294921,979429,1806020,1397073,1744840,1693798,1397495,1051528,-,718437,682651,628482,897727,Upgrade
3,Other Receivables,33465,31939,52832,29489,28298,49852,33023,38711,31048,41872,35672,45984,33792,44944,45488,-,77314,99250,69204,71228,Upgrade
4,"Property, Plant & Equipment",177578,184222,55082,54756,176141,138411,139169,102652,101988,16687,17025,17891,18757,18334,19260,-,21157,41684,42150,38199,Upgrade
5,Other Intangible Assets,19412,20626,139935,141933,23752,24302,25028,25698,21530,22505,23494,24483,25472,25374,26364,-,28735,3007,3558,4108,Upgrade
6,Investments in Debt & Equity Securities,327191,565327,556907,329946,479238,257639,276602,49707,34795,286333,277433,517318,510393,507093,487875,-,675555,634754,628256,532960,Upgrade
7,Other Current Assets,522896,628799,1025376,904752,403602,1342121,1112065,1260474,1300360,433251,601656,402147,340857,385135,561866,-,589213,572617,531353,428132,Upgrade
8,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5054,9112,18623,25996,Upgrade
