,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,41789,40955,45470,39410,31884,37900,36952,33387,38247,39984,39492,48783,41783,34647,29285,17821,-37081,38314,50812,26651,Upgrade
1,Total Interest Expense,8355,10017,8913,6874,6570,5838,-,-,-,-,-,-,-,-,-,-,-,-,-499.27,499.27,Upgrade
2,Net Interest Income,33434,30939,36557,32536,25314,32062,36952,33387,38247,39984,39492,48783,41783,34647,29285,17821,-37081,38314,51312,26152,Upgrade
3,Brokerage Commission,13909,17257,22426,17238,15195,21328,12851,9233,14163,15573,19272,27296,35441,25011,24316,16529,11843,8525,7919,6316,Upgrade
4,Asset Management Fee,7214,2629,3281,505.11,2959,3430,1227,982.04,1379,756.82,958.96,852.56,1102,796.81,1550,993.44,1089,750.99,667.47,1024,Upgrade
5,Underwriting & Investment Banking Fee,2660,3047,966.99,966.99,3132,3601,2280,1790,3547,3217,3132,1937,2910,2722,1929,33,2285,749.65,947.13,-,Upgrade
6,Gain on Sale of Investments (Rev),33638,31042,48991,33756,33276,33343,33543,35858,37541,23487,21842,21645,41242,12145,33085,67387,77665,9518,-939.49,14066,Upgrade
7,Other Revenue,1223,3184,965.46,372.6,3287,235.45,441.68,3262,313.29,1374,1362,1221,1492,1041,771.58,141.86,2660,129.86,430.7,453.12,Upgrade
8,Revenue,92077,88099,113188,85374,83164,94000,87294,84512,95189,84391,86059,101736,123968,76362,90936,102905,58461,57988,60336,48011,Upgrade
9,Revenue Growth (YoY),10.72%,-6.28%,29.66%,1.02%,-12.63%,11.39%,1.44%,-16.93%,-23.21%,10.51%,-5.36%,-1.14%,112.05%,31.69%,50.72%,114.34%,0.89%,13.67%,18.74%,8.36%,Upgrade
10,Cost of Services Provided,38516,34146,52112,27166,28901,54385,28496,22411,2072,41966,31558,42908,11101,50678,65111,32084,36153,19236,21646,20612,Upgrade
11,Other Operating Expenses,-,-,-,7194,1708,-,-,-,40619,-,-,-,23445,-,-,-,713,-,-612.63,8117,Upgrade
12,Total Operating Expenses,38516,34146,52112,34360,30609,54385,28496,22411,42691,41966,31558,42908,34546,50678,65111,32084,36866,19236,21033,28730,Upgrade
13,Operating Income,53561,53952,61076,51014,52555,39615,58798,62101,52498,42424,54501,58827,89423,25685,25825,70821,21595,38752,39303,19281,Upgrade
14,Other Non-Operating Income (Expenses),-269.7,44.73,1038,46.39,76.65,-56.3,42.25,968.1,110.47,29.48,20.05,18034,294.64,15136,149024,1454,421.66,17.69,94.46,1219,Upgrade
15,EBT Excluding Unusual Items,53292,53997,62114,51061,52631,39559,58840,63069,52609,42454,54521,76861,89718,40820,174849,72275,22017,38769,39398,20501,Upgrade
16,Gain (Loss) on Sale of Investments,1028,-16491,-29187,-7269,-10724,-6027,-5530,-8088,2721,-4790,-28258,-15710,585.29,-11065,94946,-30156,-1730,8789,-2536,-4216,Upgrade
17,Pretax Income,54320,37505,32927,43792,41907,33531,53310,54981,55330,37664,26263,61151,90303,29756,269795,42119,20287,47559,36861,16285,Upgrade
18,Income Tax Expense,11218,6069,7808,8297,7957,6734,10306,11004,11023,7400,4719,10924,17218,6926,12644,5054,4057,9512,7372,3257,Upgrade
19,Net Income,43101,31437,25119,35495,33950,26797,43004,43977,44307,30264,21544,50227,73084,22830,257152,37064,16230,38047,29489,13028,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,15959,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Net Income to Common,43101,31437,25119,35495,33950,26797,43004,43977,28349,30264,21544,50227,73084,22830,257152,37064,16230,38047,29489,13028,Upgrade
22,Net Income Growth,26.96%,17.31%,-41.59%,-19.29%,-23.38%,-11.45%,99.61%,-12.44%,-39.37%,32.56%,-91.62%,35.51%,350.32%,-40.00%,772.03%,184.50%,-24.92%,171.93%,105.95%,-28.92%,Upgrade
23,Shares Outstanding (Basic),216,215,215,215,215,213,207,216,215,215,215,215,215,215,215,215,214,216,214,215,Upgrade
24,Shares Outstanding (Diluted),216,215,215,215,215,213,207,216,215,215,215,215,215,215,215,215,214,216,214,215,Upgrade
25,Shares Change (YoY),0.29%,1.24%,3.53%,-0.08%,-0.24%,-1.09%,-3.36%,0.12%,-0.04%,0.12%,-0.37%,0.06%,0.62%,-0.55%,0.53%,0.13%,-0.55%,0.27%,0.77%,-0.75%,Upgrade
26,EPS (Basic),200.00,146.00,117.00,164.79,158.00,126.00,207.37,204.00,131.61,140.75,100.39,233.26,339.17,106.30,1193.87,172.24,75.79,176.18,137.64,60.62,Upgrade
27,EPS (Diluted),200.00,146.00,117.00,164.79,158.00,126.00,207.37,204.00,131.61,140.75,100.39,233.26,339.17,106.30,1193.87,172.24,75.79,176.18,137.64,60.62,Upgrade
28,EPS Growth,26.58%,15.87%,-43.58%,-19.22%,20.05%,-10.48%,106.56%,-12.55%,-61.20%,32.41%,-91.59%,35.43%,347.54%,-39.66%,767.41%,184.14%,-24.51%,171.21%,104.38%,-28.38%,Upgrade
29,Free Cash Flow,-26348,319870,48816,-1030837,457233,86082,-137686,-303467,158517,-205033,409851,-106206,-125531,-154836,50056,-61616,-13595,-31735,150770,-92063,Upgrade
30,Free Cash Flow Per Share,-122.26,1485.56,227.38,-4785.80,2127.91,404.75,-663.92,-1407.71,735.94,-953.52,1909.84,-493.24,-582.57,-720.92,232.40,-286.33,-63.48,-146.95,703.71,-428.37,Upgrade
