,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,186.13,72.92,68.62,46.92,88.75,77.02,83.4,24.38,168.83,179.42,24.05,21.94
1,Other Revenue,-,-0.8,0.8,-,1.18,-0.52,0.52,-,0.03,-0.02,0.02,-
2,Revenue,186.13,72.12,69.42,46.92,89.93,76.5,83.92,24.38,168.86,179.4,24.07,21.94
3,Revenue Growth (YoY),106.97%,-5.72%,-17.29%,92.44%,-46.74%,-57.36%,248.66%,11.14%,-,-,-,-
4,Cost of Revenue,-141.65,54.07,50.25,37.32,67.72,49.45,52.72,16.02,105.44,97.35,13.26,16.31
5,Gross Profit,327.78,18.05,19.16,9.6,22.21,27.04,31.2,8.37,63.42,82.05,10.81,5.63
6,"Selling, General & Admin",-45.17,13.77,16.36,15.04,9.51,15.23,15.53,25.02,13.42,17.4,12.55,12.16
7,Research & Development,-15.52,4.58,5.45,5.49,3.56,5.49,5.25,6.25,5.15,6.76,5.46,5.04
8,Other Operating Expenses,363.1,-0.04,0.51,-0.62,-1.61,0.07,-0.25,0.14,1.89,1.47,0.09,0.11
9,Operating Expenses,279.77,28.56,32.91,21.71,12.08,31.15,28.58,28.49,21.68,34.8,23.39,14.85
10,Operating Income,48,-10.51,-13.75,-12.11,10.13,-4.11,2.62,-20.12,41.74,47.25,-12.58,-9.21
11,Interest Expense,-9.6,-0.2,-0.17,-0.12,-0.13,-0.15,-0.14,-0.56,-0.42,-0.37,-0.13,-0.13
12,Interest & Investment Income,0.49,4.58,2.34,2.68,1.87,2.89,2.63,2.01,0.24,0.35,0.28,0.42
13,Other Non Operating Income (Expenses),-0.17,-0.16,0.11,-0.07,-0.61,5.83,0.1,-0.02,-0.6,-0.07,-0.01,-0.02
14,EBT Excluding Unusual Items,38.72,-6.28,-11.47,-9.62,11.25,4.46,5.21,-18.7,40.96,47.16,-12.44,-8.94
15,Gain (Loss) on Sale of Investments,-1.27,-0.93,0.72,1.48,-3.09,-0.01,0.36,0.17,-0.34,-0.12,-0.01,-0.55
