,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,466.17,413.23,404.81,756.42,495.51,613.99,674.96,245.19,-,125.23,-
1,Trading Asset Securities,-,89.88,203.2,284.98,-,190.52,100.54,127.17,-,-,40.26,-
2,Cash & Short-Term Investments,556.05,556.05,616.43,689.79,756.42,686.03,714.53,802.13,245.19,-,165.48,225.62
3,Cash Growth,-26.49%,-18.95%,-13.73%,-14.01%,208.50%,-,331.78%,255.53%,-,-,-,-
4,Accounts Receivable,-,500.07,492.79,437.45,424.38,492.69,464.22,444.69,481.63,-,364.7,-
5,Other Receivables,-,5.6,11.7,7.38,9.99,6.9,6.42,6.48,10.4,-,5.15,-
6,Receivables,-,505.67,504.5,444.82,434.37,499.59,470.64,451.17,492.03,-,369.85,-
7,Inventory,-,114.91,112.83,98.27,96.06,104.99,105.15,105.33,85.05,-,122.88,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,0,-
9,Other Current Assets,-,15.46,8.95,12.94,7.3,6.98,12.47,16.6,16.1,-,9.74,-
10,Total Current Assets,-,1192,1243,1246,1294,1298,1303,1375,838.37,-,667.95,-
11,"Property, Plant & Equipment",-,116.81,118.53,115.87,118.72,111.77,103.76,104.41,107.91,-,104.39,-
12,Long-Term Investments,-,3.36,3.03,3.45,3.39,7.71,8.19,9.16,9.23,-,10.25,-
13,Goodwill,-,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,-,4.37,-
14,Other Intangible Assets,-,42.69,43.38,44.15,43.72,43.49,43.98,43.77,44.17,-,44.87,-
15,Long-Term Accounts Receivable,-,-,54.76,-,56.51,-,53.84,-,52.69,-,37.19,-
16,Long-Term Deferred Tax Assets,-,15.67,13.64,12.19,10.02,14.03,13.72,13.89,10.42,-,13.42,-
17,Long-Term Deferred Charges,-,4.77,3.09,3.2,3.05,3.08,3.14,3.06,3.34,-,3.96,-
18,Other Long-Term Assets,-,72.74,16.32,61.51,2.12,64.11,10.1,58.38,6.22,-,5.17,-
19,Total Assets,-,1452,1500,1491,1536,1546,1544,1612,1077,-,891.56,-
20,Accounts Payable,-,155.42,141.05,142.96,156.79,171.86,174.91,169.4,178.1,-,98.07,-
21,Accrued Expenses,-,1.13,13.56,3.41,7.65,0.88,8.69,2.8,25.96,-,14.45,-
22,Short-Term Debt,-,13.57,9.31,3.7,3.83,5.73,2.15,71.26,61.25,-,39.51,-
23,Current Portion of Leases,-,5.73,5.67,4.8,5.64,5.21,3.08,3.01,2.94,-,2.87,-
24,Current Income Taxes Payable,-,2.78,0.35,1.42,0.64,1.03,-,2.02,7.42,-,2.28,-
25,Current Unearned Revenue,-,2.78,1.15,0.36,0.37,6.81,5.74,2.88,3,-,19.47,-
26,Other Current Liabilities,-,1.55,10.99,0.82,4.66,2.38,2.64,1.21,3.89,-,4.18,-
27,Total Current Liabilities,-,182.97,182.08,157.48,179.58,193.91,197.22,252.58,282.56,-,180.83,-
28,Long-Term Leases,-,5.43,6.55,5.23,6.47,7.83,4.48,5.22,5.95,-,7.13,-
29,Long-Term Unearned Revenue,-,14.91,15.15,15.4,15.64,15.52,15.71,16.34,16.55,-,16.55,-
30,Long-Term Deferred Tax Liabilities,-,0.05,0.06,-,0.07,2.54,2.63,2,2.07,-,0.04,-
31,Total Liabilities,-,203.36,203.84,178.1,201.77,219.8,220.04,276.14,307.12,-,204.55,-
32,Common Stock,-,150.29,150.29,150.29,150.29,150.29,150.29,150.29,112.72,-,112.72,-
33,Additional Paid-In Capital,-,989.11,989.11,989.11,989.11,989.11,989.11,989.11,445.47,-,445.47,-
34,Retained Earnings,-,156.35,164.82,179.56,187.7,180.09,177.5,190.96,205.63,-,123.44,-
35,Treasury Stock,-,-57.97,-20,-14.97,-,-,-,-,-,-,-,-
36,Total Common Equity,1238,1238,1284,1304,1327,1319,1317,1330,763.81,-,681.62,699.82
37,Minority Interest,-,11.35,11.75,8.46,7.18,6.85,6.95,5.76,5.78,-,5.4,-
