,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1549,1279,1409,1156,1482,2101,2274,2305,2639,-,-,-,-
1,Market Cap Growth,-39.13%,-39.13%,-38.02%,-49.86%,-43.85%,-,-,-,-,-,-,-,-
2,Enterprise Value,1029,759,826,488,821,1441,1576,1589,2559,-,-,-,-
3,Last Close Price,10.45,8.63,9.51,7.75,9.80,13.89,15.03,15.24,17.30,-,-,-,-
4,PE Ratio,116.11,118.20,-,-,-,1645.05,62.66,31.46,-,-,-,-,-
5,PS Ratio,3.35,3.41,5.06,4.09,4.98,7.65,6.43,5.05,6.65,-,-,-,-
6,PB Ratio,0.99,1.02,1.13,0.89,1.13,1.57,1.71,1.74,1.98,-,-,-,-
7,P/TBV Ratio,1.07,1.07,1.18,0.93,1.18,1.64,1.79,1.82,2.06,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,406.13,-,86.58,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,97.93,-,46.88,-,-,-,-,-
10,EV/Sales Ratio,2.75,2.03,2.97,1.73,2.76,5.24,4.46,3.48,6.45,-,-,-,-
11,EV/EBITDA Ratio,41.36,29.74,-,-,-,850.25,-,18.94,-,-,-,-,-
12,EV/EBIT Ratio,88.38,65.21,-,-,-,-125.48,-,22.22,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,278.47,-,59.66,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.06,0.09,-,0.07,0.02
15,Debt / EBITDA Ratio,0.99,0.12,-,-,-,0.23,-,0.32,-,0.37,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,3.08,-,0.36,-,-2.94,-,-,-
17,Asset Turnover,-,0.20,0.19,0.12,0.23,0.20,0.21,0.07,-,-,-,-,
18,Inventory Turnover,-,-,1.90,1.90,1.54,2.69,1.88,2.00,0.67,-,-,-,-
19,Quick Ratio,-,-,5.80,6.16,7.20,6.63,6.11,6.01,4.96,2.61,-,2.96,-
20,Current Ratio,-,-,6.52,6.83,7.91,7.21,6.69,6.61,5.44,2.97,-,3.69,-
21,Return on Equity (ROE),11.37%,-2.79%,-2.75%,-2.07%,2.39%,0.75%,1.65%,-5.58%,-,-,-6.43%,-,
22,Return on Assets (ROA),-,-1.78%,-2.30%,-2.00%,1.64%,-0.66%,0.42%,-3.74%,-,-,-,-,
23,Return on Capital (ROIC),9.42%,-2.03%,-2.60%,-2.26%,1.88%,-0.77%,0.48%,-4.46%,-,-,-4.32%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-0.85%,-,5.31%,-,8.46%,-,-,-
25,Earnings Yield,0.70%,0.85%,-1.16%,-0.46%,0.63%,0.06%,1.60%,3.18%,2.14%,-,-,-,-
26,FCF Yield,-,-4.92%,-6.63%,-1.32%,0.25%,1.08%,1.16%,-0.54%,-,-,-,-,
27,Dividend Yield,0.48%,-,-,-,-,0.36%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,9.03%,-,326.45%,-,0.67%,0.58%,-,-
29,Buyback Yield / Dilution,5.87%,-125.02%,33.58%,30.31%,-25.28%,67.40%,-61.18%,-50.36%,-12.56%,-,-,-,-
30,Total Shareholder Return,6.34%,-125.02%,33.58%,30.31%,-25.28%,67.76%,-61.18%,-50.36%,-12.56%,-,-,-,-
