,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,250.52,207.73,195.53,247.36,236.35,233.1,235.19,285.18,183.14,156.07,73.59,199.21,253.28,-,-,169.61,169.61,111.95,111.95
1,Short-Term Investments,22.09,10.86,10.77,10.02,-,20.33,-,40.41,-,30,10.08,10.08,-,-,-,-,-,-,-
2,Trading Asset Securities,100.39,150.89,190.53,170.65,160.79,176.21,145.21,75.21,115,136,212.55,96.55,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,373.01,369.48,396.83,428.03,397.14,429.64,380.39,400.79,298.14,322.07,296.22,305.84,253.28,-,169.61,169.61,169.61,111.95,111.95
4,Cash Growth,-6.08%,-14.00%,4.32%,6.80%,33.20%,33.40%,28.42%,31.05%,17.71%,-,74.65%,80.32%,49.33%,-,51.50%,-,-,-,-
5,Accounts Receivable,107.87,100.05,91.33,80.28,79.43,88.49,83.09,81.77,88.02,99.56,87.67,79.42,82.95,-,-,54.14,54.14,61.88,61.88
6,Other Receivables,4.33,4.56,5.2,4.09,4.99,4.62,4.81,5.94,5.86,5.44,5.88,6.04,5.01,-,-,2.38,2.38,4.76,4.76
7,Receivables,112.2,104.61,96.52,84.38,84.41,93.11,87.9,87.71,93.89,105,93.56,85.46,87.97,-,-,56.52,56.52,66.65,66.65
8,Inventory,133.74,119.1,110.36,108.43,103.19,106.2,110.83,108.62,112.26,111.45,110.06,110.26,104.97,-,-,106.39,106.39,109.68,109.68
9,Other Current Assets,70.65,60.84,56.3,51.99,69.59,54.19,77.33,64.13,73.89,73.68,61.6,73.1,111.74,-,-,111.35,111.35,144.92,144.92
10,Total Current Assets,689.59,654.03,660.01,672.82,654.33,683.14,656.45,661.24,578.18,612.19,561.43,574.67,557.95,-,-,443.88,443.88,433.2,433.2
11,"Property, Plant & Equipment",58.43,36.74,35.21,36.78,39.91,41.35,27.81,30.62,25.88,28.11,31.12,33.86,16.47,-,-,6.79,6.79,6.46,6.46
12,Long-Term Investments,94.93,94.99,64.75,65.98,60.15,25.09,34.48,34.17,74.56,41.23,73.75,63.75,65.15,-,-,12.15,12.15,2.91,2.91
13,Other Intangible Assets,1.5,1.62,0.94,1.04,1.14,1.25,1.35,1.46,1.58,1.69,1.63,2.19,2.55,-,-,2.91,2.91,3.99,3.99
