,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2843,3005,2028,3151,3185,3287,3587,2348,1604,1625,2372,2651,2568,2005,-,-,-,-,-,-
1,Market Cap Growth,-8.58%,-8.58%,-43.47%,34.17%,98.64%,102.36%,51.19%,-11.43%,-37.56%,-18.97%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2516,2664,1657,2751,2820,2890,3229,1971,1324,1324,2100,2371,2321,1875,-,-,-,-,-,-
3,Last Close Price,28.73,30.37,20.50,31.78,32.43,33.47,36.54,23.89,16.47,16.68,24.36,27.15,26.30,20.53,-,-,-,-,-,-
4,PE Ratio,80.72,85.80,74.02,-,59.39,65.14,66.62,46.72,39.30,36.16,47.26,49.50,45.27,31.97,-,-,-,-,-,-
5,Forward PE,-,23.80,23.80,23.80,23.80,23.80,23.80,23.80,23.80,21.27,35.60,46.58,-,-,-,-,-,-,-,-
6,PS Ratio,5.39,5.73,4.31,6.91,6.66,6.89,7.45,4.98,3.47,3.42,4.99,5.59,5.57,4.50,-,-,-,-,-,-
7,PB Ratio,4.08,4.32,3.00,4.75,4.75,5.03,5.60,3.74,2.66,2.76,4.15,4.71,4.64,3.71,-,-,-,-,-,-
8,P/TBV Ratio,4.33,4.33,3.01,4.76,4.76,5.05,5.62,3.75,2.66,2.77,4.17,4.73,4.66,3.74,-,-,-,-,-,-
9,P/FCF Ratio,-,-378.33,118.12,-,49.19,27.69,36.59,23.81,17.13,17.00,27.25,-,30.66,-,-,-,-,-,-,-
10,P/OCF Ratio,529.30,-,56.53,-,41.12,26.45,34.42,22.77,16.34,16.42,26.47,-,29.25,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.79,5.08,3.52,6.03,5.90,6.06,6.71,4.18,2.87,2.79,4.42,5.00,5.03,4.20,-,-,-,-,-,-
12,EV/EBITDA Ratio,44.75,58.28,51.03,-,45.40,48.27,46.38,28.03,19.62,24.40,34.33,35.95,-,27.31,-,-,-,-,-,-
13,EV/EBIT Ratio,58.46,60.48,53.92,-,46.74,49.82,47.93,29.03,20.47,25.92,36.23,38.01,-,28.83,-,-,-,-,-,-
14,EV/FCF Ratio,-316.74,-335.42,96.50,-,43.55,24.34,32.94,19.99,14.14,13.85,24.13,-,27.71,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.04,0.04,0.05,0.01,-,-,-,-,0.01,0.01
16,Debt / EBITDA Ratio,0.82,0.36,0.93,-,0.26,0.42,0.54,0.28,0.23,0.16,0.35,0.35,0.59,0.04,-,-,-,-,0.06,0.06
17,Debt / FCF Ratio,-,-5.79,1.66,-,0.43,0.26,0.32,0.22,0.24,0.19,0.24,-,0.30,-,-,-,-,-,-,-
18,Asset Turnover,0.76,0.67,0.46,0.67,0.57,0.64,0.62,0.73,0.65,0.65,0.62,0.86,-,-,-,-,0.90,0.65,-,
19,Inventory Turnover,2.31,2.51,2.61,1.84,2.62,2.11,2.35,2.09,2.63,1.89,2.20,1.88,3.00,-,-,-,-,2.13,1.50,-
20,Quick Ratio,3.06,3.06,3.51,4.32,4.34,4.99,4.70,4.81,3.84,4.41,3.78,3.85,3.35,3.21,-,-,2.70,2.70,2.74,2.74
21,Current Ratio,4.35,4.35,4.84,5.78,5.69,6.78,6.15,6.74,5.20,6.50,5.42,5.55,4.92,5.25,-,-,5.29,5.29,6.64,6.64
22,Return on Equity (ROE),10.56%,7.35%,-5.49%,8.33%,6.47%,9.93%,8.87%,7.12%,9.53%,8.57%,2.99%,10.78%,-,-,7.52%,-,13.94%,8.38%,-,
23,Return on Assets (ROA),9.25%,0.23%,-0.96%,4.65%,5.92%,2.75%,6.38%,4.29%,9.95%,3.21%,5.77%,-0.47%,-,-,-,-,4.84%,4.20%,-,
24,Return on Capital (ROIC),10.95%,0.27%,-1.10%,5.31%,6.76%,3.15%,7.44%,5.01%,11.55%,3.76%,6.78%,-0.56%,-,-,7.10%,-,5.77%,4.89%,-,
25,Return on Capital Employed (ROCE),5.91%,6.05%,4.45%,-,8.78%,8.54%,10.20%,10.55%,10.43%,8.47%,9.88%,10.77%,-,11.93%,-,-,7.72%,6.17%,3.93%,1.96%
