,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,168.92,131.05,92.92,124.38,113.73,117.48,114.99,124.73,116.72,109.21,105.15,133.07,117.03,108.05,92.22,121.66,101.26,71.01,71.01
1,Other Revenue,-5.34,5.34,-,7.54,-4.3,4.3,-,6.2,-3.08,3.08,-,10.9,-3.34,3.34,-,7.05,3.53,1.85,1.85
2,Revenue,163.58,136.38,92.92,131.92,109.43,121.78,114.99,130.94,113.64,112.29,105.15,143.97,113.69,111.39,92.22,128.71,104.78,72.86,72.86
3,Revenue Growth (YoY),49.49%,11.99%,-19.19%,0.75%,-3.70%,8.45%,9.36%,-9.05%,-0.05%,0.80%,14.03%,11.86%,8.50%,52.89%,26.57%,-,-,-,-
4,Cost of Revenue,79.43,74.72,50.35,69.22,55.23,63.63,57.43,72.57,52.82,61,51.72,80.67,51.52,59.73,48.85,72.02,57.42,41.19,41.19
5,Gross Profit,84.15,61.66,42.57,62.69,54.2,58.14,57.56,58.37,60.81,51.29,53.44,63.3,62.17,51.66,43.36,56.69,47.36,31.67,31.67
6,"Selling, General & Admin",60.09,46.38,43.5,46.72,39.92,37.92,36.36,42.63,38.31,31.17,34.72,38.89,32.63,27.96,28.94,36.43,29.92,21.22,21.22
7,Research & Development,3.76,2.1,1.56,0.15,4.57,3.72,2.48,2.65,4.23,2.9,2.6,2.87,4.41,2.69,3.01,2.01,2.45,2.69,2.69
8,Other Operating Expenses,-0.45,-0.15,0.11,0.12,-0.82,0.47,-0.38,0.02,-0.01,-0.79,0.03,2.67,-0.32,-1.95,-0,2.75,1.28,-0.03,-0.03
9,Operating Expenses,52.49,60.9,45.63,48,35.87,49.81,38.58,46.01,33.12,42.44,37.64,64.56,27.59,38.39,32.25,50.64,38.39,24.08,24.08
10,Operating Income,31.67,0.76,-3.06,14.69,18.33,8.33,18.98,12.36,27.69,8.85,15.79,-1.26,34.58,13.27,11.11,6.05,8.97,7.59,7.59
