,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Aug '19 Aug 31, 2019"
0,Cash & Equivalents,18.2,25.15,27.34,25.36,16.67,42.65,83.1,107.65,-,-
1,Short-Term Investments,0.16,0.25,0.25,0.01,0.01,0.06,-,6.54,-,-
2,Cash & Short-Term Investments,18.36,25.4,27.59,25.37,16.68,42.71,83.1,114.19,-,-
3,Cash Growth,-33.47%,0.12%,65.43%,-40.60%,-79.93%,-62.60%,-,-,-,-
4,Accounts Receivable,327.07,303.74,240.75,203.74,213.2,194.2,178.39,126.25,-,-
5,Other Receivables,-,-,0.54,2,6.23,4.17,-,-,-,-
6,Receivables,327.07,303.74,241.28,205.74,219.42,198.37,178.39,126.25,-,-
7,Prepaid Expenses,14.3,0.01,-,0.01,-,-,6.84,0.01,-,-
8,Other Current Assets,0.08,-,-,-,-,-,-,-,-,-
9,Total Current Assets,359.81,329.15,268.88,231.12,236.1,241.07,268.34,240.45,-,-
10,"Property, Plant & Equipment",31.29,42.12,53.26,56.74,63.19,64.26,65.62,37.87,-,-
11,Other Long-Term Assets,4.98,9.91,4.7,4.86,4.8,4.73,4.68,4.35,-,-
12,Total Assets,396.08,381.17,326.84,292.71,304.09,310.07,338.63,282.67,-,-
13,Accounts Payable,30.47,38.72,19.86,15.69,16.79,12.42,33.87,18.48,-,-
14,Accrued Expenses,6.84,9.3,7.6,5.96,5.14,5.3,4.26,3.79,-,-
15,Short-Term Debt,-,-,-,-,-,-,14.88,-,-,-
16,Current Portion of Long-Term Debt,13.91,28.21,14.02,0.51,18.97,20.04,7.21,14.86,-,-
17,Current Portion of Leases,0.43,0.42,0.34,0.61,0.34,0.56,0.55,0.33,-,-
18,Current Income Taxes Payable,7.97,5.26,-,-,-,-,4.48,8.23,-,-
19,Current Unearned Revenue,-,0.05,0.35,-,0.81,3.02,-,0.03,-,-
20,Other Current Liabilities,33.26,25.01,17.24,12.08,7.42,10.11,5.61,4.8,-,-
21,Total Current Liabilities,92.89,106.96,59.41,34.85,49.46,51.45,70.85,50.52,-,-
22,Long-Term Debt,1.2,1.47,1.7,1.97,2.2,2.47,2.73,2.99,-,-
23,Long-Term Leases,0.75,0.97,-,0.04,0.61,0.65,0.95,0.19,-,-
24,Long-Term Deferred Tax Liabilities,3.72,5.12,6.7,6.47,7.1,7.12,7.05,4.37,-,-
25,Other Long-Term Liabilities,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-,-,-
26,Total Liabilities,98.82,114.79,68.08,43.59,59.64,61.95,81.85,58.07,-,-
27,Common Stock,12,10,10,10,10,10,10,10,-,-
28,Additional Paid-In Capital,136.35,102.65,102.65,102.65,102.65,102.65,102.65,102.65,-,-
29,Retained Earnings,148.91,153.74,146.12,136.48,131.81,135.48,144.14,111.96,-,-
30,Shareholders' Equity,297.25,266.38,258.76,249.12,244.45,248.12,256.78,224.6,-,-
31,Total Liabilities & Equity,396.08,381.17,326.84,292.71,304.09,310.07,338.63,282.67,-,-
32,Total Debt,16.29,31.07,16.06,3.13,22.12,23.72,26.32,18.37,-,-
33,Net Cash (Debt),2.07,-5.67,11.53,22.24,-5.44,18.99,56.79,95.81,-,-
34,Net Cash Growth,-82.09%,-,-,17.11%,-,-80.18%,-,-,-,-
35,Net Cash Per Share,0.00,-0.01,0.01,0.02,-0.01,0.02,0.06,0.12,-,-
36,Filing Date Shares Outstanding,1200,1000,1000,1000,1000,1000,1000,1000,750,-
37,Total Common Shares Outstanding,1200,1000,1000,1000,1000,1000,1000,1000,750,-
38,Working Capital,266.92,222.19,209.47,196.27,186.64,189.63,197.48,189.93,-,-
39,Book Value Per Share,0.25,0.27,0.26,0.25,0.24,0.25,0.26,0.22,-,-
40,Tangible Book Value,297.25,266.38,258.76,249.12,244.45,248.12,256.78,224.6,-,-
41,Tangible Book Value Per Share,0.25,0.27,0.26,0.25,0.24,0.25,0.26,0.22,-,-
42,Machinery,70.15,78.81,90.58,92.91,92.23,86.17,91.3,68.53,-,-
43,Leasehold Improvements,0.67,0.67,0.67,0.67,0.67,0.67,0.67,-,-,-
