,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2202,2019,1800,2045,2250,2342,2220,2250,2374,2139,2774,3008,3547,3906,-,-,-,-,-,-
1,Market Cap Growth,-13.80%,-13.80%,-18.92%,-9.08%,-5.26%,9.48%,-19.97%,-25.21%,-33.07%,-45.25%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2035,1822,1604,1879,2083,2158,2021,2118,2243,2015,2621,2797,3364,3854,-,-,-,-,-,-
3,Last Close Price,14.51,13.33,11.86,12.96,14.25,14.83,14.06,14.00,14.78,13.31,17.26,18.29,21.57,23.75,-,-,-,-,-,-
4,PE Ratio,69.54,61.08,58.00,84.14,89.56,240.71,-,59.95,57.20,37.55,40.36,44.14,45.06,44.33,-,-,-,-,-,-
5,Forward PE,80.61,74.06,65.89,35.19,43.04,43.51,44.47,26.10,30.14,21.30,28.22,28.99,30.52,-,-,-,-,-,-,-
6,PS Ratio,2.61,2.29,2.07,2.45,2.77,3.18,2.92,2.78,2.87,2.37,3.19,3.73,4.67,5.60,-,-,-,-,-,-
7,PB Ratio,3.51,3.14,2.83,3.10,3.28,3.49,3.33,3.18,3.40,3.10,4.05,4.08,4.91,5.53,-,-,-,-,-,-
8,P/TBV Ratio,3.59,3.59,3.23,3.54,3.72,4.00,3.81,3.59,3.85,3.51,4.61,4.57,5.50,6.24,-,-,-,-,-,-
9,P/FCF Ratio,32.87,-,21.71,-,25.23,-,20.62,17.01,33.79,31.92,206.50,-,-294.90,-,-,-,-,-,-,-
10,P/OCF Ratio,24.87,-,18.49,20.96,21.59,-,16.49,14.02,21.21,16.46,25.87,-,29.02,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.31,2.07,1.85,2.26,2.57,2.93,2.65,2.62,2.71,2.24,3.02,3.47,4.43,5.53,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.37,26.66,24.32,31.42,34.35,46.01,42.88,29.23,30.32,23.14,26.41,29.09,31.17,32.62,-,-,-,-,-,-
13,EV/EBIT Ratio,52.92,46.75,43.52,62.15,66.45,120.68,-,44.96,-,29.99,32.85,35.20,36.69,37.66,-,-,-,-,-,-
14,EV/FCF Ratio,30.37,-,19.34,-,23.37,-,18.78,16.02,31.92,30.06,195.11,-,-279.64,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.02,0.07,0.08,0.01,0.02,0.25,-,0.30,0.30,0.10,0.10,0.10
16,Debt / EBITDA Ratio,0.06,0.05,0.08,0.34,0.27,0.14,0.16,0.11,0.21,0.73,0.37,0.12,0.13,1.47,-,1.02,1.24,0.35,0.42,0.42
17,Debt / FCF Ratio,0.06,-,0.06,-,0.31,-,0.06,0.06,0.15,0.75,4.06,-,-1.01,-,-,-,-2.11,-,-,-
18,Asset Turnover,0.88,0.90,0.86,1.00,0.81,0.75,0.78,0.70,0.90,0.93,0.83,0.95,-,-,-,-,-,0.88,-,
19,Inventory Turnover,3.30,2.86,3.18,3.30,3.99,2.88,3.06,3.24,2.80,3.12,3.18,3.08,4.24,-,-,-,-,-,2.28,-
20,Quick Ratio,0.81,0.81,0.79,0.90,0.97,0.90,0.81,0.97,0.94,0.88,0.79,0.84,0.88,1.93,-,-,1.28,-,1.07,1.07
21,Current Ratio,1.51,1.51,1.39,1.51,1.48,1.59,1.43,1.59,1.53,1.57,1.48,1.76,1.54,2.75,-,-,2.07,-,2.18,2.18
22,Return on Equity (ROE),4.09%,3.68%,5.24%,9.36%,2.50%,-0.42%,5.03%,0.31%,4.08%,12.40%,6.85%,8.90%,-,-,21.00%,24.27%,19.37%,16.63%,-,
23,Return on Assets (ROA),3.25%,1.39%,2.85%,2.57%,2.64%,-0.32%,3.18%,-0.88%,3.36%,6.35%,4.15%,3.01%,-,-,-,-,-,9.13%,-,
24,Return on Capital (ROIC),4.73%,2.02%,4.05%,3.61%,3.72%,-0.45%,4.37%,-1.17%,4.40%,8.42%,5.63%,3.85%,-,-,12.61%,11.47%,14.70%,11.96%,-,
25,Return on Capital Employed (ROCE),5.91%,6.00%,5.73%,4.53%,4.51%,2.62%,-,6.59%,-,9.60%,11.50%,10.69%,12.55%,12.31%,-,-,16.25%,-,9.52%,4.76%
26,Earnings Yield,1.50%,1.64%,1.72%,1.19%,1.12%,0.42%,0.61%,1.67%,1.75%,2.66%,2.48%,2.27%,2.22%,2.26%,-,-,-,-,-,-
