,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,532,1389,1809,2060,3060,3659,5355,4913,3378,1440,1473
1,Market Cap Growth,-32.55%,-32.55%,-40.88%,-43.71%,-42.87%,-25.53%,58.54%,241.25%,129.38%,20.63%,43.05%
2,Enterprise Value,1192,2026,2457,2683,3703,4419,5974,5504,3355,1506,1417
3,Last Close Price,1.42,3.71,4.72,5.38,7.99,9.56,13.95,12.80,8.77,5.97,6.02
4,PE Ratio,8.25,21.54,41.58,110.47,163.73,45.38,24.70,21.97,23.07,7.82,9.71
5,PS Ratio,0.06,0.16,0.22,0.29,0.44,0.50,0.75,0.99,0.82,0.24,0.33
6,PB Ratio,1.05,2.52,3.21,3.99,5.79,6.90,9.72,10.63,9.98,5.03,4.84
7,P/TBV Ratio,2.75,2.75,3.50,4.35,6.31,7.54,10.59,11.66,11.22,5.14,5.46
8,P/FCF Ratio,46.32,121.01,-,200.09,-,36.83,-,-268.60,-,3.46,5.62
9,P/OCF Ratio,36.62,36.62,-,37.39,28.94,30.55,69.24,251.35,-,2.75,4.18
10,EV/Sales Ratio,0.14,0.24,0.30,0.38,0.54,0.61,0.83,1.10,0.81,0.25,0.32
11,EV/EBITDA Ratio,5.75,11.20,16.14,24.26,28.41,21.27,15.25,13.80,11.55,4.18,4.82
12,EV/EBIT Ratio,8.81,13.36,20.10,31.55,37.91,25.20,16.69,15.39,13.60,4.92,5.63
13,EV/FCF Ratio,103.80,176.48,-,260.62,-,44.48,-,-300.88,-,3.62,5.41
14,Debt / Equity Ratio,1.25,1.25,1.35,1.35,1.39,1.43,1.53,1.55,2.30,0.42,0.96
15,Debt / FCF Ratio,59.97,59.97,-,67.78,-,7.65,-,-39.15,-,0.29,1.11
16,Return on Capital Employed (ROCE),17.89%,17.89%,14.34%,9.91%,11.73%,19.52%,36.14%,38.49%,31.87%,93.19%,56.17%
17,Earnings Yield,12.13%,4.64%,2.41%,0.91%,0.61%,2.20%,4.05%,4.55%,4.33%,12.79%,10.30%
18,FCF Yield,2.16%,0.83%,-0.82%,0.50%,3.01%,2.72%,0.90%,-0.37%,4.88%,28.91%,17.79%
19,Buyback Yield / Dilution,-,-,-,-,-,-3.19%,-11.96%,16.47%,-42.64%,-85.29%,
20,Total Shareholder Return,5.63%,-,-,-,-,-,-3.19%,-11.96%,16.47%,-42.64%,-85.29%
