,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,89881279,89150537,99556438,91223520,74720677,62590651,76930658,63348359,56413172,62771347,93667319,104676285,106729167,96864251,91099149,72247196,60534663,53806058,47200140,36587648,26698257,Upgrade
1,Market Cap Growth,42.43%,42.43%,29.41%,44.00%,32.45%,-0.29%,-17.87%,-39.48%,-47.14%,-35.20%,2.82%,44.89%,76.31%,80.02%,93.01%,97.46%,126.74%,6.63%,-15.46%,-10.93%,-28.90%,Upgrade
2,Enterprise Value,83323773,82608776,93096227,86361890,75912856,62276312,75768956,63059164,59709405,69699278,100807321,114215481,113009837,104909652,94062750,76118281,61890625,53630717,48044506,41140570,34606958,Upgrade
3,Last Close Price,61500.00,61000.00,68100.00,62400.00,50697.00,42462.46,52185.17,42550.17,37882.42,42157.09,62891.70,70261.82,71174.50,66341.67,62387.53,49317.06,42081.73,38577.62,33372.32,25853.15,18845.92,Upgrade
4,PE Ratio,24.16,23.95,33.58,41.40,71.24,373.30,110.46,40.51,21.08,15.31,18.57,21.27,21.32,19.77,21.29,16.26,14.68,13.73,12.31,9.78,6.80,Upgrade
5,Forward PE,17.45,17.75,20.31,23.19,28.09,27.59,29.10,18.55,13.21,11.12,12.07,15.59,16.03,16.49,18.16,14.35,11.84,11.64,11.37,8.97,5.30,Upgrade
6,PS Ratio,0.67,0.66,0.76,0.72,0.61,0.53,0.66,0.53,0.45,0.47,0.67,0.80,0.83,0.79,0.80,0.63,0.55,0.50,0.44,0.34,0.25,Upgrade
7,PB Ratio,3.24,3.17,3.65,3.45,2.87,2.68,3.31,2.73,2.36,2.62,4.02,4.67,4.89,4.75,4.84,3.96,3.57,3.48,3.10,2.56,2.00,Upgrade
8,P/TBV Ratio,3.22,3.22,3.72,3.53,2.99,2.72,3.36,2.77,2.39,2.67,4.09,4.76,5.00,4.86,4.95,4.05,3.67,3.58,3.20,2.66,2.08,Upgrade
9,P/FCF Ratio,10.94,10.85,10.59,12.42,18.83,21.49,-,-,4.98,17.88,-22.16,-25.87,-,-,-39.24,-43.49,-,-,26.47,-60.79,-20.95,Upgrade
10,P/OCF Ratio,10.47,10.47,10.42,12.19,17.78,18.22,-,-,3.66,7.87,-778.65,211.25,-,-,35.25,24.65,-,4.99,8.19,11.29,12.69,Upgrade
11,PEG Ratio,0.65,0.31,0.31,0.31,0.31,0.31,0.43,1.06,0.64,0.45,0.49,0.87,0.70,0.79,1.14,0.93,0.40,0.41,0.39,0.39,0.24,Upgrade
12,EV/Sales Ratio,0.62,0.61,0.71,0.68,0.62,0.53,0.65,0.53,0.48,0.52,0.73,0.87,0.88,0.85,0.83,0.66,0.56,0.49,0.45,0.39,0.32,Upgrade
13,EV/EBITDA Ratio,11.98,11.81,14.06,14.72,16.69,16.44,15.80,9.91,7.06,6.84,9.29,11.60,12.32,11.90,11.76,9.32,8.05,7.24,6.71,5.99,5.07,Upgrade
14,EV/EBIT Ratio,20.63,20.23,24.22,30.94,56.07,142.75,65.17,21.95,12.18,10.49,13.49,17.35,18.67,17.80,17.87,13.65,11.65,10.28,9.36,8.09,6.63,Upgrade
15,EV/FCF Ratio,10.14,10.06,9.90,11.75,19.13,21.38,-,-,5.27,19.85,-23.85,-28.22,-,-,-40.51,-45.82,-,-,26.94,-68.35,-27.16,Upgrade
16,Debt / Equity Ratio,0.97,0.97,0.89,0.91,0.95,1.09,0.99,1.00,0.81,0.77,0.98,1.00,1.12,1.21,0.96,1.16,1.10,1.08,0.85,0.82,0.87,Upgrade
17,Debt / EBITDA Ratio,3.90,5.04,3.42,2.85,3.53,6.50,5.57,7.29,4.97,2.31,2.20,1.93,2.26,2.32,2.84,2.38,1.98,2.28,1.85,1.68,1.40,Upgrade
18,Debt / FCF Ratio,3.32,3.32,2.60,3.29,6.21,8.75,-,-,1.72,5.24,-5.40,-5.52,-,-,-7.78,-12.70,-,-,7.29,-19.46,-9.12,Upgrade
19,Asset Turnover,2.02,2.06,2.11,2.04,2.12,2.05,2.08,1.98,2.09,2.13,2.26,2.33,2.56,1.87,2.44,2.57,2.51,2.60,2.80,2.99,Upgrade,
20,Inventory Turnover,4.85,5.08,5.08,5.17,4.68,4.33,4.38,4.46,3.75,3.32,3.46,3.55,3.67,4.54,3.32,4.29,4.46,4.53,4.49,4.20,3.97,Upgrade
21,Quick Ratio,0.88,0.88,1.02,1.02,1.06,0.89,0.89,0.89,0.89,0.68,0.60,0.48,0.40,0.47,0.41,0.57,0.50,0.56,0.58,0.52,0.37,Upgrade
22,Current Ratio,1.56,1.56,1.82,1.79,1.79,1.69,1.69,1.65,1.80,1.71,1.57,1.31,1.27,1.22,1.28,1.28,1.28,1.27,1.35,1.35,1.35,Upgrade
23,Return on Equity (ROE),12.31%,11.99%,17.86%,14.62%,1.55%,0.67%,0.30%,0.36%,10.48%,15.87%,20.46%,27.41%,31.92%,16.96%,27.57%,33.02%,24.55%,25.80%,25.88%,35.49%,Upgrade,
24,Return on Assets (ROA),2.00%,4.05%,5.56%,4.14%,1.29%,0.10%,0.00%,0.48%,4.41%,7.19%,8.34%,7.37%,8.23%,4.05%,7.21%,8.82%,7.10%,7.31%,8.18%,10.16%,Upgrade,
25,Return on Capital (ROIC),2.56%,5.26%,7.10%,5.14%,1.62%,0.12%,0.00%,0.61%,5.84%,9.53%,11.14%,10.12%,11.37%,5.53%,10.00%,12.48%,10.19%,10.66%,12.07%,15.57%,Upgrade,
26,Return on Capital Employed (ROCE),14.52%,14.52%,11.50%,8.56%,4.21%,1.49%,3.99%,9.86%,16.41%,22.27%,25.52%,29.38%,27.75%,28.93%,23.18%,28.76%,29.37%,31.41%,31.42%,33.03%,35.99%,Upgrade
27,Earnings Yield,4.14%,4.17%,2.98%,2.42%,1.40%,0.27%,0.91%,2.47%,4.74%,6.53%,5.38%,4.70%,4.69%,5.06%,4.70%,6.15%,6.81%,7.28%,8.13%,10.22%,14.70%,Upgrade
28,FCF Yield,9.14%,9.21%,9.44%,8.05%,5.31%,4.65%,7.76%,11.73%,20.07%,5.59%,-4.51%,-3.87%,-5.73%,-4.96%,-2.55%,-2.30%,1.62%,12.79%,3.78%,-1.65%,-4.77%,Upgrade
29,Dividend Yield,0.80%,-,-,-,-,1.18%,-,-,-,1.19%,-,-,-,0.75%,-,-,-,0.43%,-,-,-,Upgrade
30,Payout Ratio,19.64%,-,91.35%,-,-,-,1887.70%,-,-,-,-,64.77%,-,0.12%,30.26%,-,-,72.09%,-,-,-,Upgrade
31,Buyback Yield / Dilution,0.06%,-0.31%,1.82%,7.62%,0.07%,0.76%,-1.61%,-8.09%,-1.22%,6.98%,-2.85%,1.42%,-3.71%,-16.03%,-5.00%,-9.37%,-2.67%,-2.28%,-2.32%,-2.27%,-2.23%,Upgrade
