,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,906.91,984.72,828.04,957.45,862.54,1008,821.57,1134,822.42,670.56,1160,772.18,-,422.3,-,739.76,739.76,490.03,490.03
1,Short-Term Investments,-,-,-,20.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,301.03,228.97,420.63,340.47,320.6,206.99,412.28,210.9,549.7,516.43,90.53,-,-,148.49,-,-,-,190.78,190.78
3,Cash & Short-Term Investments,1208,1214,1249,1318,1183,1215,1234,1345,1372,1187,1251,772.18,-,570.79,739.76,739.76,739.76,680.82,680.82
4,Cash Growth,2.10%,-0.12%,1.20%,-1.96%,-13.77%,2.38%,-1.36%,74.15%,-,107.96%,69.08%,4.38%,-,-16.16%,8.66%,-,-,-,-
5,Accounts Receivable,495.12,519.58,514.4,557.63,589.1,586.8,565.91,618.38,538.56,520.09,482.93,476.59,-,400.76,-,364.28,364.28,308.71,308.71
6,Other Receivables,23.15,7.84,25.78,8.67,35.44,6.24,33.16,42.83,39.5,2.46,43.44,4.69,-,2.48,-,2.42,36.41,3.67,3.67
7,Receivables,518.27,527.41,540.19,566.3,624.54,593.03,599.08,661.21,578.06,522.55,526.36,481.28,-,403.24,-,366.7,400.68,312.38,312.38
8,Inventory,74.62,62.16,60.43,46.33,78.52,67.56,63.84,49.09,63.72,67.73,64.14,43.89,-,54.26,-,37.54,37.54,43.99,43.99
9,Prepaid Expenses,-,0.38,-,0.79,-,0.52,-,0.49,-,0.51,-,0.49,-,0.49,-,0.63,1.24,0.66,0.66
10,Other Current Assets,11.03,23.69,7.56,2.77,13.4,33.05,13.22,6.54,23.03,61.59,15.94,55.63,-,45.15,-,44.44,10.45,47.96,47.96
11,Total Current Assets,1812,1827,1857,1935,1900,1909,1910,2062,2037,1839,1857,1353,-,1074,-,1189,1190,1086,1086
12,"Property, Plant & Equipment",130.53,126.74,122.29,126.79,125.24,111.48,113.88,119.01,129.41,118.52,122.78,127.58,-,123.96,-,133.34,101.03,100.92,100.92
13,Long-Term Investments,1.06,1.06,1.03,1.23,2.18,2.09,2.03,2.04,1.1,1.11,1.13,1.13,-,1.16,-,2.54,2.54,2.38,2.38
14,Goodwill,14.67,14.67,14.67,14.67,14.67,15.88,15.88,15.88,15.88,15.88,15.88,15.88,-,15.88,-,15.88,15.88,15.88,15.88
15,Other Intangible Assets,14.42,15.46,16.5,17.67,5.98,5.55,5.89,6.48,5.96,6.19,5.68,5.98,-,4.71,-,5.08,5.08,5.62,5.62
16,Long-Term Deferred Tax Assets,58.89,55.72,52.03,50.93,47.65,44.29,40.67,42.18,27.23,25.14,25.19,24.55,-,21.63,-,19.87,19.87,17.39,17.39
17,Long-Term Deferred Charges,14.52,14.78,15.88,15.78,8.03,9.24,10.17,10.79,9.31,9.99,11.5,11.43,-,9.07,-,11.7,11.7,13.11,13.11
18,Other Long-Term Assets,14.27,14.43,13.93,14.11,12.77,12.86,12.95,13.05,0.03,12.39,12.48,12.48,-,10.67,-,11.77,11.77,15.37,15.37
19,Total Assets,2060,2070,2093,2176,2116,2111,2111,2272,2226,2029,2052,1552,-,1261,-,1389,1358,1256,1256
20,Accounts Payable,127.56,136.27,138.17,168.37,136.78,136.06,125,171.82,121.37,114.1,106.76,121.29,-,76.65,-,85.07,90.64,80.6,80.6
21,Accrued Expenses,100.12,90.27,131.33,170.93,92.94,98.07,67.34,174.81,71.64,63.44,42.54,102.22,-,69.16,-,110.63,110.75,73.11,73.11
22,Short-Term Debt,72.17,75.05,69.89,64.99,67.48,53.53,49,35.51,25.98,19.81,41.34,41.34,-,26.48,-,10.85,10.85,5.01,5.01
23,Current Portion of Long-Term Debt,8.37,0.06,-,0.11,5.56,0.1,-,0.1,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,8.59,9.74,11.6,-,9.41,8.37,10.94,7.51,9.58,9.31,11.02,-,11.59,-,11.91,-,-,-
25,Current Income Taxes Payable,17.46,4.81,-,13.16,18.18,7.58,33.66,22.99,14.64,5.55,16.34,17.46,-,5.97,-,21.03,21.03,7.72,7.72
26,Current Unearned Revenue,39.86,26.61,25.25,26.79,33.8,30.15,29.23,25.93,37.27,21.39,28.88,19.71,-,22.85,-,21.1,21.1,15.49,15.49
