,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,105.63,118.44,103.62,287.91,129.59,159.33,107.02,336.56,169.29,149.77,98.77,275.17,151.69,149.94,88.66,201.86,201.86,121.92,121.92
1,Other Revenue,-,-,-,2.37,-,-,-,3.04,-1.2,1.2,-,1.16,-0.62,0.62,-,0.31,0.31,0.25,0.25
2,Revenue,105.63,118.44,103.62,290.28,129.59,159.33,107.02,339.6,168.09,150.98,98.77,276.33,151.07,150.56,88.66,202.18,202.18,122.16,122.16
3,Revenue Growth (YoY),-18.49%,-25.67%,-3.17%,-14.52%,-22.90%,5.53%,8.35%,22.90%,11.27%,0.28%,11.41%,36.68%,-25.28%,23.24%,-27.43%,-,-,-,-
4,Cost of Revenue,58,76.41,62.92,176.74,81.53,95.89,63.64,212.94,110.36,90.5,59.32,171.23,83.64,91.31,52.48,112.65,112.65,77.35,77.35
5,Gross Profit,47.64,42.03,40.7,113.54,48.06,63.44,43.38,126.66,57.73,60.48,39.45,105.1,67.42,59.25,36.17,89.52,89.52,44.82,44.82
6,"Selling, General & Admin",28.03,29.17,30.66,46.99,28.77,38.24,29.62,46.04,32.87,31.3,25.24,38.43,26.27,32.53,23.27,34.9,34.9,26.91,26.91
7,Research & Development,8.22,7.38,9.12,19.13,8.42,6.1,7.46,22.94,6.82,7.07,4.67,7.8,6.06,7.71,4.82,6.51,6.51,5.59,5.59
8,Other Operating Expenses,0.87,0.77,0.72,2.57,0.77,-2.1,0.2,5.57,-0.01,-1,-0,7.68,-0.35,-3.31,0.25,-3.28,0.73,0.75,0.75
9,Operating Expenses,29.68,43.88,41.89,126.78,25.99,63.48,25.05,126.67,35.27,44.99,27.33,78.97,27.57,42.01,27.97,45.28,49.29,33.85,33.85
10,Operating Income,17.96,-1.85,-1.18,-13.24,22.07,-0.04,18.34,-0.01,22.45,15.49,12.12,26.12,39.85,17.24,8.2,44.24,40.23,10.97,10.97
11,Interest Expense,-1.17,-1.17,-1.1,-1.31,-1.16,-0.98,-0.8,-1.07,-0.57,-0.93,-0.36,-0.9,-0.75,-0.26,-0.9,-0.16,-0.16,-0.15,-0.15
12,Interest & Investment Income,4.8,4.37,4.05,3.62,6.01,9.44,3.21,7.15,4.88,3.53,2.99,2.73,2.51,2.51,2.1,3.94,3.94,2.11,2.11
13,Currency Exchange Gain (Loss),0.02,-0.02,-,0.21,-0.22,0.22,-,0.37,-0.15,0.15,-,-0.47,-0.4,0.4,-,-0.19,-0.19,0.07,0.07
14,Other Non Operating Income (Expenses),-0.5,-0.23,-0.1,-0.86,-0.34,0.29,-0.12,-0.18,0.42,-0.57,-0.12,-0.8,0.02,-0.53,0.1,0.53,0.01,-0.27,-0.27
15,EBT Excluding Unusual Items,21.11,1.1,1.68,-11.57,26.36,8.94,20.62,6.25,27.03,17.67,14.63,26.68,41.24,19.35,9.49,48.35,43.83,12.74,12.74
16,Gain (Loss) on Sale of Investments,-0.53,0.34,1.16,1.46,-0.39,-4.29,2.38,-0.8,1.29,1.87,0.53,-0.63,0.14,0.05,0.44,-0.89,-0.89,0.89,0.89
17,Gain (Loss) on Sale of Assets,0.01,0.1,-,0.23,0,0.03,-0.01,0.06,-0.07,0.17,-,0,-0.07,0.07,0.01,-0.03,-0.03,-,-
18,Asset Writedown,-27.1,-6.85,6.79,18.96,-18.99,3.98,-4.07,8.49,-8.49,1.26,-1.26,6.66,-7.15,-0.99,0.94,0.23,0.24,-0.13,-0.13
19,Other Unusual Items,0.06,0.35,0.26,0.39,-0.04,0.04,-,9.35,-0.39,0.39,-,8.33,0.11,-0.11,-,-3.83,0.69,1.56,1.56
20,Pretax Income,-6.46,-4.96,9.89,9.47,6.94,8.7,18.93,23.35,19.38,21.36,13.9,41.05,34.27,18.38,10.88,43.84,43.84,15.06,15.06
21,Income Tax Expense,0.46,-0.3,2.74,7.89,2.25,2.59,3.77,5.57,4.15,4.03,3.35,6.86,6.59,3.55,2.78,9.33,9.33,3.98,3.98
22,Earnings From Continuing Operations,-6.92,-4.66,7.14,1.58,4.69,6.11,15.17,17.78,15.23,17.33,10.55,34.19,27.68,14.83,8.1,34.51,34.51,11.07,11.07
23,Minority Interest in Earnings,1.16,1.54,-0.17,-1.7,-0.17,-1.11,-1.64,-0.64,-2.19,-1.99,-1.68,-5.05,-2.08,-0.52,0.03,-3.52,-3.52,-0.45,-0.45
24,Net Income,-5.76,-3.13,6.98,-0.12,4.53,5,13.53,17.14,13.04,15.33,8.86,29.14,25.59,14.31,8.12,30.99,30.99,10.62,10.62
25,Net Income to Common,-5.76,-3.13,6.98,-0.12,4.53,5,13.53,17.14,13.04,15.33,8.86,29.14,25.59,14.31,8.12,30.99,30.99,10.62,10.62
26,Net Income Growth,-,-,-48.43%,-,-65.27%,-67.37%,52.59%,-41.17%,-49.06%,7.18%,9.11%,-5.97%,-17.41%,34.69%,-23.51%,-,-,-,-
27,Shares Outstanding (Basic),281,274,276,275,275,276,275,275,275,275,253,206,206,206,206,206,206,206,206
28,Shares Outstanding (Diluted),281,274,276,275,275,276,275,275,275,275,253,206,206,206,206,206,206,206,206
29,Shares Change (YoY),2.18%,-0.64%,0.29%,-0.19%,-0.18%,0.39%,8.86%,33.43%,33.37%,33.00%,22.47%,0.00%,0.03%,0.03%,-0.11%,-,-,-,-
30,EPS (Basic),-0.02,-0.01,0.03,-0.00,0.02,0.02,0.05,0.06,0.05,0.06,0.04,0.14,0.12,0.07,0.04,0.15,0.15,0.05,0.05
31,EPS (Diluted),-0.02,-0.01,0.03,-0.00,0.02,0.02,0.05,0.06,0.05,0.06,0.04,0.14,0.12,0.07,0.04,0.15,0.15,0.05,0.05
32,EPS Growth,-,-,-48.58%,-,-65.20%,-67.50%,40.17%,-55.91%,-61.80%,-19.41%,-10.91%,-5.97%,-17.44%,34.65%,-23.42%,-,-,-,-
33,Free Cash Flow,-8.27,-36.16,-37.22,112.63,-5.01,23.05,-105.53,7.53,134.01,-2.43,-201.14,184.18,30.63,-48.11,-128.41,25.17,25.17,-29.09,-29.09
34,Free Cash Flow Per Share,-0.03,-0.13,-0.13,0.41,-0.02,0.08,-0.38,0.03,0.49,-0.01,-0.80,0.89,0.15,-0.23,-0.62,0.12,0.12,-0.14,-0.14
35,Dividend Per Share,-,-,-,0.020,-,-,-,0.088,-,-,-,0.100,-,-,-,0.130,-,-,-
36,Dividend Growth,-,-,-,-77.27%,-,-,-,-12.00%,-,-,-,-23.08%,-,-,-,-,-,-,-
37,Gross Margin,45.10%,35.49%,39.28%,39.11%,37.09%,39.82%,40.54%,37.30%,34.34%,40.06%,39.94%,38.03%,44.63%,39.35%,40.80%,44.28%,44.28%,36.69%,36.69%
38,Operating Margin,17.00%,-1.56%,-1.14%,-4.56%,17.03%,-0.02%,17.13%,-0.00%,13.36%,10.26%,12.27%,9.45%,26.38%,11.45%,9.25%,21.88%,19.90%,8.98%,8.98%
39,Profit Margin,-5.45%,-2.64%,6.73%,-0.04%,3.49%,3.14%,12.64%,5.05%,7.76%,10.16%,8.98%,10.55%,16.94%,9.50%,9.16%,15.33%,15.33%,8.69%,8.69%
40,Free Cash Flow Margin,-7.83%,-30.53%,-35.92%,38.80%,-3.86%,14.47%,-98.61%,2.22%,79.73%,-1.61%,-203.64%,66.65%,20.28%,-31.95%,-144.84%,12.45%,12.45%,-23.81%,-23.81%
41,EBITDA,22.6,2.3,3.46,-8.59,26.56,4.33,22.82,4.47,26.89,22.65,16.56,30.57,44.44,24.6,12.79,49.99,44.58,15.1,15.1
