,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3366,3941,3242,2675,3481,3985,3776,3878,3418,3699,5490,6288,-,-,-,-,-,-,-,-
1,Market Cap Growth,-1.10%,-1.10%,-14.14%,-31.01%,1.85%,7.74%,-31.23%,-38.34%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2343,2902,2169,1669,2475,2916,2685,2614,2155,2609,4356,5815,-,-,-,-,-,-,-,-
3,Last Close Price,12.23,14.32,11.78,9.70,12.63,14.45,13.69,13.97,12.32,13.33,19.79,22.56,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,163.20,-,99.13,77.51,65.68,62.86,55.72,69.56,80.72,-,-,-,-,-,-,-,-
5,PS Ratio,5.47,6.38,5.05,3.92,5.07,5.42,4.88,5.06,4.51,5.33,8.11,9.29,-,-,-,-,-,-,-,-
6,PB Ratio,2.31,2.61,2.14,1.75,2.29,2.61,2.42,2.46,2.18,2.38,3.58,4.07,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.76,2.76,2.26,1.86,2.43,2.76,2.56,2.59,2.29,2.52,3.77,4.29,-,-,-,-,-,-,-,-
8,P/FCF Ratio,108.63,-,-,-,138.44,-,63.93,-,-55.10,32.27,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,53.32,53.32,-,-,70.50,-,47.23,-,-79.90,26.94,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.79,4.70,3.38,2.44,3.61,3.96,3.47,3.41,2.84,3.76,6.43,8.59,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,70.32,146.77,91.44,64.81,-,50.13,45.88,34.02,30.53,26.99,38.14,50.06,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,1718.38,-,-,-,72.27,-,46.47,-,34.24,46.55,61.00,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,75.61,-,-,-,98.44,-,45.45,-,-34.74,22.76,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.09,0.09,0.08,0.08,0.08,0.08,0.05,0.05,0.04,0.03,0.03,0.04,0.07,-,0.07,0.05,0.05,0.01,0.01,0.01
15,Debt / EBITDA Ratio,3.93,1.45,3.39,8.63,4.06,1.09,1.83,0.91,0.95,0.43,0.45,0.93,0.38,-,0.54,0.83,0.21,0.06,0.08,0.08
16,Debt / FCF Ratio,4.22,-,-,-,4.60,-,1.45,-,-1.13,0.40,-,-,1.70,-,-,-,-5.45,-0.33,-,-
17,Asset Turnover,0.20,0.23,0.19,0.54,0.25,0.30,0.20,0.60,0.32,0.30,0.22,-,-,-,-,0.59,0.62,0.39,-,
18,Inventory Turnover,4.89,3.39,4.99,4.71,11.32,4.47,5.84,4.51,15.10,6.72,5.49,4.39,-,-,-,-,12.00,11.05,7.03,-
19,Quick Ratio,3.47,3.47,3.38,3.42,3.07,3.30,3.41,3.60,2.96,2.94,3.53,3.57,1.87,-,2.22,-,1.98,2.09,1.95,1.95
20,Current Ratio,3.64,3.64,3.55,3.55,3.15,3.47,3.60,3.75,3.05,3.08,3.80,3.73,2.02,-,2.45,-,2.13,2.18,2.13,2.13
21,Return on Equity (ROE),-1.83%,-1.23%,1.88%,0.41%,1.22%,1.56%,3.85%,4.56%,3.95%,4.51%,3.50%,-,-,7.33%,3.99%,17.01%,17.72%,5.93%,-,
22,Return on Assets (ROA),2.17%,-0.22%,-0.14%,-1.54%,2.61%,-0.00%,2.09%,-0.00%,2.64%,1.90%,1.68%,-,-,-,-,8.05%,7.70%,2.18%,-,
