,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,2911,4403,5383,5681,8235,6061,10675,11115,9738,6360,3506,Upgrade
1,Market Cap Growth,-22.50%,-22.50%,-34.64%,-6.28%,-22.86%,-45.47%,9.62%,74.78%,177.73%,85.12%,1.23%,Upgrade
2,Enterprise Value,8787,10092,10767,9888,11659,10769,14429,14700,13709,10504,7524,Upgrade
3,Last Close Price,2.05,3.10,3.79,3.96,5.51,4.00,6.82,7.07,6.01,3.89,1.92,Upgrade
4,PE Ratio,12.13,18.35,18.04,-240.91,-,4.46,-,75.08,65.34,105.82,-,Upgrade
5,PS Ratio,2.84,4.30,10.10,20.57,1.65,1.18,13.05,8.60,6.53,4.81,3.88,Upgrade
6,PB Ratio,0.95,1.43,1.82,2.01,2.76,1.91,5.02,5.01,3.93,2.60,1.46,Upgrade
7,P/TBV Ratio,1.43,1.43,1.82,2.01,2.76,1.91,5.02,5.01,3.93,2.60,1.46,Upgrade
8,P/FCF Ratio,3.50,-,22.70,-,-,5.60,-,8.49,7.49,15.03,50.26,Upgrade
9,P/OCF Ratio,11.95,11.95,22.58,-31.32,-,6.76,-,9.84,7.47,7.42,40.52,Upgrade
10,EV/Sales Ratio,8.58,9.85,20.21,35.80,2.33,2.09,17.64,11.37,9.19,7.95,8.34,Upgrade
11,EV/EBITDA Ratio,91.73,105.35,-,1699.31,-,6.29,-,74.10,52.54,49.69,53.59,Upgrade
12,EV/EBIT Ratio,105.74,121.45,-,-244.14,-,6.40,-,86.19,58.84,56.88,63.95,Upgrade
13,EV/FCF Ratio,10.56,-,45.41,-,-,9.95,-,11.23,10.54,24.82,107.84,Upgrade
14,Debt / Equity Ratio,1.96,1.96,1.99,1.98,1.55,1.43,2.31,1.81,1.63,1.74,1.79,Upgrade
15,Debt / FCF Ratio,7.23,-,24.79,-,-,4.19,-,3.06,3.10,10.05,61.72,Upgrade
16,Return on Capital Employed (ROCE),1.05%,1.05%,-,-0.55%,-,23.70%,-,3.48%,5.77%,3.01%,1.93%,Upgrade
17,Earnings Yield,8.24%,5.45%,5.54%,-0.42%,15.49%,22.41%,0.16%,1.33%,1.53%,0.94%,0.96%,Upgrade
18,FCF Yield,28.58%,18.90%,4.41%,-14.99%,11.71%,17.86%,-0.19%,11.78%,13.36%,6.65%,1.99%,Upgrade
19,Dividend Yield,0.00%,-,-,2.27%,2.00%,2.50%,1.17%,1.13%,1.33%,1.54%,2.08%,Upgrade
20,Buyback Yield / Dilution,-0.03%,0.10%,0.08%,-0.14%,-0.14%,0.00%,0.00%,-,-,-,-,Upgrade
21,Total Shareholder Return,-0.03%,0.10%,0.08%,2.13%,1.86%,2.50%,1.17%,1.13%,1.33%,1.54%,2.08%,Upgrade
