,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","May '19 May 31, 2019"
0,Market Capitalization,1647,1660,1953,3124,4601,4808,5638,10354,12420,-,-
1,Market Cap Growth,-46.88%,-46.88%,-57.56%,-35.03%,-18.40%,-53.56%,-54.61%,-,-,-,-
2,Enterprise Value,351,-833,-659,313,711,1282,1786,6983,12763,-,-
3,Last Close Price,1.35,1.29,1.45,2.17,3.12,3.07,3.43,6.06,7.19,-,-
4,PE Ratio,5.06,5.10,5.86,11.00,10.09,7.46,9.00,20.18,32.18,-,-
5,Forward PE,-,3.66,3.66,5.04,4.62,5.19,6.88,15.17,-,-,-
6,PS Ratio,0.37,0.37,0.45,0.83,1.15,1.12,1.32,2.85,4.14,-,-
7,PB Ratio,0.42,0.41,0.49,0.78,1.13,1.12,1.33,2.54,3.21,-,-
8,P/TBV Ratio,0.50,0.50,0.59,0.96,1.40,1.29,1.36,2.86,3.66,-,-
9,P/FCF Ratio,-,-,-,-,23.43,9.38,5.80,11.17,25.00,-,-
10,P/OCF Ratio,-,-,-,-,21.19,9.09,5.67,10.84,24.10,-,-
11,PEG Ratio,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.34,-,-,-
12,EV/Sales Ratio,0.08,-,-,0.08,0.18,0.30,0.42,1.93,4.26,-,-
13,EV/EBITDA Ratio,0.68,-,-,0.58,0.93,1.35,1.90,8.79,22.57,-,-
14,EV/EBIT Ratio,0.81,-,-,0.66,1.00,1.41,1.97,9.12,23.64,-,-
15,EV/FCF Ratio,-0.47,-,-,-,3.62,2.50,1.84,7.53,25.69,-,-
16,Debt / Equity Ratio,0.01,0.01,0.01,0.04,0.03,0.04,0.06,0.10,0.16,-,-
17,Debt / FCF Ratio,-,-,-,-,0.72,0.29,0.26,0.42,1.25,-,-
18,Return on Capital Employed (ROCE),10.13%,10.13%,10.77%,11.28%,16.54%,20.30%,20.57%,17.40%,12.33%,-,-
19,Earnings Yield,19.75%,19.61%,17.08%,9.09%,9.91%,13.41%,11.11%,4.96%,3.11%,-,-
20,FCF Yield,-45.22%,-44.88%,-11.27%,-3.05%,4.27%,10.66%,17.24%,8.95%,4.00%,-,-
21,Dividend Yield,10.73%,10.90%,13.13%,8.33%,6.63%,10.13%,10.48%,3.08%,-,-,-
22,Buyback Yield / Dilution,-,-,-,0.16%,0.43%,-18.55%,-36.17%,-,-,-,
23,Total Shareholder Return,10.73%,10.90%,13.13%,8.33%,6.79%,10.55%,-8.06%,-33.09%,-,-,-
