,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,372521,177037,143221,107367,522718,336147,35316,85908,237764,249865,170136,205518,152592,210446,112315,183779,361928,92601,159815,187890,Upgrade
1,Revenue Growth (YoY),-28.73%,-47.33%,305.54%,24.98%,119.85%,34.53%,-79.24%,-58.20%,55.82%,18.73%,51.48%,11.83%,-57.84%,127.26%,-29.72%,-2.19%,-40.70%,19.59%,90.48%,82.33%,Upgrade
2,Cost of Revenue,236948,126926,104240,85989,450639,258731,20590,56398,208349,202464,130051,181927,107246,191259,84108,147437,321490,66048,114568,164751,Upgrade
3,Gross Profit,135572,50111,38981,21378,72079,77416,14726,29510,29415,47401,40085,23591,45346,19186,28207,36342,40438,26553,45246,23139,Upgrade
4,"Selling, General & Admin",49227,39506,24977,23925,62922,32565,18168,25500,34233,33285,19508,15600,45374,8824,16996,23406,29196,21254,32921,18324,Upgrade
5,Operating Expenses,49227,39506,24977,23925,62922,32565,18168,25500,34233,33285,19508,15600,45374,8824,16996,23406,29196,21254,32921,18324,Upgrade
6,Operating Income,86346,10605,14004,-2548,9158,44851,-3442,4010,-4818,14116,20577,7991,-28.3,10362,11211,12936,11242,5299,12326,4815,Upgrade
7,Interest Expense,-722.92,-1196,-925.93,-193.58,-1819,-1104,-593.72,-199.25,-37916,-33.93,-31741,-105.99,-4528,-919.44,-1800,-498.54,-406.15,-397.44,-2633,-331.28,Upgrade
8,Interest & Investment Income,4668,759.7,2507,2795,1633,627.88,8386,1104,1397,360.31,33306,6329,-,5393,1241,371.39,3569,414.95,4479,500.2,Upgrade
9,Earnings From Equity Investments,0,-,-,-,-1957,-792.83,964.73,-0.88,641.17,682.47,-1237,-11.37,20382,-24.71,-1.61,-,-17.66,-,-23.08,-,Upgrade
10,Currency Exchange Gain (Loss),1916,656.35,-5992,-160.24,-2876,-522.19,365.9,-25.64,4677,154.91,-45.92,929.32,-522.44,-971.78,439.31,523.08,774.48,721.2,331.87,-26.89,Upgrade
11,Other Non Operating Income (Expenses),2074,26.8,-5612,18.57,36662,-3031,-80.87,-98.93,38329,-210.74,2.44,-285.29,2117,27.22,-447.65,146.85,491.03,210.07,114.8,337.2,Upgrade
12,EBT Excluding Unusual Items,94280,10851,3982,-87.72,40800,40030,5600,4790,2309,15069,20862,14846,17420,13867,10642,13479,15652,6248,14595,5294,Upgrade
13,Gain (Loss) on Sale of Investments,-867.56,15.29,299.22,8393,3784,645.49,166.65,153.35,381.59,-,-7477,-,1074,-,26.37,-,-1105,-,-1446,-,Upgrade
14,Gain (Loss) on Sale of Assets,9.09,-,-,0.76,796.52,128,-,-,266.33,266.33,-,-,993.36,1077,215.47,-,645.45,154.55,127.28,91.01,Upgrade
15,Pretax Income,93422,10866,4281,8306,45380,40803,5767,4943,2957,15335,13385,14846,19487,14944,10884,13479,15193,6403,13277,5385,Upgrade
16,Income Tax Expense,15086,49.46,-370.78,963.26,4526,5747,738.98,1560,1853,3035,2672,1591,1181,1647,2380,3277,2731,1958,3326,1043,Upgrade
17,Earnings From Continuing Operations,78336,10817,4652,7343,40854,35056,5028,3383,1104,12300,10713,13255,18307,13297,8504,10201,12462,4444,9951,4342,Upgrade
18,Minority Interest in Earnings,-2441,-1701,-466.41,-109.28,-896.83,-5191,-789.75,208.89,280.99,-1183,-2882,-2281,6.62,-2348,-24.5,169.23,255.15,266.54,207.11,-125.49,Upgrade
19,Net Income,75895,9116,4186,7234,39958,29865,4238,3592,1385,11118,7831,10974,18313,10949,8479,10371,12717,4711,10158,4217,Upgrade
20,Net Income to Common,75895,9116,4186,7234,39958,29865,4238,3592,1385,11118,7831,10974,18313,10949,8479,10371,12717,4711,10158,4217,Upgrade
21,Net Income Growth,89.94%,-69.48%,-1.23%,101.40%,2784.59%,168.62%,-45.88%,-67.27%,-92.44%,1.54%,-7.65%,5.82%,44.01%,132.42%,-16.53%,145.94%,-47.72%,54.21%,2889.68%,96.92%,Upgrade
22,Shares Outstanding (Basic),87,87,87,86,88,86,86,86,86,86,86,86,86,86,85,86,86,86,86,86,Upgrade
23,Shares Outstanding (Diluted),87,87,87,86,88,86,86,86,86,86,86,86,86,86,85,86,86,86,86,86,Upgrade
24,Shares Change (YoY),-0.21%,1.21%,1.21%,-0.00%,1.42%,0.44%,0.36%,0.36%,0.58%,0.14%,1.01%,0.22%,0.40%,0.40%,-0.40%,0.40%,-,-,-,-,Upgrade
25,EPS (Basic),867.82,104.24,47.86,83.72,455.95,345.63,49.05,41.57,16.03,129.24,90.95,127.46,213.17,127.45,99.48,120.72,148.61,55.05,118.71,49.28,Upgrade
26,EPS (Diluted),867.62,104.24,47.86,83.72,455.95,345.63,49.05,41.57,16.03,128.96,90.95,127.18,213.17,127.45,99.48,120.72,148.61,55.05,118.71,49.28,Upgrade
27,EPS Growth,90.29%,-69.84%,-2.42%,101.40%,2744.07%,168.03%,-46.07%,-67.32%,-92.48%,1.18%,-8.57%,5.36%,43.44%,131.51%,-16.20%,144.97%,-47.72%,54.21%,2889.68%,96.92%,Upgrade
28,Free Cash Flow,251278,29397,-71650,-84441,89442,44395,-45874,-4450,-24927,-58181,41920,-68145,-20704,87515,62600,-230800,232931,-11690,16889,25642,Upgrade
29,Free Cash Flow Per Share,2873.24,336.14,-819.28,-977.27,1020.61,513.81,-530.92,-51.50,-288.49,-676.32,486.91,-791.51,-241.00,1018.70,734.46,-2686.56,2722.09,-136.61,197.36,299.66,Upgrade
30,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.462,-,177.462,-,-,-,Upgrade
31,Gross Margin,36.39%,28.31%,27.22%,19.91%,13.79%,23.03%,41.70%,34.35%,12.37%,18.97%,23.56%,11.48%,29.72%,9.12%,25.11%,19.78%,11.17%,28.67%,28.31%,12.32%,Upgrade
32,Operating Margin,23.18%,5.99%,9.78%,-2.37%,1.75%,13.34%,-9.75%,4.67%,-2.03%,5.65%,12.09%,3.89%,-0.02%,4.92%,9.98%,7.04%,3.11%,5.72%,7.71%,2.56%,Upgrade
33,Profit Margin,20.37%,5.15%,2.92%,6.74%,7.64%,8.88%,12.00%,4.18%,0.58%,4.45%,4.60%,5.34%,12.00%,5.20%,7.55%,5.64%,3.51%,5.09%,6.36%,2.24%,Upgrade
34,Free Cash Flow Margin,67.45%,16.61%,-50.03%,-78.65%,17.11%,13.21%,-129.90%,-5.18%,-10.48%,-23.29%,24.64%,-33.16%,-13.57%,41.59%,55.74%,-125.59%,64.36%,-12.62%,10.57%,13.65%,Upgrade
35,EBITDA,89292,13547,16257,-203.63,11235,46529,-1589,5560,-3539,15560,22109,9547,1012,11834,13663,15366,13939,8194,15044,8070,Upgrade
36,EBITDA Margin,23.97%,7.65%,11.35%,-0.19%,2.15%,13.84%,-4.50%,6.47%,-1.49%,6.23%,12.99%,4.65%,0.66%,5.62%,12.17%,8.36%,3.85%,8.85%,9.41%,4.29%,Upgrade
37,D&A For EBITDA,2947,2942,2253,2344,2077,1678,1853,1549,1279,1444,1532,1556,1040,1471,2453,2430,2697,2895,2719,3255,Upgrade
38,EBIT,86346,10605,14004,-2548,9158,44851,-3442,4010,-4818,14116,20577,7991,-28.3,10362,11211,12936,11242,5299,12326,4815,Upgrade
39,EBIT Margin,23.18%,5.99%,9.78%,-2.37%,1.75%,13.34%,-9.75%,4.67%,-2.03%,5.65%,12.09%,3.89%,-0.02%,4.92%,9.98%,7.04%,3.11%,5.72%,7.71%,2.56%,Upgrade
40,Effective Tax Rate,16.15%,0.46%,-,11.60%,9.97%,14.09%,12.81%,31.57%,62.66%,19.79%,19.96%,10.72%,6.06%,11.02%,21.87%,24.32%,17.98%,30.59%,25.05%,19.36%,Upgrade
41,Revenue as Reported,372521,177037,143221,107367,522718,336147,35316,85908,237764,249865,170136,205518,152592,210446,112315,183779,361928,92601,159815,187890,Upgrade
