,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,25.95,21.61,30.17,-,38.06,-,41.01,43.57,30.18,53.99,Upgrade
1,Revenue Growth (YoY),-13.96%,-,-20.74%,-,-7.19%,-,35.90%,-19.31%,-35.95%,-25.51%,Upgrade
2,Cost of Revenue,8.26,30.95,13.09,-,18.04,-,18.75,68.36,17.91,26.72,Upgrade
3,Gross Profit,17.7,-9.34,17.08,-,20.02,-,22.26,-24.8,12.26,27.27,Upgrade
4,"Selling, General & Admin",13.97,4.66,25.83,-,24,-,25.27,47.4,24.28,38.52,Upgrade
5,Other Operating Expenses,-0.16,6.12,-1.03,-,-2.16,-,-0.5,15.67,-14.68,3.51,Upgrade
6,Operating Expenses,13.82,13.19,25.97,-,21.88,-,24.77,67.04,9.6,42.03,Upgrade
7,Operating Income,3.87,-22.53,-8.89,-,-1.86,-,-2.51,-91.83,2.66,-14.75,Upgrade
8,Interest Expense,-20.92,-22.68,-22.52,-,-46.52,-,-45.27,-91.68,-57.38,-90.22,Upgrade
9,Interest & Investment Income,-,0.97,-,-,-,-,-,26.3,-,10.17,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,-,-,-0.53,1.04,1.12,Upgrade
11,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,3.79,-,19.67,Upgrade
12,EBT Excluding Unusual Items,-17.05,-44.24,-31.41,-,-48.37,-,-47.78,-153.96,-53.68,-74.02,Upgrade
13,Impairment of Goodwill,-,-,-,-,-,-,-,-40,-,-13,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0.82,-,-,Upgrade
15,Gain (Loss) on Sale of Assets,-0.96,-,-,-,-,-,-,325.42,-,-,Upgrade
16,Asset Writedown,-24.57,-34.56,1.4,-,-12.05,-,-33.75,-181.27,-57.03,-4.31,Upgrade
17,Other Unusual Items,-,-,-,-,-,-,-,5.81,-,-,Upgrade
18,Pretax Income,-42.57,-78.8,-30.01,-,-60.42,-,-81.53,-43.18,-110.71,-91.33,Upgrade
19,Income Tax Expense,-6.14,2.18,0.35,-,-3.01,-,-8.44,-43.82,-14.32,35.65,Upgrade
20,Earnings From Continuing Operations,-36.43,-80.97,-30.36,-,-57.41,-,-73.09,0.64,-96.39,-126.97,Upgrade
21,Earnings From Discontinued Operations,-,-,-,-,-1.05,-,-,-,-,-,Upgrade
22,Net Income to Company,-36.43,-80.97,-30.36,-,-58.46,-,-73.09,0.64,-96.39,-126.97,Upgrade
23,Minority Interest in Earnings,-,-,-,-,-,-,-,7.75,2.65,2.26,Upgrade
24,Net Income,-36.43,-80.97,-30.36,-,-58.46,-,-73.09,8.39,-93.73,-124.71,Upgrade
25,Net Income to Common,-36.43,-80.97,-30.36,-,-58.46,-,-73.09,8.39,-93.73,-124.71,Upgrade
26,Shares Outstanding (Basic),3128,3128,3128,-,3128,-,3128,3128,3128,3129,Upgrade
27,Shares Outstanding (Diluted),3128,3128,3128,-,3128,-,3128,3128,3128,3129,Upgrade
28,Shares Change (YoY),-,-,-,-,-,-,-,-0.01%,1.47%,1.50%,Upgrade
29,EPS (Basic),-0.01,-0.03,-0.01,-,-0.02,-,-0.02,0.00,-0.03,-0.04,Upgrade
30,EPS (Diluted),-0.01,-0.03,-0.01,-,-0.02,-,-0.02,0.00,-0.03,-0.04,Upgrade
31,Free Cash Flow,-0.94,15.52,-14.36,-,-5.64,-,20.06,99.03,-78.96,-13.65,Upgrade
32,Free Cash Flow Per Share,-0.00,0.00,-0.00,-,-0.00,-,0.01,0.03,-0.03,-0.00,Upgrade
33,Operating Margin,14.92%,-104.22%,-29.47%,-,-4.88%,-,-6.13%,-210.79%,8.82%,-27.32%,Upgrade
34,Profit Margin,-140.38%,-374.64%,-100.64%,-,-153.59%,-,-178.23%,19.27%,-310.62%,-230.98%,Upgrade
35,Free Cash Flow Margin,-3.61%,71.82%,-47.62%,-,-14.83%,-,48.91%,227.31%,-261.65%,-25.27%,Upgrade
36,EBITDA,3.95,-22.46,-8.83,-,-1.68,-,-2.35,-91.45,2.92,-14.44,Upgrade
37,D&A For EBITDA,0.08,0.07,0.06,0,0.18,1.41,0.17,0.38,0.26,0.31,Upgrade
38,EBIT,3.87,-22.53,-8.89,-,-1.86,-,-2.51,-91.83,2.66,-14.75,Upgrade
