,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,196,235,252,167,147,306,275,457,261,290,272,Upgrade
1,Market Cap Growth,40.94%,40.94%,71.05%,-45.57%,-46.48%,-33.05%,5.60%,57.50%,-4.11%,-14.13%,-11.69%,Upgrade
2,Enterprise Value,390,413,413,327,284,466,404,591,331,352,367,Upgrade
3,Last Close Price,0.47,0.57,0.65,0.43,0.38,0.79,0.71,1.18,0.70,0.78,0.73,Upgrade
4,PS Ratio,1.00,1.27,1.34,0.82,0.59,1.18,1.42,4.07,4.64,4.96,2.46,Upgrade
5,PB Ratio,18.17,6.59,9.05,4.24,2.71,6.22,5.01,7.73,4.89,10.42,12.55,Upgrade
6,P/TBV Ratio,-,-,-,-,-,-,-,-,-,8.26,9.84,Upgrade
7,P/FCF Ratio,-,-,-,-,17.53,-215.01,-,-,-76.64,-,-,Upgrade
8,P/OCF Ratio,-,-,-,-,16.11,-431.23,-,-,-257.49,-,-,Upgrade
9,EV/Sales Ratio,2.11,2.24,2.19,1.61,1.15,1.80,2.09,5.26,5.89,6.01,3.32,Upgrade
10,EV/FCF Ratio,-11.94,-,-,-,33.80,-327.46,-,-,-97.44,-,-,Upgrade
11,Debt / Equity Ratio,5.33,5.33,6.12,4.05,2.75,2.64,2.73,2.40,2.64,4.25,4.88,Upgrade
12,Debt / FCF Ratio,-,-,-,-,17.83,-91.42,-,-,-41.45,-,-,Upgrade
13,Earnings Yield,-14.53%,-12.11%,-12.33%,-10.92%,-8.08%,-3.89%,-5.08%,-5.13%,-9.45%,-9.51%,-12.32%,Upgrade
14,FCF Yield,-16.69%,-13.91%,-4.01%,4.49%,5.71%,-0.47%,-10.36%,-5.82%,-1.30%,-4.93%,-6.30%,Upgrade
15,Buyback Yield / Dilution,-0.07%,-18.27%,10.41%,-,-11.63%,-1.40%,-4.11%,-2.67%,-9.17%,-10.09%,-2.50%,Upgrade
16,Total Shareholder Return,-0.07%,-18.27%,10.41%,-,-11.63%,-1.40%,-4.11%,-2.67%,-9.17%,-10.09%,-2.50%,Upgrade
