,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,573.61,653.27,755.33,764.3,843.69,914.29,1069,1086,-,125.96,-,50.55
1,Cash & Short-Term Investments,573.61,653.27,755.33,764.3,843.69,914.29,1069,1086,-,125.96,163.54,50.55
2,Cash Growth,-32.01%,-28.55%,-29.31%,-29.65%,-,625.84%,553.42%,2049.27%,-,-,-,-
3,Accounts Receivable,349.2,331.51,313.42,332.35,336.96,286.07,275.06,284.49,-,217.88,-,121.66
4,Other Receivables,5.4,5.73,3.57,3.3,3.44,6.3,3.16,4.48,-,29.93,-,53.7
5,Receivables,354.61,337.24,316.99,335.65,340.4,292.36,278.23,288.97,-,247.81,-,175.37
6,Inventory,368.85,317.56,307.56,316.49,266.45,249.68,209.02,199.63,-,173.32,-,262.6
7,Other Current Assets,58.25,49.97,50.23,40.64,53.68,33.91,25.06,19.32,-,17.13,-,14.55
8,Total Current Assets,1355,1358,1430,1457,1504,1490,1581,1594,-,564.22,-,503.06
9,"Property, Plant & Equipment",537.48,504.01,496.67,492.73,426.79,387.82,320.42,309.48,-,297.01,-,167.29
10,Long-Term Investments,35.81,34.83,20.16,-,-,-,-,-,-,-,-,-
11,Other Intangible Assets,62.16,60.18,60.55,60.93,47.37,16.89,17.04,17.19,-,17.49,-,15.79
12,Long-Term Deferred Tax Assets,31.71,30.41,32.4,28.4,20.11,20.81,20.25,19.33,-,15.99,-,5.23
13,Long-Term Deferred Charges,0.96,0.26,0.31,0.36,0.41,0.46,0.51,0.56,-,0.67,-,0.92
14,Other Long-Term Assets,20.84,5.58,2.22,4.22,1.28,5.2,2.9,0.67,-,3.59,-,1.18
15,Total Assets,2044,1993,2042,2044,2000,1921,1942,1942,-,898.97,-,693.48
16,Accounts Payable,95.47,57.64,72.32,92.08,62.98,55.45,59.61,76.38,-,87.67,-,72
17,Accrued Expenses,11.19,12.98,8.13,13.99,10.43,13.07,9.4,15.22,-,15.18,-,23.93
18,Short-Term Debt,-,-,-,-,-,-,9.9,17.4,-,17.4,-,7.5
19,Current Portion of Leases,-,-,-,-,-,-,-,-,-,-,-,0.51
20,Current Income Taxes Payable,3.34,3.09,16.91,5.33,16.09,3.71,10.14,3.49,-,9.27,-,32.51
21,Current Unearned Revenue,32.63,34.18,18.12,33.09,23.04,20.26,41.11,43.07,-,89.19,-,157.15
22,Other Current Liabilities,5.58,3.34,2.91,7.65,3.25,3.4,5.8,7.96,-,12.5,-,10.29
23,Total Current Liabilities,148.21,111.23,118.39,152.15,115.79,95.89,135.97,163.52,-,231.22,-,303.89
24,Long-Term Unearned Revenue,5.36,5.49,5.62,5.75,5.88,6.01,6.14,6.27,-,6.53,-,2.69
25,Other Long-Term Liabilities,0.47,0.44,0.88,0.79,0.28,0.11,0.1,0.27,-,0.75,-,0.46
26,Total Liabilities,154.04,117.16,124.89,158.69,121.95,102.02,142.21,170.05,-,238.49,-,307.03
27,Common Stock,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,-,50,-,50
28,Additional Paid-In Capital,1181,1181,1181,1181,1181,1181,1181,1181,-,186.96,-,186.96
29,Retained Earnings,641.04,627.7,668.35,636.08,629.51,570.97,551.61,522.15,-,423.12,-,148.86
30,Comprehensive Income & Other,1.16,0.42,1.16,0.93,0.7,0.41,0.18,1.42,-,0.41,-,0.62
31,Shareholders' Equity,1890,1876,1918,1885,1878,1819,1800,1772,-,660.48,576.63,386.44
32,Total Liabilities & Equity,2044,1993,2042,2044,2000,1921,1942,1942,-,898.97,-,693.48
33,Total Debt,-,-,-,-,-,-,9.9,17.4,-,17.4,47.5,8.01
34,Net Cash (Debt),573.61,653.27,755.33,764.3,843.69,914.29,1059,1069,-,108.56,116.04,42.54
35,Net Cash Growth,-32.01%,-28.55%,-28.65%,-28.51%,-,742.17%,812.37%,2412.91%,-,-,-,-
36,Net Cash Per Share,8.60,9.80,11.33,11.46,12.73,13.69,15.81,21.38,-,2.16,2.32,0.85
37,Filing Date Shares Outstanding,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,49.78,50,50,50
38,Total Common Shares Outstanding,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,49.78,50,50,50
39,Working Capital,1207,1247,1312,1305,1388,1394,1445,1431,-,333,-,199.18
40,Book Value Per Share,28.35,28.14,28.76,28.27,28.17,27.29,26.99,26.57,-,13.21,11.53,7.73
41,Tangible Book Value,1828,1816,1857,1824,1831,1803,1783,1754,-,643,560.08,370.65
42,Tangible Book Value Per Share,27.42,27.23,27.85,27.36,27.46,27.03,26.74,26.31,-,12.86,11.20,7.41
43,Buildings,-,184.04,-,184.04,-,182.85,-,182.85,-,182.66,-,118.74
44,Machinery,-,231.83,-,229.7,-,146.23,-,138.76,-,134.33,-,52.88
45,Construction In Progress,-,191.62,-,166.36,-,134.86,-,52.87,-,34.03,-,29.71
