,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,121.23,75.93,125.36,7.94,125.7,71.29,94.6,68.78,200.64,105.84,125.96,96.48
1,Other Revenue,-12.78,12.78,-,32.78,-9.69,9.69,-,15.68,-7.31,7.31,-,1.64
2,Revenue,108.45,88.71,125.36,40.71,116.01,80.98,94.6,84.47,193.34,113.14,125.96,98.12
3,Revenue Growth (YoY),-6.52%,9.54%,32.52%,-51.80%,-40.00%,-28.43%,-24.90%,-13.92%,-,-,-,-
4,Cost of Revenue,72.63,54.78,80.03,44.05,73.26,46.47,63.71,57.99,98.15,53.21,65.78,46
5,Gross Profit,35.82,33.93,45.33,-3.34,42.75,34.52,30.89,26.48,95.19,59.94,60.18,52.12
6,"Selling, General & Admin",16.29,13.57,16.68,9.57,13.05,14.58,11.27,15.05,11.42,11.61,10.12,6.41
7,Research & Development,5.35,8.04,6.55,10.4,3.71,4.21,4.91,4.07,6.86,5.71,5.55,3.59
8,Other Operating Expenses,1.26,15.98,-14.61,-8.43,-47.81,-5.5,-12.17,11.39,-24.82,-5.3,-7.87,-1.9
9,Operating Expenses,25.88,35.24,16.44,32.08,-23.66,17.14,4.05,41.36,-5.8,13.86,9.39,7.67
10,Operating Income,9.94,-1.3,28.89,-35.42,66.41,17.37,26.84,-14.88,101,46.07,50.79,44.45
11,Interest Expense,-,-,-0.02,-0.13,-,-0.02,-0.11,-0.17,-0.18,-0.13,-0.45,-0.39
12,Interest & Investment Income,1.95,3.93,3.72,24.81,3.51,2.93,8.18,1.94,0.19,0.34,0.16,0.3
13,Earnings From Equity Investments,0.17,-0.33,0.16,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.83,0.83,-,-0.26,-1.44,1.44,-,2.9,-1.77,1.77,-,-0.09
15,Other Non Operating Income (Expenses),2,-0.18,0.14,-14.82,0.28,-0.52,-0.65,-3.56,3.55,-0.06,-0.08,-0.04
16,EBT Excluding Unusual Items,13.24,2.95,32.88,-25.82,68.76,21.2,34.27,-13.78,102.78,48,50.42,44.22
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.21,-,-,-,-
18,Asset Writedown,-,-3.16,3.16,8.36,-,-0.27,0.27,2.78,-2.78,0.35,-0.35,-
19,Other Unusual Items,0.5,15.77,-,21.23,-,-,-,27.28,-,-,-,1.76
20,Pretax Income,13.73,15.56,36.05,3.77,68.76,20.93,34.54,16.07,100.01,48.36,50.07,45.99
21,Income Tax Expense,0.4,2.86,3.78,-2.8,10.21,1.57,5.08,1.99,15.06,5.86,8.38,7.43
22,Net Income,13.34,12.7,32.27,6.57,58.54,19.36,29.46,14.08,84.95,42.5,41.69,38.56
23,Net Income to Common,13.34,12.7,32.27,6.57,58.54,19.36,29.46,14.08,84.95,42.5,41.69,38.56
24,Net Income Growth,-77.22%,-34.42%,9.54%,-53.34%,-31.08%,-54.44%,-29.34%,-63.48%,-,-,-,-
25,Shares Outstanding (Basic),67,67,67,67,66,67,67,50,50,50,50,50
26,Shares Outstanding (Diluted),67,67,67,67,66,67,67,50,50,50,50,50
27,Shares Change (YoY),0.58%,-0.20%,-0.40%,33.37%,33.19%,33.01%,33.90%,-0.15%,-,-,-,-
28,EPS (Basic),0.20,0.19,0.48,0.10,0.88,0.29,0.44,0.28,1.71,0.85,0.83,0.77
29,EPS (Diluted),0.20,0.19,0.48,0.10,0.88,0.29,0.44,0.28,1.71,0.85,0.83,0.77
30,EPS Growth,-77.35%,-34.29%,9.98%,-65.01%,-48.26%,-65.75%,-47.23%,-63.43%,-,-,-,-
31,Free Cash Flow,-62.14,-34.23,23.41,-94.56,-69.2,-136.93,-16.48,-20.3,-21.08,37.44,-0.51,9.33
32,Free Cash Flow Per Share,-0.93,-0.51,0.35,-1.42,-1.04,-2.05,-0.25,-0.41,-0.42,0.75,-0.01,0.19
33,Dividend Per Share,-,-,-,0.800,-,-,-,-,-,-,-,-
34,Gross Margin,33.03%,38.25%,36.16%,-8.20%,36.85%,42.62%,32.65%,31.34%,49.24%,52.97%,47.78%,53.12%
35,Operating Margin,9.17%,-1.47%,23.04%,-87.01%,57.24%,21.45%,28.37%,-17.62%,52.24%,40.72%,40.33%,45.30%
36,Profit Margin,12.30%,14.31%,25.74%,16.14%,50.46%,23.91%,31.14%,16.67%,43.94%,37.56%,33.10%,39.30%
