,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,3698,2493,2346,2913,4104,5192,6067,4796,4007,-,-,-,-
1,Market Cap Growth,-51.98%,-51.98%,-61.33%,-39.27%,2.41%,-,-,-,-,-,-,-,-
2,Enterprise Value,3124,1840,1591,2069,3260,4277,5009,4687,3899,-,-,-,-
3,Last Close Price,55.46,37.39,35.19,42.84,60.36,76.36,89.24,70.53,58.94,-,-,-,-
4,PE Ratio,57.00,38.43,21.32,24.95,36.02,42.75,41.04,28.05,21.87,-,-,-,-
5,Forward PE,-,4.91,5.08,7.71,11.83,16.42,-,-,-,-,-,-,-
6,PS Ratio,10.18,6.86,6.33,8.02,12.35,13.81,13.38,9.88,7.75,-,-,-,-
7,PB Ratio,1.96,1.32,1.25,1.52,2.18,2.76,3.33,2.66,2.26,-,-,-,-
8,P/TBV Ratio,1.36,1.36,1.29,1.57,2.25,2.84,3.37,2.69,2.28,-,-,-,-
9,P/FCF Ratio,-,-,-,-10.50,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,106.43,-,-,-158.30,-58.44,-,-,102.23,-,-,-,-,-
11,EV/Sales Ratio,8.60,5.07,4.29,5.70,9.81,11.37,11.05,9.65,7.54,-,-,-,-
12,EV/EBITDA Ratio,-,66.59,19.06,20.80,-,36.64,33.61,26.54,-,-,-,-,-
13,EV/EBIT Ratio,-,874.80,-,26.78,-,44.68,38.43,29.47,-,-,-,-,-
14,EV/FCF Ratio,-18.65,-,-,-7.46,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,-,-,-,-,-,-,-,0.01,0.01,-,0.03,0.08,0.02
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,0.08,-,-,0.09,0.22,0.04
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.38,-,0.86
18,Asset Turnover,0.21,0.18,0.25,0.08,0.24,0.17,0.19,-,-,-,-,-,
19,Inventory Turnover,0.79,0.85,0.70,1.03,0.60,1.14,0.81,1.25,-,-,-,-,-
20,Quick Ratio,6.26,6.26,8.91,9.06,7.23,10.23,12.58,9.91,8.41,-,1.62,-,0.74
21,Current Ratio,9.14,9.14,12.21,12.08,9.58,12.99,15.54,11.63,9.75,-,2.44,-,1.66
22,Return on Equity (ROE),2.83%,2.68%,6.79%,1.40%,12.67%,4.28%,6.60%,-,-,27.48%,-,-,
23,Return on Assets (ROA),1.23%,-0.16%,3.53%,-4.38%,8.47%,2.25%,3.45%,-,-,-,-,-,
24,Return on Capital (ROIC),1.32%,-0.17%,3.80%,-4.71%,8.98%,2.39%,3.73%,-,-,17.69%,-,-,
25,Return on Capital Employed (ROCE),-,0.11%,-,4.01%,-,5.08%,7.14%,8.80%,-,-,21.16%,-,11.41%
26,Earnings Yield,1.75%,2.60%,4.69%,4.01%,2.78%,2.34%,2.44%,3.57%,4.57%,-,-,-,-
27,FCF Yield,-4.53%,-6.72%,-7.44%,-9.52%,-7.73%,-4.68%,-3.21%,-0.43%,-0.11%,-,-,-,-
28,Dividend Yield,1.43%,-,-,-,1.33%,-,-,-,-,-,-,-,-
29,Payout Ratio,82.23%,-,420.14%,-,-,-,-,-,-,-,-,-,26.93%
30,Buyback Yield / Dilution,-6.66%,-0.58%,0.20%,0.40%,-33.37%,-33.19%,-33.01%,-33.90%,0.15%,-,-,-,-
31,Total Shareholder Return,-5.22%,-0.58%,0.20%,0.40%,-32.04%,-33.19%,-33.01%,-33.90%,0.15%,-,-,-,-
