,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,391.51,447.84,483.44,471.23,418.23,414.12,323.1,346.7,254.21
1,Revenue Growth (YoY),-19.02%,-4.96%,15.59%,13.79%,29.44%,19.45%,27.10%,-,-
2,Cost of Revenue,323.98,389.2,396.7,378.23,313.02,304.48,246.67,252.63,187.55
3,Gross Profit,67.53,58.64,86.74,93,105.21,109.64,76.43,94.08,66.66
4,"Selling, General & Admin",56.42,69.52,67.35,68.86,54.72,57.16,52.86,41.16,33.7
5,Other Operating Expenses,-1.66,-2.07,-0.88,-7.3,-4.61,-1.94,-2.35,20.8,-26.21
6,Operating Expenses,58.01,243.38,71.56,87.67,69.92,63.23,54.73,55.76,17.87
7,Operating Income,9.52,-184.74,15.18,5.33,35.29,46.41,21.7,38.32,48.79
8,Interest Expense,-0.03,-0.06,-0.06,-0.05,-0.03,-0.04,-0.01,-6.53,-27.84
9,Interest & Investment Income,0.79,0.6,0.89,0.7,1.51,1.93,0.17,32.52,0.05
10,Earnings From Equity Investments,2.61,-1.47,2.38,0.29,0.53,0.23,-,-,-
11,Currency Exchange Gain (Loss),-,0.05,0,0.36,-4.35,2.29,-,-,-
12,EBT Excluding Unusual Items,12.89,-185.63,18.39,6.64,32.95,50.82,21.86,64.3,20.99
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,1.48,-,-,-
14,Gain (Loss) on Sale of Assets,0.32,-0.05,0.09,2.18,-0.61,2.43,-0.02,-0.03,-0.01
15,Other Unusual Items,-,-0,-0.06,0.03,-,-,-,-,-
16,Pretax Income,13.21,-185.68,18.41,8.85,32.34,54.73,21.84,64.27,20.99
17,Income Tax Expense,3.81,-36.51,4.51,3.44,8.46,10.83,7.39,13.36,6.34
18,Earnings From Continuing Operations,9.4,-149.17,13.9,5.41,23.87,43.9,14.44,50.91,14.65
19,Minority Interest in Earnings,1.74,1.48,-0.45,0.46,-1.32,-0.01,-,-,-
20,Net Income,11.15,-147.69,13.46,5.87,22.55,43.89,14.44,50.91,14.65
21,Net Income to Common,11.15,-147.69,13.46,5.87,22.55,43.89,14.44,50.91,14.65
22,Net Income Growth,-17.18%,-,-40.33%,-86.63%,56.17%,-13.79%,-1.43%,-,-
23,Shares Outstanding (Basic),383,384,385,386,387,382,276,276,276
24,Shares Outstanding (Diluted),383,384,386,386,387,382,276,276,276
25,Shares Change (YoY),-0.67%,-0.54%,-0.27%,1.24%,40.13%,38.23%,-,-,-
26,EPS (Basic),0.03,-0.38,0.03,0.02,0.06,0.12,0.05,0.18,0.05
27,EPS (Diluted),0.03,-0.38,0.03,0.01,0.06,0.11,0.05,0.18,0.05
28,EPS Growth,-3.03%,-,-48.55%,-87.82%,11.45%,-37.83%,-1.43%,-,-
29,Free Cash Flow,-146.5,141.78,-26.69,174.33,-127.15,86.58,-93.57,149.68,-59.47
30,Free Cash Flow Per Share,-0.38,0.37,-0.07,0.45,-0.33,0.23,-0.34,0.54,-0.22
31,Operating Margin,2.43%,-41.25%,3.14%,1.13%,8.44%,11.21%,6.72%,11.05%,19.19%
32,Profit Margin,2.85%,-32.98%,2.78%,1.25%,5.39%,10.60%,4.47%,14.68%,5.76%
33,Free Cash Flow Margin,-37.42%,31.66%,-5.52%,37.00%,-30.40%,20.91%,-28.96%,43.17%,-23.39%
34,EBITDA,18.58,-174.81,22.35,10.67,37.35,48.11,22.94,38.96,49.8
35,D&A For EBITDA,9.06,9.93,7.18,5.34,2.06,1.7,1.24,0.64,1.02
36,EBIT,9.52,-184.74,15.18,5.33,35.29,46.41,21.7,38.32,48.79
