,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,186.6,332.78,162.05,358.17,240.39,444.09,179.88,314.27,-
1,Short-Term Investments,17.51,14.56,18.84,17.56,18.27,16.78,16.14,10.06,-
2,Cash & Short-Term Investments,204.11,347.34,180.89,375.72,258.66,460.88,196.02,324.32,-
3,Cash Growth,12.84%,-7.55%,-30.07%,-18.48%,31.96%,42.10%,-,-,-
4,Accounts Receivable,287.15,215.19,378.75,309.1,365.37,215.43,174.75,115.61,-
5,Other Receivables,4.8,12.87,10.71,9.37,7.53,4.18,2.49,133.8,-
6,Receivables,291.96,228.06,389.46,318.47,372.9,219.6,177.24,249.41,-
7,Inventory,0.95,1.09,1.12,1.05,1.43,1.23,1.1,1.84,-
8,Restricted Cash,10.13,4.64,0.87,0.78,-,0.36,-,-,-
9,Other Current Assets,140.56,110.14,183.54,201.19,169.9,127.61,26.3,17.02,-
10,Total Current Assets,647.7,691.27,755.88,897.21,802.89,809.67,400.67,592.59,-
11,"Property, Plant & Equipment",14.98,16.27,18.45,18.22,21.46,9.09,6.27,6.09,-
12,Long-Term Investments,6.95,2.87,5.81,3.23,2.14,1.61,0.02,-,-
13,Goodwill,181.04,181.04,181.04,60.75,60.75,-,-,-,-
14,Other Intangible Assets,122.5,127.92,133.76,48.72,49.8,4.68,3.43,3.22,-
15,Long-Term Deferred Tax Assets,68.67,68.1,38.3,32.1,24.17,15.38,11.38,8.69,-
16,Other Long-Term Assets,2.87,0.37,0.72,0.75,2.6,7.55,5.14,5.34,-
17,Total Assets,1045,1088,1134,1061,963.8,847.98,426.9,615.91,-
18,Accounts Payable,236.68,265.42,188.64,148.2,96.37,94.34,66.26,77.32,-
19,Accrued Expenses,105.77,130.5,126.94,134.6,114.03,125.03,74.38,131.06,-
20,Short-Term Debt,2.27,1.28,1.15,1.2,1.18,1.15,-,30.9,-
21,Current Portion of Leases,0.57,0.61,1.07,0.57,1.8,0.87,0.47,0.95,-
22,Current Income Taxes Payable,17.92,25.91,32.17,31.53,22.73,18.82,10.1,28.96,-
23,Current Unearned Revenue,246.09,210.87,207.84,207.29,196.94,160.28,137.91,146.66,-
24,Other Current Liabilities,140.35,166.85,139.9,127.82,124.36,81.77,83.82,71.53,-
25,Total Current Liabilities,749.64,801.43,697.7,651.22,557.4,482.25,372.93,487.39,-
26,Long-Term Leases,0.55,0.75,1,0.5,0.63,0.06,0.13,0.14,-
27,Long-Term Deferred Tax Liabilities,19.03,20.54,21.67,10.23,10.77,-,-,-,-
28,Total Liabilities,769.22,822.73,720.37,661.95,568.8,482.31,373.07,487.53,-
29,Common Stock,3.42,3.42,3.42,3.42,3.42,3.42,-,-,-
30,Additional Paid-In Capital,268.02,268.02,268.02,268.02,268.02,268.02,-,-,-
31,Retained Earnings,80.95,69.8,217.49,204.03,198.17,175.61,131.72,117.28,-
32,Comprehensive Income & Other,-81.38,-82.36,-83.05,-83.71,-82.2,-85.64,-82.14,11.1,-
33,Total Common Equity,271,258.88,405.88,391.77,387.41,361.42,49.59,128.38,-
34,Minority Interest,4.48,6.22,7.7,7.26,7.6,4.26,4.25,-,-
35,Shareholders' Equity,275.49,265.1,413.58,399.03,395,365.68,53.84,128.38,-
36,Total Liabilities & Equity,1045,1088,1134,1061,963.8,847.98,426.9,615.91,-
37,Total Debt,3.39,2.64,3.22,2.27,3.61,2.08,0.6,31.99,-
38,Net Cash (Debt),200.72,344.71,177.67,373.45,255.05,458.8,195.42,292.33,-
39,Net Cash Growth,12.98%,-7.70%,-30.34%,-18.60%,30.51%,56.94%,-,-,-
40,Net Cash Per Share,0.52,0.90,0.46,0.97,0.66,1.20,0.71,1.06,-
41,Filing Date Shares Outstanding,410.77,410.77,410.77,410.77,410.77,410.77,300,400,276
42,Total Common Shares Outstanding,410.77,410.77,410.77,410.77,410.77,410.77,300,276,276
43,Working Capital,-101.94,-110.17,58.18,245.99,245.5,327.42,27.73,105.2,-
44,Book Value Per Share,0.66,0.63,0.99,0.95,0.94,0.88,0.17,0.47,-
45,Tangible Book Value,-32.54,-50.08,91.09,282.3,276.86,356.74,46.16,125.17,-
46,Tangible Book Value Per Share,-0.08,-0.12,0.22,0.69,0.67,0.87,0.15,0.45,-
47,Buildings,2.5,2.43,2.43,2.43,-,-,-,-,-
48,Machinery,21.98,21.34,20.72,19.84,21.06,8.92,8.22,8.08,-
49,Leasehold Improvements,10.56,16.88,15.03,13.71,13.34,8.77,5.4,4.55,-
