,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,74,82,107,826,1080,1191,1429,-,-,-
1,Market Cap Growth,-90.05%,-90.05%,-90.11%,-30.69%,-24.43%,-,-,-,-,-
2,Enterprise Value,-137,-291,-77,412,790,633,1200,-,-,-
3,Last Close Price,0.18,0.20,0.26,2.01,2.63,2.90,3.48,-,-,-
4,PE Ratio,-,-0.56,-,39.54,33.62,15.31,19.96,-,-,-
5,PS Ratio,0.08,0.09,0.10,0.80,1.07,1.22,1.58,-,-,-
6,PB Ratio,0.25,0.28,0.37,1.85,2.39,2.57,3.18,-,-,-
7,P/TBV Ratio,-,-,-,8.39,3.39,3.67,3.26,-,-,-
8,P/FCF Ratio,-,-,0.84,-,20.26,-,-166.60,-,-,-
9,P/OCF Ratio,-,-,0.81,-,17.73,-,-1074.30,-,-,-
10,EV/Sales Ratio,-,-,-,0.40,0.79,0.65,1.33,-,-,-
11,EV/EBITDA Ratio,-,-,-,11.54,14.56,6.33,13.75,-,-,-
12,EV/EBIT Ratio,-,-,-,18.58,17.21,6.62,14.35,-,-,-
13,EV/FCF Ratio,27.04,-,-,-,14.82,-,-139.80,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,-
15,Debt / FCF Ratio,-,-,0.02,-,0.05,-,-0.30,-,0.35,-
16,Return on Capital Employed (ROCE),-,-59.38%,-,4.70%,9.91%,20.10%,18.62%,111.20%,67.77%,-
17,Earnings Yield,-199.54%,-178.59%,-138.47%,2.53%,2.97%,6.53%,5.01%,-,-,-
18,FCF Yield,-6.91%,-6.18%,118.72%,19.32%,4.94%,-3.99%,-0.60%,-,-,-
19,Buyback Yield / Dilution,0.60%,0.67%,0.54%,0.27%,-1.24%,-40.13%,-38.23%,-,-,-
20,Total Shareholder Return,0.60%,0.67%,0.54%,0.27%,-1.24%,-40.13%,-38.23%,-,-,-
