,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,306.7,257.92,274,257.09,276.21,234.91,223.17,224.73,238.99,216.59,198.79,199.43,215.26,184.57,206.98,176.96,198.94,184.18,164.13,166.21
1,Other Revenue,-5.95,5.95,-,2.87,-1.73,1.73,-,2.55,-1.22,1.22,-,-,-1.04,1.04,-,2.46,-1.15,1.15,-,0.32
2,Revenue,300.75,263.87,274,259.96,274.48,236.64,223.17,227.29,237.77,217.81,198.79,199.43,214.22,185.61,206.98,179.42,197.79,185.33,164.13,166.53
3,Revenue Growth (YoY),9.57%,11.51%,22.78%,14.37%,15.44%,8.64%,12.26%,13.97%,10.99%,17.35%,-3.96%,11.15%,8.31%,0.15%,26.11%,7.74%,-,-,-,-
4,Cost of Revenue,176.8,151.23,152.06,157.91,155.05,140.3,133.7,153.42,147.67,137.08,123.18,138.81,122.12,114.59,119.22,103.3,113.82,115.2,95.54,103.39
5,Gross Profit,123.95,112.64,121.94,102.05,119.43,96.34,89.48,73.86,90.09,80.73,75.61,60.63,92.1,71.02,87.76,76.12,83.97,70.13,68.58,63.14
6,"Selling, General & Admin",57.88,51.73,57.95,57.76,55.67,45.17,37.31,41.57,40.7,45.27,55.37,54.91,40.06,35.9,38.8,43.97,30.71,24.8,30.67,109.77
7,Research & Development,9.17,8.72,7.8,12.74,8.53,6.06,5.37,11.53,8.04,6.62,5.45,8.32,6.63,9.77,7.7,9.66,5.64,6.72,3.77,5.51
8,Other Operating Expenses,-1.8,2.59,2.55,-0.57,-2.66,2.97,1.17,-1.36,-10.39,3.86,-0.54,5.28,0.1,-0.06,0.16,9.71,-2.81,-0.95,0.52,-72.54
9,Operating Expenses,66.54,63,68.7,69.04,62.63,50.26,47.49,51.45,39.13,56.53,60.59,67.11,48.13,45.92,46.58,62.16,35.24,29.86,35.13,41.58
10,Operating Income,57.41,49.63,53.24,33.01,56.79,46.09,41.98,22.41,50.96,24.2,15.01,-6.49,43.97,25.1,41.19,13.97,48.73,40.27,33.45,21.57
11,Interest Expense,-,-,-0.75,-,-,-0.16,-0.41,-0.81,-,-0.6,-0.49,-,-0.48,-0.29,-,-,-0.14,-0.41,-0.33,-0.17
