,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4348,4462,4056,4069,4127,4086,4535,4364,3835,3663,3763,4113,5420,5550,5959,6108,7853,-,-,-,-
1,Market Cap Growth,9.20%,9.20%,-10.56%,-6.76%,7.61%,11.55%,20.52%,6.10%,-29.24%,-34.00%,-36.85%,-32.66%,-30.98%,-,-,-,-,-,-,-,-
2,Enterprise Value,3639,3789,3291,3288,3346,3344,3719,3486,2957,2844,2950,3253,4560,4670,4943,5966,7711,-,-,-,-
3,Last Close Price,29.78,30.37,27.61,27.09,27.48,27.21,30.20,28.40,24.96,23.84,24.49,26.41,34.80,35.63,38.26,38.91,50.03,-,-,-,-
4,PE Ratio,24.00,24.59,22.17,22.11,23.95,24.97,29.75,29.43,30.43,32.02,33.41,43.32,45.70,43.15,44.95,43.74,61.37,-,-,-,-
5,Forward PE,23.82,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,27.47,37.77,33.48,35.58,35.72,34.93,-,-,-,-
6,PS Ratio,3.96,4.06,3.78,3.89,4.15,4.25,4.90,4.82,4.35,4.29,4.53,5.15,6.72,7.06,7.74,7.94,10.81,-,-,-,-
7,PB Ratio,2.52,2.58,2.42,2.35,2.46,2.48,2.84,2.65,2.39,2.31,2.44,2.66,3.54,3.65,4.02,4.06,5.37,-,-,-,-
8,P/TBV Ratio,2.75,2.75,2.58,2.51,2.62,2.65,3.05,2.69,2.42,2.35,2.47,2.70,3.59,3.71,4.08,4.12,5.45,-,-,-,-
9,P/FCF Ratio,187.55,192.47,153.27,-,-,-1277.04,385.42,-,64.45,100.42,-103.30,-,-,-,-,142.48,-,-,-,-,-
10,P/OCF Ratio,19.17,19.17,16.67,11.82,18.26,18.44,22.97,-,31.67,34.37,60.74,-,45.28,104.61,65.06,62.35,-,-,-,-,-
11,EV/Sales Ratio,3.31,3.45,3.07,3.15,3.37,3.48,4.02,3.85,3.35,3.33,3.55,4.08,5.66,5.94,6.42,7.75,10.61,-,-,-,-
12,EV/EBITDA Ratio,15.92,16.34,14.29,14.57,15.68,16.57,19.12,20.41,20.76,25.35,28.21,31.00,34.94,31.06,31.94,35.23,47.81,-,-,-,-
13,EV/EBIT Ratio,19.37,19.60,17.08,17.38,18.81,19.99,23.04,24.98,26.26,33.98,38.46,41.92,-,37.60,38.33,41.39,56.52,-,-,-,-
14,EV/FCF Ratio,156.97,163.43,124.35,-,-,-1045.22,316.09,-,49.70,77.97,-80.99,-,-,-,-,139.18,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.01,0.06,0.05,-,0.03,0.04,0.00,0.00,-,0.08,0.07,0.07
16,Debt / EBITDA Ratio,0.05,0.04,0.04,0.04,0.06,0.04,-,0.05,0.08,0.04,0.72,0.91,-,0.25,0.41,0.03,0.04,-,0.21,0.20,0.28
17,Debt / FCF Ratio,0.46,0.46,0.41,-,-,-3.13,-,-,0.17,0.27,-2.50,-,-,-,-,0.12,-,-,0.31,0.37,0.62
18,Asset Turnover,0.64,0.56,0.57,0.56,0.62,0.53,0.49,0.51,0.55,0.50,0.46,0.47,0.51,0.46,0.52,0.65,1.25,-,-,-,
19,Inventory Turnover,3.33,3.50,2.59,2.61,3.03,2.85,2.21,1.97,2.67,2.86,2.36,2.06,2.57,2.72,2.55,2.58,2.95,4.08,-,-,-
