,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,669.73,433.76,696.12,731.61,661.17,501.74,405.73,907.6,504.13,175.42,379.06,77.6,221.55,393.43,71.94,180.49,143.74,143.14,-,92.62
1,Trading Asset Securities,50,250,80,50,130,240,420,-,385,736,515,792,690,540,951,836,-,-,-,-
2,Cash & Short-Term Investments,719.73,683.76,776.12,781.61,791.17,741.74,825.73,907.6,889.13,911.42,894.06,869.6,911.55,933.43,1023,1016,143.74,143.14,92.62,92.62
3,Cash Growth,-9.03%,-7.82%,-6.01%,-13.88%,-11.02%,-18.62%,-7.64%,4.37%,-2.46%,-2.36%,-12.60%,-14.45%,534.17%,552.11%,1004.47%,997.51%,-,-,-,-
4,Accounts Receivable,132.26,111.58,103.79,106.81,127.8,101.25,96.79,108.11,111.37,96.62,86.12,78.91,105.58,79.82,72.35,77.22,86.01,64.41,-,73.44
5,Other Receivables,4.79,0.33,4.99,0.11,4.12,3.92,82.72,0.03,1.54,1.75,1.99,1.35,1.95,1.97,1.85,1.31,1.7,0.05,-,1.46
6,Receivables,137.05,111.9,108.78,106.93,131.92,105.17,179.51,108.14,112.91,98.37,88.11,80.26,107.53,81.79,74.2,78.53,87.7,64.46,-,74.9
7,Inventory,183.71,220.78,247.16,218.55,199.01,235.75,271.64,270.76,189.51,223.07,241.81,237.67,195.03,164.69,194.45,175.02,104.91,118.47,-,125.7
8,Prepaid Expenses,-,2.05,-,1.77,-,1.75,-,1.17,-,3.71,-,2.5,-,3.42,-,2.8,-,5.59,-,5.55
9,Other Current Assets,28.48,28.25,23.26,23.31,13.17,9.48,4.29,12.85,11.23,7.24,10.86,2.62,10.33,1.25,4.4,4.51,9.83,4.8,-,3.26
10,Total Current Assets,1069,1047,1155,1132,1135,1094,1281,1301,1203,1244,1235,1193,1224,1185,1296,1277,346.18,336.47,-,302.02
11,"Property, Plant & Equipment",702.75,684.34,652.75,644.53,559.83,525.11,475.03,480.87,371.69,368.38,352.31,353.84,331.44,308.59,273.41,266.28,253.02,257.21,-,258.45
12,Long-Term Investments,1.56,1.56,1.56,1.56,0.56,0.56,0.56,0.56,0.56,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,105.51,103.55,104.16,104.7,105.3,105.91,19.96,20.14,20.32,20.49,20.6,20.47,20.65,20.82,20.99,21.15,20.99,21.17,-,21.48
14,Long-Term Deferred Tax Assets,3.1,3.31,3.19,3.22,2.76,2.33,1.74,2.81,2.37,2.13,2.4,2.52,2.02,2.13,2.3,2.38,2.74,2.46,-,2.65
15,Long-Term Deferred Charges,3.15,3.23,3.31,3.4,3.28,3.36,3.43,3.4,3.38,3.55,3.62,3.69,3.76,3.83,3.9,3.98,4.05,4.12,-,4.26
16,Other Long-Term Assets,22.03,17.35,15.39,5.53,6.78,5.58,27.33,11.52,119.94,126.61,133.22,121.44,121.07,116.32,17.59,6.68,15.92,1.73,-,0.21
17,Total Assets,1907,1860,1936,1895,1814,1737,1809,1820,1721,1765,1747,1695,1703,1636,1614,1578,642.9,623.15,-,589.06
18,Accounts Payable,84.55,89.4,114.31,126.96,74.68,71.43,86.75,122.16,62.5,66.3,65.56,102.37,75,49.51,46.28,64.92,49.88,34.7,-,52.37
19,Accrued Expenses,11.39,15.42,8.65,19.93,7.11,12.74,7.35,18.69,7.97,9.4,8.07,16.94,6.18,8.21,6.07,10.56,6.61,11.86,-,8.07
20,Short-Term Debt,10.01,10.01,10.01,10.01,10.01,-,10.01,10.01,10,91.2,80,-,50,52.1,5.22,3.26,-,40,-,31
21,Current Portion of Leases,0.16,0.16,0.15,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,18,6.21,14.18,5.39,15.42,6.26,9.1,1.53,10.27,6.79,5.49,1.35,8.45,1.8,7.69,-0.1,9.92,1.66,-,0.46
23,Current Unearned Revenue,22.96,26.36,25.44,18.6,27.25,17.48,19.26,26.36,14.69,15.67,9.38,11.76,17.11,13.43,19.41,9.16,24.76,23.61,-,14.43
24,Other Current Liabilities,7.19,8.02,7.09,8.48,9.58,9.34,8.46,10.72,8.1,7,5.72,5.64,6.2,7.46,3.97,4.72,4.3,5.05,-,3.1
25,Total Current Liabilities,154.26,155.56,179.83,189.52,144.04,117.25,140.93,189.47,113.53,196.36,174.23,138.07,162.94,132.53,88.64,92.52,95.47,116.89,-,109.43
26,Long-Term Leases,0.52,0.56,0.6,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,16.33,16.84,17.34,17.85,15.9,16.46,16.01,16.59,17.18,17.81,18.45,19.08,15.93,16.45,17,17.56,15.62,16.13,-,17.17
28,Long-Term Deferred Tax Liabilities,9.78,9.83,9.98,10.04,9.04,8.72,8.41,9,7.07,6.66,6.47,6.36,5.42,5,4.28,4,2.89,2.65,-,1.93
29,Total Liabilities,180.9,182.79,207.76,218.05,168.99,142.42,165.35,215.06,137.78,220.84,199.15,163.51,184.29,153.97,109.92,114.08,113.98,135.67,-,128.53
30,Common Stock,146,146,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,-,75
31,Additional Paid-In Capital,840.3,840.3,886.3,886.3,886.3,886.3,886.3,886.3,887.37,887.37,887.37,887.37,887.34,887.57,887.75,887.75,-,-,-,-
32,Retained Earnings,739.87,691,741.63,690.76,658.5,608.03,657.57,618.47,594.78,555.59,559.27,542.46,530.37,492.95,514.33,473.87,451.73,410.38,-,383.4
33,Total Common Equity,1726,1677,1728,1677,1645,1594,1644,1605,1582,1543,1547,1530,1518,1481,1502,1462,526.73,485.38,458.4,458.4
34,Minority Interest,-,-,-,-,-,-,-,-,1.12,1.16,1.21,1.28,1.36,1.77,2.19,2.12,2.19,2.1,-,2.14
35,Shareholders' Equity,1726,1677,1728,1677,1645,1594,1644,1605,1583,1544,1548,1531,1519,1482,1504,1464,528.92,487.48,460.54,460.54
36,Total Liabilities & Equity,1907,1860,1936,1895,1814,1737,1809,1820,1721,1765,1747,1695,1703,1636,1614,1578,642.9,623.15,-,589.06
37,Total Debt,10.69,10.73,10.76,10.8,10.01,-,10.01,10.01,10,91.2,80,-,50,52.1,5.22,3.26,-,40,31,31
38,Net Cash (Debt),709.04,673.03,765.36,770.81,781.17,741.74,815.72,897.59,879.13,820.22,814.06,869.6,861.55,881.33,1018,1013,143.74,103.14,61.62,61.62
39,Net Cash Growth,-9.23%,-9.26%,-6.17%,-14.12%,-11.14%,-9.57%,0.20%,3.22%,2.04%,-6.93%,-20.01%,-14.18%,499.38%,754.50%,1551.66%,1544.38%,-,-,-,-
40,Net Cash Per Share,4.81,4.66,5.24,5.24,5.30,5.13,5.59,6.20,5.99,5.53,5.64,6.13,5.83,6.09,6.89,8.34,1.31,0.95,0.56,0.56
41,Filing Date Shares Outstanding,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,109.5,109.5,110.59,146
42,Total Common Shares Outstanding,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,109.5,109.5,110.59,109.5
43,Working Capital,914.71,891.18,975.49,942.65,991.22,976.66,1140,1111,1089,1047,1061,1055,1061,1052,1207,1185,250.71,219.58,-,192.59
44,Book Value Per Share,11.82,11.49,11.84,11.49,11.27,10.92,11.26,10.99,10.84,10.57,10.59,10.48,10.40,10.14,10.29,10.01,4.81,4.43,4.19,4.19
45,Tangible Book Value,1621,1574,1624,1572,1539,1488,1624,1585,1562,1522,1526,1509,1497,1460,1481,1440,505.74,464.21,436.92,436.92
46,Tangible Book Value Per Share,11.10,10.78,11.12,10.77,10.54,10.19,11.12,10.85,10.70,10.43,10.45,10.34,10.25,10.00,10.14,9.87,4.62,4.24,3.99,3.99
47,Buildings,-,490.55,-,494.39,-,391.13,-,391.13,-,359.42,-,294.35,-,304.63,-,279.12,-,279.12,-,279.12
48,Machinery,-,218.3,-,213.92,-,199.7,-,193.53,-,173.93,-,161.63,-,145.64,-,137.34,-,129.21,-,118.95
49,Construction In Progress,-,246.59,-,189.06,-,169.95,-,114.01,-,35.48,-,86.01,-,33.32,-,12,-,-,-,-
