,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,547.88,532.6,574.39,532.94,460.5,659.16,645.09,690.96,462.82,806.14,710.32,655.96,519.64,690.91,721.84,667.97
1,Other Revenue,-,-21.67,21.67,-,56.38,-34.23,34.23,-,52.3,-25.93,25.93,-,54.17,-22.34,13.35,8.99
2,Revenue,547.88,510.93,596.06,532.94,516.88,624.93,679.32,690.96,515.12,780.21,736.25,655.96,573.8,668.57,735.19,676.97
3,Revenue Growth (YoY),6.00%,-18.24%,-12.26%,-22.87%,0.34%,-19.90%,-7.73%,5.34%,-10.23%,16.70%,0.14%,-3.10%,-,-,-,-
4,Cost of Revenue,858.93,414.98,511.61,449.5,475.5,510.46,535.45,563.92,430.94,612.48,567.34,515.59,497.48,493.43,574.8,527.18
5,Gross Profit,-311.05,95.95,84.45,83.43,41.38,114.47,143.87,127.04,84.18,167.72,168.92,140.37,76.33,175.15,160.39,149.79
6,"Selling, General & Admin",-147.85,48.18,49.89,49.78,48.84,59.53,52.98,50.58,40.92,47.85,39.76,49.57,37.42,55.45,45.71,45.96
7,Research & Development,-94.73,36.14,37.56,21.03,13.3,36.57,49.32,36.79,28.09,42.56,42.76,32.38,25.69,37.43,34.52,27.18
8,Other Operating Expenses,13.7,-19,10.9,-5.6,13.6,-0.77,-0.38,-3.97,22.39,0.55,0.2,0.24,24.45,1.7,-10.28,5.24
9,Operating Expenses,-258.28,71.23,115.16,71.9,76.29,101.55,106.99,91.53,94.3,100.1,92.33,89.64,85.12,93.57,70.54,87.39
10,Operating Income,-52.76,24.72,-30.7,11.54,-34.91,12.92,36.88,35.51,-10.12,67.62,76.59,50.73,-8.79,81.58,89.85,62.4
11,Interest Expense,-21.53,-5.98,-6.51,-6.66,-6.12,-11.61,-9.26,-10.86,-10.17,-9.34,-9.69,-5.93,-8.92,-4.08,-5.74,-5.38
12,Interest & Investment Income,19.16,6.04,10.78,4.7,8.11,11.34,14.31,11.4,18.02,13.97,10.22,4.1,4.49,4.32,13.06,2.72
