,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4275,4388,4399,3701,4466,5490,5783,6278,7571,7088,6851,9923,-,-,-,-,-
1,Market Cap Growth,-20.08%,-20.08%,-23.93%,-41.04%,-41.01%,-22.54%,-15.60%,-36.73%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3299,3411,3330,2468,3214,4238,4350,4689,5908,5424,5147,9298,-,-,-,-,-
3,Last Close Price,3.80,3.90,3.91,3.29,3.94,4.84,5.10,5.53,6.55,6.13,5.93,8.59,-,-,-,-,-
4,PE Ratio,-,-,-,-,90.00,-,45.11,33.93,33.93,30.48,32.86,47.92,-,-,-,-,-
5,PS Ratio,1.96,2.01,2.04,1.63,1.90,2.19,2.30,2.35,2.78,2.64,2.49,3.77,-,-,-,-,-
6,PB Ratio,1.41,1.42,1.42,1.20,1.42,1.75,1.84,2.01,2.35,2.22,2.19,3.25,-,-,-,-,-
7,P/TBV Ratio,1.59,1.59,1.60,1.35,1.60,1.98,2.08,2.27,2.64,2.50,2.47,3.67,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-22.64,-,-,-,-103.13,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-26446.74,-,-,-,103.48,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.51,1.56,1.54,1.09,1.37,1.69,1.73,1.76,2.17,2.02,1.87,3.53,-,-,-,-,-
11,EV/EBITDA Ratio,95.63,-,61.56,-,30.53,-,29.17,23.53,24.99,21.96,21.12,36.29,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-113.41,-,121.67,-,57.86,36.10,34.83,-,27.65,46.47,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-17.48,-,-,-,-78.93,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.16,0.16,0.16,0.16,0.20,0.24,0.24,0.28,0.27,0.32,0.32,0.33,0.53,0.27,-,-,-
15,Debt / EBITDA Ratio,14.51,-,2.77,-,4.90,-,6.10,3.86,4.11,28.92,3.12,2.69,3.94,27.68,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-3.11,-,-,-,-14.65,-,-,-,8.62,-,-,-
17,Asset Turnover,-,0.39,0.44,0.38,0.36,0.43,0.45,0.45,0.33,0.51,0.55,0.58,-,-,-,-,
18,Inventory Turnover,-,-,2.59,3.19,2.84,3.10,3.33,3.46,3.52,2.75,4.19,4.13,3.99,-,-,-,-
19,Quick Ratio,-,-,2.14,2.08,1.99,1.92,1.91,1.89,1.99,2.00,2.02,2.15,1.76,1.42,-,-,-
20,Current Ratio,-,-,2.61,2.55,2.41,2.29,2.25,2.23,2.36,2.35,2.34,2.48,2.13,1.79,-,-,-
21,Return on Equity (ROE),-7.46%,0.16%,-1.73%,1.39%,-1.01%,1.67%,5.42%,3.96%,6.52%,9.41%,12.91%,9.47%,-,-,-,-,
22,Return on Assets (ROA),-,1.17%,-1.41%,0.51%,-1.53%,0.55%,1.54%,1.45%,-0.41%,2.77%,3.54%,2.81%,-,-,-,-,
23,Return on Capital (ROIC),-3.66%,1.72%,-2.08%,0.75%,-2.25%,0.82%,2.27%,2.14%,-0.61%,4.12%,5.48%,4.79%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-0.77%,-,0.69%,-,1.96%,3.29%,4.19%,-,4.54%,4.83%,6.82%,-,-,-,-
25,Earnings Yield,-1.38%,-1.35%,-0.37%,-0.12%,1.11%,1.28%,2.22%,2.95%,2.95%,3.28%,3.04%,2.09%,-,-,-,-,-
26,FCF Yield,-,-5.28%,-7.49%,-3.94%,-4.42%,-3.33%,-2.28%,-1.94%,-0.97%,-1.02%,0.21%,-,-,-,-,-,
27,Dividend Yield,0.84%,-,-,-,-,0.66%,-,-,-,1.96%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,70.76%,-,66.70%,366.12%,28.54%,18.95%,13.47%,11.79%,11.52%,202.01%,-,55.61%,8.78%
29,Buyback Yield / Dilution,-0.13%,-0.17%,1.36%,-1.27%,-0.45%,0.28%,0.05%,-25.23%,-24.84%,-24.84%,-25.16%,0.07%,-,-,-,-,-
30,Total Shareholder Return,0.71%,-0.17%,1.36%,-1.27%,-0.45%,0.94%,0.05%,-25.23%,-24.84%,-22.88%,-25.16%,0.07%,-,-,-,-,-
