,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1534,923.09,1117,2079,1472,2085,1886,2400,1345,2461,1629,1160,-,-,-
1,Trading Asset Securities,-,0.46,701.99,802.48,0.47,589.69,281.26,641.64,350.79,1382,300.94,50.86,60.7,-,-,-
2,Cash & Short-Term Investments,1535,1535,1625,1920,2079,2062,2366,2528,2751,2726,2762,1680,1221,-,-,-
3,Cash Growth,-26.20%,-25.57%,-31.33%,-24.05%,-24.42%,-24.39%,-14.33%,50.48%,125.35%,-,-,-,-,-,-,-
4,Accounts Receivable,-,1534,1525,1449,1421,1541,1447,1339,1324,1461,1280,1177,1137,-,-,-
5,Other Receivables,-,17.39,3.68,16.67,16.8,20.73,22.9,43.8,31.14,28.28,28.03,36.77,29.4,-,-,-
6,Receivables,-,1552,1528,1466,1438,1562,1470,1383,1355,1489,1308,1213,1166,-,-,-
7,Inventory,-,637.49,645.15,638.34,627.29,601.55,623.16,615.62,667.28,587.35,581.27,518.54,514.08,-,-,-
8,Prepaid Expenses,-,-,1.24,-,-,-,3.96,-,-,-,3.55,-,-,-,-,-
9,Other Current Assets,-,39.44,53.31,76.08,46.7,45.07,59,99.75,58.31,84.11,51.8,80.84,106.48,-,-,-
10,Total Current Assets,-,3763,3853,4100,4192,4270,4523,4626,4832,4887,4707,3493,3008,-,-,-
11,"Property, Plant & Equipment",-,1011,984.06,971.7,980.92,972.92,965.31,887.94,872.62,838.38,844.52,801.48,787.17,-,-,-
