,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,11642,16682,18251,14721,11996,13178,16139,11169,10518,10804,14368,13717,10405,13214,13300,10378,7918,8926,6484,11441
1,Other Revenue,-222.8,222.8,-,329.25,-249.64,249.64,-,265.88,-159.17,159.17,-,121.04,-85.99,85.99,-,82.18,-44.36,44.36,-,16.28
2,Revenue,11419,16905,18251,15051,11746,13428,16139,11435,10359,10963,14368,13838,10319,13300,13300,10460,7873,8970,6484,11457
3,Revenue Growth (YoY),-2.78%,25.89%,13.08%,31.62%,13.39%,22.48%,12.33%,-17.37%,0.38%,-17.57%,8.02%,32.29%,31.07%,48.27%,105.12%,-8.70%,-,-,-,-
4,Cost of Revenue,11006,16108,17504,14477,11250,12821,15496,10965,10087,10460,13780,13396,9909,12907,12985,10294,7417,8445,6197,11031
5,Gross Profit,413.36,796.19,747.06,573.16,496.74,607.45,643.48,469.81,272.39,503.55,587.68,441.72,410.63,393.22,315.52,166.27,455.96,525.01,287.5,426.7
6,"Selling, General & Admin",143.73,157.26,165.09,243.22,152.88,151.82,139.4,169.98,111.03,154.94,159.92,154.22,153.14,144.71,146.93,142.5,113.99,104.62,107.88,149.27
7,Research & Development,3.36,3.21,3.05,7.63,6.56,6.29,6.85,8.24,6.54,9.9,3.09,10.91,1.38,1.24,1.1,1.15,1.38,2.39,0.49,5.01
8,Other Operating Expenses,10.5,19.68,23.66,18.48,16.94,11.07,26.73,23.03,11.8,14.9,18.99,15.4,15.53,21.97,24.6,17.59,10.55,11.46,10.92,9.44
9,Operating Expenses,153.19,192.51,184.15,256.46,177.81,174.55,193.31,198.42,121.57,193.3,191.17,188.76,168.42,166.17,175.1,160.74,130.52,117.86,130.52,226.26
10,Operating Income,260.17,603.68,562.9,316.7,318.94,432.9,450.17,271.39,150.83,310.25,396.51,252.95,242.21,227.05,140.42,5.54,325.44,407.16,156.98,200.44
11,Interest Expense,-12.73,-14.23,-19.77,-20.08,-18.54,-11.46,-16.74,-19.22,-17.41,-18.19,-17.28,-35.01,-21.52,-23.45,-23.94,-30.35,-26.54,-27.24,-27.2,-27.2
12,Interest & Investment Income,17.85,19.58,8.46,13.79,11.55,8.9,12.23,15.08,12.72,10.69,12.02,63.79,17.52,11.39,56,6.09,7.17,5.54,2.62,2.81
13,Other Non Operating Income (Expenses),-0.79,-0.55,-0.95,-36.88,40.21,4.5,29.46,-32.38,13.56,15.38,-0.95,-5.88,5.2,-0.4,-1.89,-40.46,10.32,-1.2,28.95,-0.65
14,EBT Excluding Unusual Items,264.49,608.47,550.63,273.54,352.16,434.85,475.12,234.86,159.7,318.13,390.28,275.86,243.41,214.59,170.6,-59.19,316.4,384.26,161.35,175.4
15,Gain (Loss) on Sale of Investments,-130.4,-340.86,-104.83,-58.99,-104.03,-145,-104.39,-137.26,59.95,-78.14,-88.21,-148.12,74.42,-179.57,303.47,109.86,9.72,-97.25,-267.05,101.38
16,Gain (Loss) on Sale of Assets,-0,-,-0,1.96,-,-,-,-,0,-0,-,-0.02,0.05,-0.04,-1.08,-0,-,-,-,-0.12
17,Asset Writedown,-0.02,0.45,-0.45,0.11,-0.35,0.26,-0.26,-0.34,0.32,-0.27,0.27,123.05,-123.06,210.13,-210.13,75.85,-75.85,4.31,-4.31,-
18,Other Unusual Items,44.62,18,-,77.54,-,-,-,87.24,-1.08,-10.75,11.83,47.42,-2.67,2.67,-,70.88,-0,0,-,1.58
19,Pretax Income,178.69,286.07,445.35,294.15,247.77,290.12,370.47,184.49,218.89,228.96,314.18,298.18,192.15,247.78,262.86,197.4,250.27,291.32,-110,278.24
