,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,14650,15910,16162,18917,16582,18530,19841,20630,21235,18530,19656,19992,23066,24175,26074,31567,-,-,-,-,-
1,Market Cap Growth,-14.14%,-14.14%,-18.54%,-8.31%,-21.91%,0%,0.94%,3.19%,-7.94%,-23.35%,-24.61%,-36.67%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9313,10688,9307,15848,13513,16129,16299,16981,17586,15411,15909,15114,18189,19197,21484,28206,-,-,-,-,-
3,Last Close Price,8.72,9.47,9.62,10.79,9.46,10.57,11.32,11.48,11.81,10.31,10.93,10.88,12.55,13.15,14.19,17.00,-,-,-,-,-
4,PE Ratio,15.03,16.26,15.68,18.25,17.03,20.77,22.98,25.36,27.75,21.80,23.65,23.80,29.04,33.15,34.19,39.57,-,-,-,-,-
5,Forward PE,13.63,14.13,13.27,16.18,14.98,17.27,18.03,18.93,19.91,18.04,19.83,20.17,24.74,27.67,37.17,53.30,-,-,-,-,-
6,PS Ratio,0.24,0.26,0.26,0.32,0.29,0.35,0.39,0.42,0.45,0.37,0.40,0.39,0.45,0.51,0.58,0.78,-,-,-,-,-
7,PB Ratio,1.99,2.13,2.21,2.41,2.22,2.56,2.82,2.82,3.03,2.70,2.94,2.90,3.47,3.78,4.17,5.00,-,-,-,-,-
8,P/TBV Ratio,2.16,2.16,2.24,2.45,2.25,2.60,2.86,2.87,3.08,2.75,2.99,2.95,3.53,3.84,4.24,5.08,-,-,-,-,-
9,P/FCF Ratio,4.75,5.16,-,4.91,10.93,132.32,-,-,18.43,-39.73,-,-,-,-,29.67,34.70,-,-,-,-,-
10,P/OCF Ratio,5.02,5.02,-,4.85,10.52,99.80,-,-,17.80,-43.44,-,-,-,-,28.73,33.75,-,-,-,-,-
11,EV/Sales Ratio,0.15,0.17,0.15,0.27,0.24,0.31,0.32,0.35,0.37,0.31,0.32,0.29,0.36,0.41,0.48,0.69,-,-,-,-,-
12,EV/EBITDA Ratio,5.18,6.10,5.13,9.64,8.82,10.84,12.35,14.19,15.39,13.72,13.10,13.36,20.80,30.68,30.33,31.78,-,-,-,-,-
13,EV/EBIT Ratio,5.36,6.13,5.16,9.71,8.90,10.95,12.49,14.36,15.58,13.88,13.24,13.51,21.08,31.20,30.76,32.11,-,-,-,-,-
14,EV/FCF Ratio,3.02,3.47,-,4.12,8.91,115.18,-,-,15.26,-33.04,-,-,-,-,24.45,31.01,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,-,-,-,-,-
16,Debt / EBITDA Ratio,0.12,0.21,0.09,0.10,0.15,0.19,0.13,0.14,0.21,0.41,0.19,0.16,0.22,0.04,0.04,0.08,-,-,-,-,-
17,Debt / FCF Ratio,0.07,0.07,-,0.06,0.14,1.75,-,-,0.23,-0.54,-,-,-,-,0.05,0.05,-,-,-,-,-
18,Asset Turnover,3.70,5.24,5.48,4.68,3.77,4.32,5.35,3.84,3.48,3.73,5.02,4.82,3.62,4.69,5.11,4.17,3.08,-,-,-,
19,Inventory Turnover,14.21,11.33,16.42,15.98,13.46,10.64,11.95,15.13,9.42,8.42,8.94,11.90,11.52,8.59,11.55,12.11,9.37,6.88,-,-,-
20,Quick Ratio,1.45,1.45,1.57,1.46,1.35,1.40,1.31,1.40,1.48,1.09,1.32,1.16,1.39,1.03,1.26,1.05,1.15,0.72,1.10,-,1.13
21,Current Ratio,2.46,2.46,2.44,2.34,2.29,2.32,2.29,2.38,2.52,2.28,2.34,2.38,2.52,2.12,2.31,2.13,2.34,1.81,2.02,-,2.21
22,Return on Equity (ROE),8.31%,12.29%,19.06%,12.66%,11.46%,13.32%,16.84%,8.72%,10.26%,11.16%,14.98%,14.44%,9.90%,12.51%,14.45%,13.17%,15.23%,19.37%,-7.79%,-,
23,Return on Assets (ROA),5.26%,11.70%,10.57%,6.16%,6.39%,8.70%,9.32%,5.70%,3.17%,6.60%,8.66%,5.50%,5.30%,5.01%,3.37%,0.14%,7.96%,-,-,-,
24,Return on Capital (ROIC),8.54%,19.36%,17.88%,10.43%,10.80%,14.59%,15.19%,9.45%,5.37%,11.02%,14.12%,9.48%,9.51%,8.97%,6.03%,0.27%,16.28%,21.13%,8.27%,-,
25,Return on Capital Employed (ROCE),22.54%,22.62%,23.84%,20.24%,19.73%,19.65%,17.90%,15.62%,15.52%,15.70%,17.42%,15.72%,12.57%,9.52%,11.09%,13.73%,16.95%,21.34%,15.64%,-,4.22%
26,Earnings Yield,6.68%,6.15%,6.38%,5.48%,5.87%,4.81%,4.35%,3.94%,3.60%,4.59%,4.23%,4.20%,3.44%,3.02%,2.93%,2.53%,-,-,-,-,-
27,FCF Yield,21.03%,19.37%,22.74%,20.35%,9.15%,0.76%,0.30%,2.10%,5.43%,-2.52%,-5.66%,-1.06%,3.39%,4.46%,3.37%,2.88%,-,-,-,-,-
28,Dividend Yield,5.21%,-,-,-,4.76%,-,-,-,2.54%,-,-,-,1.91%,-,-,-,-,-,-,-,-
29,Payout Ratio,82.47%,3.76%,330.71%,4.47%,9.11%,3.44%,214.34%,4.88%,19.30%,5.45%,224.95%,4.60%,12.36%,29.22%,133.74%,7.66%,20.32%,10.69%,16.71%,-,19.54%
30,Buyback Yield / Dilution,-0.27%,0.39%,-3.21%,0.93%,0.86%,-5.87%,0.53%,0.72%,0.95%,6.34%,-4.13%,-5.79%,-7.77%,-23.31%,-3.06%,-4.22%,-9.84%,-,-,-,-
