,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,5648,5536,7159,6033,3401,2730,3883,5271,3986,3456,4086,4626,5002,5103,4715,3420,3440,3702,-,2990
1,Cash & Short-Term Investments,5648,5536,7159,6033,3401,2730,3883,5271,3986,3456,4086,4626,5002,5103,4715,3420,3440,3702,2990,2990
2,Cash Growth,66.05%,102.77%,84.35%,14.46%,-14.66%,-21.00%,-4.96%,13.95%,-20.32%,-32.27%,-13.34%,35.27%,45.43%,37.84%,57.68%,14.35%,-,-,-,-
3,Accounts Receivable,1219,1840,799.28,1237,3689,3870,3008,1161,1541,2792,1438,1124,645.1,636.33,926.93,762.56,838.94,878.39,-,965.1
4,Other Receivables,19.35,20.56,20.15,27.43,31.76,35.19,33.58,33.49,27.31,17.39,15.98,17.54,16.21,13.68,15.86,140.21,6.9,371.34,-,194.58
5,Receivables,1238,1861,819.44,1264,3721,3906,3042,1195,1569,2809,1454,1141,661.31,650.02,942.79,902.76,845.84,1250,-,1160
6,Inventory,4198,3573,4276,4484,4121,4336,4244,3950,5366,4222,5143,4120,5180,4052,4891,3687,5100,3523,-,3398
7,Prepaid Expenses,-,1.6,-,2.1,-,5.57,-,1.65,-,3.74,-,1.98,-,28.6,-,22.72,0.11,-,-,0.56
8,Other Current Assets,568.4,527.62,566.3,624.1,575.25,593.48,595.09,572.2,709.15,580.09,631.37,576.09,808.23,732.97,909.75,724.07,1354,618.25,-,600.64
9,Total Current Assets,11652,11500,12821,12408,11818,11571,11764,10989,11630,11071,11315,10465,11651,10566,11458,8756,10740,9093,-,8149
10,"Property, Plant & Equipment",278.9,287.63,277.81,291.46,314.26,327.82,338.77,354.95,331.92,337.75,349.49,360.17,137.63,130.71,132.76,92.51,93.24,85.24,-,86.3
11,Long-Term Investments,129.83,129.83,129.83,129.83,179.82,179.83,179.83,50.81,49.75,50.37,50.55,50.97,16.22,16.34,16.41,11.45,11.56,11.65,-,11.85
12,Goodwill,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,-,-,-
13,Other Intangible Assets,12.15,12.14,12.46,13.04,10.54,11.98,12.9,13.98,13.69,14.3,14.64,15.36,15.04,15.5,14.8,15.09,15.45,13.91,-,13.65
14,Long-Term Deferred Tax Assets,245.21,230.59,194.38,177.88,202.2,190.55,158,164.45,81.18,103.66,89.98,67.45,80.29,85.48,106.35,86.97,108.21,123.73,-,101.22
15,Long-Term Deferred Charges,121.41,101.81,82.46,79.68,65.95,59.62,58.77,47.62,48.09,48.42,51.45,51.3,53.6,48.48,51.71,55.18,61.35,60.34,-,63.48
16,Other Long-Term Assets,5.84,5.91,5.99,6.06,4.35,4.42,4.49,4.56,4.63,4.71,4.78,4.85,4.92,4.99,5.06,5.14,5.21,5.28,-,5.42
17,Total Assets,12450,12273,13529,13110,12600,12350,12522,11630,12164,11635,11881,11020,11964,10872,11790,9027,11039,9393,-,8431
18,Accounts Payable,70.49,165.85,260.75,95.11,126.93,88.31,174.78,188.13,118.51,104.47,146.81,176.89,92.87,107.18,123.02,117.53,89.39,96.2,-,124.27
