,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,282.53,275.93,278.07,173.74,282.63,254.8,215.61,153.78,204.57,206.2,206.2,185.76,185.76,185.89,185.89
1,Other Revenue,-20.54,20.54,-,53.29,-40.02,40.02,-,38.16,-21.13,10.57,10.57,9.63,9.63,10.59,10.59
2,Revenue,261.99,296.47,278.07,227.03,242.61,294.81,215.61,191.95,183.44,216.76,216.76,195.39,195.39,196.48,196.48
3,Revenue Growth (YoY),7.99%,0.56%,28.97%,18.28%,32.26%,36.01%,-0.53%,-1.76%,-6.12%,10.32%,10.32%,-,-,-,-
4,Cost of Revenue,203.45,238.49,212.56,179.87,189.19,216.42,165.15,154.59,143.69,170.01,170.01,159.46,159.46,151.83,151.83
5,Gross Profit,58.54,57.97,65.52,47.16,53.42,78.39,50.46,37.36,39.75,46.76,46.76,35.93,35.93,44.65,44.65
6,"Selling, General & Admin",18.08,16.95,15.15,18.39,16.66,17.76,13.3,16.44,12.65,13.83,13.83,12.19,12.19,12.03,12.03
7,Research & Development,8.81,10.83,9.91,11.08,8.18,9.59,7.09,3.33,6.41,7.7,7.7,6.15,6.15,6.77,6.77
8,Other Operating Expenses,0.94,2.89,-5.94,4.22,-0.47,-1.41,-0.43,3.93,0.08,-1.27,-1.27,-1.86,-1.86,1.06,1.06
9,Operating Expenses,30.58,30.04,21.46,32.63,23.55,31.75,19.39,24.82,17.22,20.86,20.86,16.01,16.01,21.9,21.9
10,Operating Income,27.96,27.94,44.06,14.53,29.87,46.65,31.08,12.54,22.53,25.89,25.89,19.93,19.93,22.75,22.75
11,Interest Expense,-,-,-3.25,-0.79,-1.21,-1,-1.04,-1.17,-1.28,-1.4,-1.4,-1.29,-1.29,-1.46,-1.46
12,Interest & Investment Income,3.37,12.03,0.33,4.5,6.33,1.37,0.62,0.93,0.72,0.76,0.76,0.34,0.34,0.55,0.55
13,Currency Exchange Gain (Loss),-0.71,0.71,-,1.4,-2.36,2.36,-,5.06,-2.58,1.29,1.29,-0.23,-0.23,-0.28,-0.28
14,Other Non Operating Income (Expenses),-2.43,-7.68,7.5,-3.97,2.62,0.89,-0.58,-5.3,5.03,0.01,0.01,-0.13,-0.13,0.05,0.05
15,EBT Excluding Unusual Items,28.2,32.99,48.63,15.67,35.24,50.27,30.08,12.06,24.41,26.56,26.56,18.62,18.62,21.61,21.61
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0.18,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,0.1,0,0.07,-0.02,-0.02,0.05,-0.01,0.01,0.01,0.01,-0.02,-0.02,0.02,0.02
18,Asset Writedown,-2.3,1.34,-1.35,2.61,-2.61,0.28,-0.28,2.66,-2.66,-0.01,-0.01,-0,-0,-,-
19,Other Unusual Items,3.38,6.35,-,6.84,-4.49,4.49,-,5.09,-,-,-,-2.41,-2.41,1.3,1.3
20,Pretax Income,29.27,40.78,47.28,25.19,28.13,55.02,29.85,19.97,21.77,26.57,26.57,16.18,16.18,22.93,22.93
21,Income Tax Expense,4.77,3.86,7.89,3.8,3.42,7.43,4.13,1.36,2.39,3.79,3.79,1.65,1.65,3.3,3.3
22,Earnings From Continuing Operations,24.5,36.92,39.4,21.39,24.71,47.59,25.72,18.61,19.38,22.77,22.77,14.53,14.53,19.63,19.63
23,Minority Interest in Earnings,-,-,-,-0,-,0,-0,-0,-,0.39,0.39,0.31,0.31,0.4,0.4
24,Net Income,24.5,36.92,39.4,21.39,24.71,47.59,25.72,18.61,19.38,23.17,23.17,14.85,14.85,20.04,20.04
25,Net Income to Common,24.5,36.92,39.4,21.39,24.71,47.59,25.72,18.61,19.38,23.17,23.17,14.85,14.85,20.04,20.04
26,Net Income Growth,-0.87%,-22.42%,53.18%,14.96%,27.54%,105.42%,11.03%,25.36%,30.52%,15.61%,15.61%,-,-,-,-
27,Shares Outstanding (Basic),116,115,117,114,117,97,87,87,85,87,87,87,87,87,87
28,Shares Outstanding (Diluted),116,115,117,114,117,97,87,87,85,87,87,87,87,87,87
29,Shares Change (YoY),-0.54%,18.77%,34.46%,31.58%,37.10%,10.66%,-0.62%,-0.33%,-2.22%,0.61%,0.61%,-,-,-,-
30,EPS (Basic),0.21,0.32,0.34,0.19,0.21,0.49,0.30,0.21,0.23,0.27,0.27,0.17,0.17,0.23,0.23
31,EPS (Diluted),0.21,0.32,0.34,0.19,0.21,0.49,0.30,0.21,0.23,0.27,0.27,0.17,0.17,0.23,0.23
32,EPS Growth,-0.33%,-34.67%,13.92%,-12.63%,-6.97%,85.64%,11.71%,26.47%,34.22%,14.91%,14.91%,-,-,-,-
33,Free Cash Flow,-58.79,-16.86,32.21,8.9,-34.4,-26.96,-3.98,1.84,6.63,-3.03,-3.03,4.77,4.77,-22.72,-22.72
34,Free Cash Flow Per Share,-0.51,-0.15,0.28,0.08,-0.29,-0.28,-0.05,0.02,0.08,-0.03,-0.03,0.05,0.05,-0.26,-0.26
35,Dividend Per Share,-,-,-,0.517,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,22.34%,19.55%,23.56%,20.77%,22.02%,26.59%,23.40%,19.46%,21.67%,21.57%,21.57%,18.39%,18.39%,22.73%,22.73%
37,Operating Margin,10.67%,9.42%,15.84%,6.40%,12.31%,15.82%,14.41%,6.53%,12.28%,11.95%,11.95%,10.20%,10.20%,11.58%,11.58%
38,Profit Margin,9.35%,12.45%,14.17%,9.42%,10.19%,16.14%,11.93%,9.70%,10.56%,10.69%,10.69%,7.60%,7.60%,10.20%,10.20%
39,Free Cash Flow Margin,-22.44%,-5.69%,11.58%,3.92%,-14.18%,-9.14%,-1.85%,0.96%,3.61%,-1.40%,-1.40%,2.44%,2.44%,-11.56%,-11.56%
40,EBITDA,33.22,33.86,49.32,19.79,34.97,51.88,36.18,17.64,27.59,30.96,30.96,27.69,27.69,24.14,24.14
41,EBITDA Margin,12.68%,11.42%,17.74%,8.72%,14.41%,17.60%,16.78%,9.19%,15.04%,14.28%,14.28%,14.17%,14.17%,12.29%,12.29%
42,D&A For EBITDA,5.26,5.92,5.26,5.26,5.1,5.23,5.1,5.1,5.06,5.06,5.06,7.76,7.76,1.39,1.39
43,EBIT,27.96,27.94,44.06,14.53,29.87,46.65,31.08,12.54,22.53,25.89,25.89,19.93,19.93,22.75,22.75
44,EBIT Margin,10.67%,9.42%,15.84%,6.40%,12.31%,15.82%,14.41%,6.53%,12.28%,11.95%,11.95%,10.20%,10.20%,11.58%,11.58%
45,Effective Tax Rate,16.30%,9.46%,16.68%,15.07%,12.14%,13.51%,13.83%,6.83%,10.99%,14.28%,14.28%,10.20%,10.20%,14.38%,14.38%
46,Revenue as Reported,261.99,296.47,278.07,227.03,242.61,294.81,215.61,191.95,183.44,216.76,216.76,-,-,-,-
