,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4611,3344,3493,2968,3299,3816,3906,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-12.36%,-12.36%,-10.59%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4136,2820,2907,2448,2779,3255,3959,-,-,-,-,-,-,-,-,-
3,Last Close Price,39.75,28.83,30.11,25.13,27.93,32.31,33.07,-,-,-,-,-,-,-,-,-
4,PE Ratio,37.58,27.37,28.53,22.30,27.63,32.72,35.10,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.32,3.14,3.34,2.85,3.37,4.04,4.41,-,-,-,-,-,-,-,-,-
6,PB Ratio,3.87,2.80,2.99,2.49,2.87,3.39,3.55,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.96,2.96,3.16,2.63,3.03,3.49,3.66,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-146.56,-58.45,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,336.78,-,-,84.50,2265.48,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.89,2.65,2.78,2.35,2.84,3.44,4.47,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,30.20,20.71,21.07,15.70,19.46,23.14,29.70,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,36.12,24.63,24.97,18.12,22.76,27.10,35.10,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-119.71,-,-,-120.88,-49.24,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.06,0.05,0.08,0.10,0.11,0.21,0.21,-,-,0.28,0.28,0.28,0.34,0.34
15,Debt / EBITDA Ratio,0.44,0.45,0.48,0.32,1.06,0.83,0.56,0.68,1.31,-,-,0.87,0.95,0.95,1.26,1.26
16,Debt / FCF Ratio,-,-,-,-3.16,-1.56,-,-,-,40.64,-,-,-,-3.03,-2.67,-,-
17,Asset Turnover,0.63,0.69,0.65,0.55,0.60,-,-,-,-,-,-,0.88,0.90,0.93,-,
18,Inventory Turnover,7.11,6.34,7.56,7.05,6.57,7.64,-,-,-,-,-,-,5.49,5.98,6.26,-
19,Quick Ratio,2.46,2.46,2.32,2.29,2.31,2.48,2.44,-,1.24,-,-,-,1.01,1.01,0.98,0.98
20,Current Ratio,2.75,2.75,2.57,2.53,2.53,2.70,2.63,-,1.45,-,-,-,1.25,1.25,1.20,1.20
21,Return on Equity (ROE),8.30%,12.53%,13.47%,7.52%,8.87%,24.24%,21.96%,-,-,-,23.74%,15.15%,15.75%,22.15%,-,
22,Return on Assets (ROA),4.17%,4.07%,6.40%,2.19%,4.61%,-,-,-,-,-,-,5.58%,5.74%,6.75%,-,
23,Return on Capital (ROIC),5.62%,5.61%,8.84%,2.93%,6.06%,13.06%,13.72%,-,-,-,13.15%,10.12%,10.28%,11.93%,-,
24,Return on Capital Employed (ROCE),9.55%,9.55%,9.92%,11.30%,10.57%,10.56%,10.14%,-,18.15%,-,-,-,21.66%,16.60%,12.32%,6.16%
25,Earnings Yield,2.65%,3.65%,3.51%,4.48%,3.62%,3.06%,2.85%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.75%,-1.03%,-0.29%,-0.68%,-1.71%,-1.66%,-0.58%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.21%,-,-,-,1.85%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,51.32%,3.72%,163.87%,1.48%,3.35%,4.13%,2.08%,3.41%,6.24%,5.47%,5.44%,5.44%,8.35%,8.35%,6.10%,6.10%
29,Buyback Yield / Dilution,-19.32%,0.54%,-18.77%,-34.46%,-31.58%,-37.10%,-10.66%,0.62%,0.33%,2.22%,-0.61%,-0.61%,-,-,-,-
30,Total Shareholder Return,-18.11%,0.54%,-18.77%,-34.46%,-29.73%,-37.10%,-10.66%,0.62%,0.33%,2.22%,-0.61%,-0.61%,-,-,-,-
