,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,345.14,426.42,650.58,640.38,637.02,678.38,-,72.52,-,-,-,59.68,59.68,20.29,20.29
1,Trading Asset Securities,191,165,-,-,-,-,-,0.18,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,536.14,591.42,650.58,640.38,637.02,678.38,72.7,72.7,-,-,59.68,59.68,59.68,20.29,20.29
3,Cash Growth,-15.84%,-12.82%,794.91%,780.88%,-,-,21.81%,21.81%,-,-,194.09%,-,-,-,-
4,Accounts Receivable,600.37,597.52,616.53,593.89,576.55,538.34,-,473.92,-,-,-,439.29,439.29,443.53,443.53
5,Other Receivables,2.04,1.23,1.95,0.82,2.42,1.11,-,1.29,-,-,-,4,4,1.57,1.57
6,Receivables,602.4,598.75,618.48,594.71,578.97,539.44,-,475.2,-,-,-,443.3,443.3,445.1,445.1
7,Inventory,130.49,126.32,126.12,114.98,104.17,93.85,-,88.87,-,-,-,116.24,116.24,96.98,96.98
8,Other Current Assets,4.62,3.08,4.09,3.21,3.28,2.63,-,2.34,-,-,-,1.93,1.93,3.75,3.75
9,Total Current Assets,1274,1320,1399,1353,1323,1314,-,639.11,-,-,-,621.15,621.15,566.13,566.13
10,"Property, Plant & Equipment",206.48,194.43,190.07,195.51,171.74,168.6,-,171.72,-,-,-,162.27,162.27,164.15,164.15
11,Long-Term Investments,49.84,51.51,51.09,50.59,51.62,50.56,-,49.06,-,-,-,46.89,46.89,48,48
12,Other Intangible Assets,60.35,60.73,61.14,60.99,32.76,33.02,-,33.56,-,-,-,34.26,34.26,34.58,34.58
13,Long-Term Deferred Tax Assets,1.33,1.28,0.96,0.93,6.23,5.55,-,5.06,-,-,-,4.59,4.59,4.44,4.44
14,Long-Term Deferred Charges,8.72,8.63,5.93,5.13,2.33,2.59,-,2.92,-,-,-,4.4,4.4,5.13,5.13
15,Other Long-Term Assets,62.36,49.67,41.29,23.64,40.1,37.48,-,17.65,-,-,-,18.93,18.93,20.45,20.45
16,Total Assets,1663,1686,1750,1690,1628,1612,-,919.08,-,-,-,892.49,892.49,842.88,842.88
17,Accounts Payable,307.35,355.19,407.04,364.59,303.97,309.94,-,288.23,-,-,-,305.95,305.95,262.39,262.39
18,Accrued Expenses,38.12,27.99,39.77,32.69,23.1,20.94,-,24.82,-,-,-,31.86,31.86,15.77,15.77
19,Short-Term Debt,58.68,64.94,62.29,86.55,113.98,115.37,-,94.61,-,-,-,99.03,99.03,114.46,114.46
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,4.91,4.91,-,-
21,Current Portion of Leases,1.5,1.49,1.37,1.37,1.71,1.25,-,2.79,-,-,-,2.09,2.09,-,-
